服务态度,店铺链接,类型,描述相符,店铺销量,店铺id,卖家昵称,店铺宝贝数量,物流速度,用户评分链接,店铺名称,店铺区域,好评率
4.86,//shop67448738.taobao.com,母婴,4.82,67,67448738,嗨丑丑,222,4.84,//rate.taobao.com/user-rate-UMGIyvmNWvFx0.htm,小数点婴幼儿服饰,,99.57%
4.65,//shop156782893.taobao.com,服饰鞋包,4.55,256,156782893,英的宝贝99,6,4.62,//rate.taobao.com/user-rate-UvFx0MC8YvCIuOQTT.htm,衣品裤折扣店,,98.40%
4.72,//shop103677678.taobao.com,母婴,4.7,221,103677678,爱衣布落,327,4.69,//rate.taobao.com/user-rate-UvFxuvGHWMG8LMgTT.htm,小糖果童品,,96.48%
4.7,//shop100563279.taobao.com,母婴,4.68,134,100563279,庐江fushi,13,4.68,//rate.taobao.com/user-rate-UvCgSMFIyOmvb.htm,冬之约儿童羽绒服,江西 九江,97.28%
4.95,//shop143630632.taobao.com,母婴,4.92,220,143630632,山特维克沈阳,170,4.94,//rate.taobao.com/user-rate-UvC8bMGH4MGHYvWTT.htm,熊猫先生外贸童品,,99.87%
4.91,//shop72428508.taobao.com,母婴,4.84,171,72428508,婴安适,192,4.9,//rate.taobao.com/user-rate-UOmkuvGH0MCQL.htm,福瑞麟婴幼服饰,,99.50%
4.73,//shop115105396.taobao.com,母婴,4.67,591,115105396,最最惠,25,4.73,//rate.taobao.com/user-rate-UvCvyOm8WvGvGMgTT.htm,最最惠母婴店,,97.42%
4.86,//shop69355487.taobao.com,母婴,4.8,243,69355487,mengzhi格林,645,4.85,//rate.taobao.com/user-rate-UMGx4MGgyvmkY.htm,宝贝靓装,浙江 湖州,98.93%
4.92,//shop148281471.taobao.com,服饰鞋包,4.92,31,148281471,mzhiya,10,4.94,//rate.taobao.com/user-rate-UvCcSOmNLMF84OQTT.htm,HC时尚裙庄,,99.45%
4.89,//shop115354679.taobao.com,服饰鞋包,4.85,31,115354679,美成贤,61,4.84,//rate.taobao.com/user-rate-UvCIbMF8GMF84vgTT.htm,美成贤时尚女装,,98.68%
4.9,//shop165837069.taobao.com,服饰鞋包,4.89,31,165837069,小松鼠维果茨服饰,163,4.91,//rate.taobao.com/user-rate-UvCkGMGxuMmxGMWTT.htm,时尚优雅女装服饰,,96.98%
4.83,//shop70293589.taobao.com,服饰鞋包,4.74,31,70293589,lxm199288,43,4.82,//rate.taobao.com/user-rate-UOmNGOFkGMGcS.htm,『小雅出品』,,96.65%
4.9,//shop151513919.taobao.com,服饰鞋包,4.88,31,151513919,购物5218866,73,4.91,//rate.taobao.com/user-rate-UvCc0vmHbvmHGOQTT.htm,衣衣仙子时尚馆,,97.54%
4.89,//shop137191395.taobao.com,服饰鞋包,4.83,31,137191395,gb布丁,54,4.88,//rate.taobao.com/user-rate-UvCxuMF8LOFNSvWTT.htm,CHEL秋儿时尚服装店,,98.08%
4.97,//shop459166641.taobao.com,服饰鞋包,4.93,31,459166641,不拘一切风格,23,4.97,//rate.taobao.com/user-rate-UvCcbMFNuMFIWvQTT.htm,小淘工作坊,,100.00%
4.81,//shop301234253.taobao.com,服饰鞋包,4.81,31,301234253,珞丹妮,12,4.81,//rate.taobao.com/user-rate-UvGNGMFNuMCNYMQTT.htm,珞丹妮精品女装店,,95.65%
5,//shop596030068.taobao.com,服饰鞋包,5,31,596030068,靓衣阁3040,28,5,//rate.taobao.com/user-rate-UvCk4MF8WMmxyMWTT.htm,靓衣阁 学院风女装,,100.00%
5,//shop185736597.taobao.com,服饰鞋包,5,31,185736597,栀子花开女装,10,5,//rate.taobao.com/user-rate-UvCgSvFxuvmQLOQTT.htm,美好时光女装精品,,100.00%
5,//shop120688792.taobao.com,服饰鞋包,5,31,120688792,tb3002100_55,49,5,//rate.taobao.com/user-rate-UOmxSOmxWvGcL.htm,A Unique DRESS,,100.00%
5,//shop340321483.taobao.com,服饰鞋包,4.96,31,340321483,黄春乐98,74,5,//rate.taobao.com/user-rate-UMC80Mm80vmgy.htm,乐丫店铺,,100.00%
4.59,//shop70622322.taobao.com,服饰鞋包,4.48,27,70622322,vivi幸福小站点,43,4.61,//rate.taobao.com/user-rate-UOmvyMFkGOFgS.htm,vivi幸福小站点,,94.10%
4.66,//shop63504080.taobao.com,服饰鞋包,4.6,27,63504080,智间小店,282,4.74,//rate.taobao.com/user-rate-UMCNSOFcWMCHL.htm,包邮 赠运费险 售后无忧,广东 广州,97.54%
4.9,//shop109961806.taobao.com,服饰鞋包,4.89,27,109961806,敏敏13530568925,77,4.88,//rate.taobao.com/user-rate-UvCN0MFvWMGHuvQTT.htm,IFANR衣馨潮坊,,96.87%
4.76,//shop72960380.taobao.com,服饰鞋包,4.62,27,72960380,依恋1399,48,4.78,//rate.taobao.com/user-rate-UOFvWMCN4vGgS.htm,外贸 尾货清仓店,,97.12%
4.93,//shop64745359.taobao.com,服饰鞋包,4.89,27,64745359,彭早孙,154,4.91,//rate.taobao.com/user-rate-UMCxSvmgyMGN4.htm,轻奢小资外贸单,,99.06%
4.72,//shop105078527.taobao.com,服饰鞋包,4.6,27,105078527,xingyinzhe_007,28,4.74,//rate.taobao.com/user-rate-UOmH0vCx4MGIT.htm,爱尚惠儿の品质美裙,浙江 金华,97.64%
4.84,//shop116091550.taobao.com,服饰鞋包,4.82,27,116091550,清一色二号店,67,4.87,//rate.taobao.com/user-rate-UvCv4vF8yMFcSMWTT.htm,清一色二号店,,97.50%
4.78,//shop115119959.taobao.com,服饰鞋包,4.74,27,115119959,庵祥静,111,4.77,//rate.taobao.com/user-rate-UvFx0MC84Mmx4ONTT.htm,寶兒依娜,,95.52%
4.62,//shop101685822.taobao.com,服饰鞋包,4.57,12,101685822,zhang2440381878,35,4.57,//rate.taobao.com/user-rate-UvFHWvF8GOmgyvgTT.htm,俪人时裳,,97.58%
4.61,//shop102323376.taobao.com,服饰鞋包,4.46,12,102323376,幸福是珍珠,56,4.43,//rate.taobao.com/user-rate-UvF84vmxYvFHyMWTT.htm,珍珠的衣橱,北京,95.45%
4.92,//shop102171157.taobao.com,服饰鞋包,4.82,12,102171157,蔷薇儿201161,41,4.95,//rate.taobao.com/user-rate-UvFNYMFgbOmvuvQTT.htm,达依娜,北京,97.90%
4.88,//shop70298234.taobao.com,服饰鞋包,4.84,12,70298234,淘联你我,49,4.85,//rate.taobao.com/user-rate-UMCgLMFISvCIW.htm,柚子美衣印象女装,,98.84%
4.85,//shop111989648.taobao.com,服饰鞋包,4.84,12,111989648,sun18956055408,28,4.85,//rate.taobao.com/user-rate-UvCHLvCHWMGgyMNTT.htm,苏菲玛索的衣柜,,98.89%
4.6,//shop131129118.taobao.com,服饰鞋包,4.51,12,131129118,给她夏天般的2,204,4.6,//rate.taobao.com/user-rate-UvFcbMFkyMFgWvgTT.htm,秀媛女装批发店,,97.29%
4.43,//shop373312919.taobao.com,服饰鞋包,4.14,12,373312919,靓女时尚街00,13,4.54,//rate.taobao.com/user-rate-UvCkbvGkLOFQSMgTT.htm,靓女时尚街,,95.28%
4.87,//shop163164040.taobao.com,服饰鞋包,4.87,12,163164040,汤爱晨,95,4.77,//rate.taobao.com/user-rate-UvCgGvCg0MmvGvQTT.htm,韵  秋,,97.44%
5,//shop115503028.taobao.com,服饰鞋包,5,12,115503028,comes871,75,5,//rate.taobao.com/user-rate-UvGcyvCI4MGQT.htm,凯旋荟,,100.00%
5,//shop175264848.taobao.com,服饰鞋包,5,12,175264848,羊绒衫批发111111,7,5,//rate.taobao.com/user-rate-UvGN0vGNbvC8SMgTT.htm,u[3043052596],,100.00%
4.55,//shop101226080.taobao.com,服饰鞋包,4.38,8,101226080,矮小的兽人,10,4.61,//rate.taobao.com/user-rate-UvC8LMGI0MGcu.htm,怡人小舍,,97.34%
4.84,//shop109010344.taobao.com,服饰鞋包,4.83,8,109010344,暄奕斯668,31,4.75,//rate.taobao.com/user-rate-UvFk4MmvbOmvLvQTT.htm,暄奕斯时尚女装,,98.56%
4.84,//shop103842007.taobao.com,服饰鞋包,4.79,8,103842007,欧阳木夕,106,4.81,//rate.taobao.com/user-rate-UvFxuOFk0MFQGMWTT.htm,温妮家 实拍精品女装,广东 广州,97.17%
4.91,//shop144485657.taobao.com,服饰鞋包,4.96,8,144485657,苏苏dear520,110,4.96,//rate.taobao.com/user-rate-UvFxbMmIWMFNWvWTT.htm,韩国代购精品棉服,,100.00%
5,//shop268349176.taobao.com,服饰鞋包,5,8,268349176,sunshine‘’,194,5,//rate.taobao.com/user-rate-UvGN0vCcWMGxLvQTT.htm,Queen时尚潮流服饰,,100.00%
5,//shop111933626.taobao.com,服饰鞋包,5,8,111933626,商量后在上,24,5,//rate.taobao.com/user-rate-UMmQ0OFcGOFHG.htm,女王衣柜服饰直销店,,100.00%
4.66,//shop33148867.taobao.com,服饰鞋包,4.64,9,33148867,shishangfeng2008,51,4.69,//rate.taobao.com/user-rate-UvFvLOmgbMCgT.htm,韩缇服饰,广东 广州,97.23%
4.96,//shop37083031.taobao.com,服饰鞋包,4.99,9,37083031,wulijun09,23,4.94,//rate.taobao.com/user-rate-UvFcSMC8yvFH0.htm,魅衣彩女装店,浙江 杭州,98.71%
4.76,//shop68493531.taobao.com,服饰鞋包,4.7,9,68493531,shaoyunfei0214syf,45,4.76,//rate.taobao.com/user-rate-UMGIbvmxyvCIY.htm,乐衣轩时尚女装,广东 广州,97.54%
4.67,//shop109861831.taobao.com,服饰鞋包,4.61,546,109861831,wukaiwu555,102,4.66,//rate.taobao.com/user-rate-UvFx4OmQGvG8SvgTT.htm,GT1978 BVSSEVE,广东 广州,99.26%
4.91,//shop137804984.taobao.com,服饰鞋包,4.87,187,137804984,商业丽雄168,49,4.9,//rate.taobao.com/user-rate-UvCxLOmQLvmQWMQTT.htm,商业丽雄直销店168,,98.85%
4.91,//shop150465754.taobao.com,服饰鞋包,4.88,187,150465754,ekey880,58,4.87,//rate.taobao.com/user-rate-UOmN4vCk0MCIY.htm,一缕拾光,,99.76%
4.88,//shop102503972.taobao.com,服饰鞋包,4.78,17,102503972,zxpink0,32,4.86,//rate.taobao.com/user-rate-UMFH4vCc4vFHW.htm,PinkGirl时尚服饰,,97.45%
4.95,//shop136947842.taobao.com,服饰鞋包,4.96,17,136947842,靓彩丽人生活馆,159,4.91,//rate.taobao.com/user-rate-UvCxuMCcbMFIuMNTT.htm,韵丽非凡,,99.15%
5,//shop72114742.taobao.com,服饰鞋包,4.98,17,72114742,池池52066,56,4.98,//rate.taobao.com/user-rate-UOm8uOmxGOmQS.htm,时尚女人馆 雅致生活,,98.86%
4.87,//shop103540124.taobao.com,服饰鞋包,4.84,354,103540124,香港老爷车专柜,413,4.86,//rate.taobao.com/user-rate-UvFxLvGIWMCcYONTT.htm,香港老爷车专柜,广东 广州,99.04%
4.96,//shop73378761.taobao.com,服饰鞋包,4.94,8,73378761,胭脂蓝蔻,56,4.97,//rate.taobao.com/user-rate-UMGHbMCvYMGH4.htm,胭脂蓝蔻女装,,99.07%
4.79,//shop145250131.taobao.com,服饰鞋包,4.68,17,145250131,文文衣格,11,4.8,//rate.taobao.com/user-rate-UvCcuMFc0OmN0MNTT.htm,文文衣格,,97.59%
4.96,//shop106122253.taobao.com,服饰鞋包,4.88,8,106122253,真善美2016,314,4.88,//rate.taobao.com/user-rate-UvFcLOmIGvFkWONTT.htm,艾美丽莎高端女装,,97.09%
4.53,//shop156084074.taobao.com,服饰鞋包,4.24,17,156084074,天天美丽服饰店,61,4.58,//rate.taobao.com/user-rate-UvCguOmQuvFkyvNTT.htm,天天美丽服饰店,,94.44%
4.82,//shop73220488.taobao.com,服饰鞋包,4.77,4559,73220488,天添来购,57,4.82,//rate.taobao.com/user-rate-UOFIyvG84MGk0.htm,来购商城,,99.32%
4.65,//shop149895185.taobao.com,服饰鞋包,4.51,8,149895185,xx博裕,116,4.59,//rate.taobao.com/user-rate-UvCcSOFg0MFH0MQTT.htm,BOYU女装,,94.30%
4.86,//shop490379318.taobao.com,服饰鞋包,4.83,17,490379318,wly561520,76,4.82,//rate.taobao.com/user-rate-UMFNGvFI4vCcW.htm,衣特 YITE,,95.83%
4,//shop258558388.taobao.com,服饰鞋包,4,0,258558388,天香百合007007,87,4,//rate.taobao.com/user-rate-UOmNWMmv0vC80.htm,小白鸽服饰,,100.00%
4.83,//shop72259998.taobao.com,服饰鞋包,4.78,2025,72259998,我的口袋有个天空,81,4.81,//rate.taobao.com/user-rate-UOmcYOFHSOFIW.htm,洛纯大码,,99.57%
4.85,//shop36775773.taobao.com,服饰鞋包,4.86,9,36775773,江志斌1,35,4.88,//rate.taobao.com/user-rate-UvF8GMCcuMCQG.htm,酷我品味阁,山东 青岛,97.77%
4.85,//shop149116043.taobao.com,母婴,4.8,615,149116043,六只小熊童装,75,4.84,//rate.taobao.com/user-rate-UvCgYMFgYMGg0MNTT.htm,霖贝儿童装店,,98.66%
4.8,//shop105692531.taobao.com,服饰鞋包,4.8,5,105692531,淑女宣言特卖店,21,4.93,//rate.taobao.com/user-rate-UvFcLvCgyMmx4ONTT.htm,淑女宣言特卖店,,94.11%
4.61,//shop108031456.taobao.com,母婴,4.6,193,108031456,天天宝贝儿童服饰,80,4.61,//rate.taobao.com/user-rate-UvFkyOmHbMFN0vWTT.htm,天天宝贝童品屋,,96.76%
4.77,//shop109808921.taobao.com,母婴,4.73,1146,109808921,1笑而过92,54,4.76,//rate.taobao.com/user-rate-UvFx4MmcYOmgYvWTT.htm,俏巴兔 原创品牌,,96.48%
4.72,//shop458069045.taobao.com,母婴,4.7,330,458069045,咪咕咪咕爱922,42,4.75,//rate.taobao.com/user-rate-UvCguvC8yOmIGvgTT.htm,糖宝童装店1号,,99.47%
4.81,//shop110239325.taobao.com,母婴,4.77,232,110239325,嘿呀竹,745,4.83,//rate.taobao.com/user-rate-UvFxLvCNLvCHLOQTT.htm,嘿呀竹品牌企业店,,99.12%
4.88,//shop148451429.taobao.com,服饰鞋包,4.71,9,148451429,亲meimei6,46,4.83,//rate.taobao.com/user-rate-UvCH0vCN4Om8WMNTT.htm,小婷婷时尚女装,,95.03%
4.82,//shop65856208.taobao.com,服饰鞋包,4.78,5,65856208,aa009400,45,4.84,//rate.taobao.com/user-rate-UMCcSMGQ4Mmv4.htm,蔓蔓菁梦,湖南 株洲,98.55%
4.6,//shop108669711.taobao.com,母婴,4.54,479,108669711,海边的小贝壳0603,1242,4.6,//rate.taobao.com/user-rate-UvFkuvGNWOF8LMWTT.htm,海边的小贝壳0603,,96.32%
4.92,//shop141959486.taobao.com,服饰鞋包,4.81,9,141959486,吴i9300,92,4.89,//rate.taobao.com/user-rate-UvFgWOFNGOF8uOQTT.htm,复古格调服装,广东 汕头,100.00%
4.82,//shop36786730.taobao.com,母婴,4.79,479,36786730,流向迪拜,162,4.83,//rate.taobao.com/user-rate-UvF8bMFILMCxL.htm,Holiday优童品,浙江 台州,99.38%
4.96,//shop35320547.taobao.com,母婴,4.94,63,35320547,陈依子心,67,4.96,//rate.taobao.com/user-rate-UOmH0OFc0vFkT.htm,俩俩童品,江苏 常州,100.00%
4.47,//shop72102420.taobao.com,服饰鞋包,4.33,22,72102420,刘锦添16884,74,4.47,//rate.taobao.com/user-rate-UOmcWMCgWMGxW.htm,优依良品女装,,95.05%
4.9,//shop101880080.taobao.com,母婴,4.89,227,101880080,藕粉小丸子,323,4.9,//rate.taobao.com/user-rate-UvFNYvGIWMCIuvQTT.htm,爱吾宝初高中少女大童学生装,,99.49%
4.87,//shop115069310.taobao.com,母婴,4.84,419,115069310,珠蓬蓬mm,15,4.88,//rate.taobao.com/user-rate-UvCvyvmkSOF8YvQTT.htm,唐妈妈手工坊,,99.06%
4.3,//shop400562554.taobao.com,服饰鞋包,4.2,9,400562554,木子正文6000,90,4.4,//rate.taobao.com/user-rate-UvGNYMCNLvFx0MWTT.htm,LZ 潮 流 女 装,,100.00%
4.81,//shop108776813.taobao.com,服饰鞋包,4.75,22,108776813,衣网情深223,331,4.75,//rate.taobao.com/user-rate-UvFk4MCN4OFxYMQTT.htm,衣网情深223,,96.49%
4.9,//shop66909810.taobao.com,母婴,4.85,370,66909810,dongyan9991,195,4.9,//rate.taobao.com/user-rate-UvFN4OFvuvm80.htm,洋洋de小衣柜,上海,98.51%
4.91,//shop34640275.taobao.com,母婴,4.89,74,34640275,yuri52188,189,4.91,//rate.taobao.com/user-rate-UMF8uMFQGMC8T.htm,J妈next全球购,江苏 泰州,100.00%
5,//shop155001683.taobao.com,服饰鞋包,5,9,155001683,花水木石桥,154,5,//rate.taobao.com/user-rate-UvCv0MGgbMGc0MgTT.htm,亿分贝,,100.00%
4.63,//shop119076525.taobao.com,母婴,4.57,882,119076525,距离109,61,4.62,//rate.taobao.com/user-rate-UvFcYOmvYOFIyMWTT.htm,壹号童衣,,97.16%
5,//shop104871602.taobao.com,服饰鞋包,4.67,22,104871602,广州欧时力5,17,5,//rate.taobao.com/user-rate-UvFcGvCvSMGISMNTT.htm,欧家女装定制,,97.90%
4.86,//shop115576972.taobao.com,母婴,4.88,203,115576972,美妞妞舞蹈表演服,106,4.86,//rate.taobao.com/user-rate-UvCIYMmILMCgbvNTT.htm,美妞妞舞蹈表演服,,98.58%
5,//shop100570720.taobao.com,服饰鞋包,5,9,100570720,淘一抹风情,54,5,//rate.taobao.com/user-rate-UMGN0OFxYvF8G.htm,绫莉精品女装,,100.00%
4.95,//shop114207157.taobao.com,母婴,4.94,49,114207157,nicholas_ylxe,59,4.95,//rate.taobao.com/user-rate-UvCI0Om8yvCQWMQTT.htm,馨馨婴童品牌屋,,99.44%
4.52,//shop100410565.taobao.com,服饰鞋包,4.41,22,100410565,气质的淑女,80,4.53,//rate.taobao.com/user-rate-UvFNbvGQLMCgyONTT.htm,气质淑女潮流女装精品店,,89.58%
4.79,//shop103441275.taobao.com,母婴,4.75,73,103441275,桐桐快乐宝贝摄影服装点,89,4.81,//rate.taobao.com/user-rate-UvFx0MGc4MmkGvgTT.htm,桐桐爱舞蹈演出服装屋,山东 菏泽,97.04%
4.65,//shop106772206.taobao.com,母婴,4.58,888,106772206,wgruohanbaby,185,4.7,//rate.taobao.com/user-rate-UvF8SMmk4Om8WvWTT.htm,潮妞的私家衣橱,,97.48%
