服务态度,店铺链接,类型,描述相符,店铺销量,店铺id,卖家昵称,店铺宝贝数量,物流速度,用户评分链接,店铺名称,店铺区域,好评率
4.58,//shop148990040.taobao.com,服饰鞋包,4.49,1110,148990040,仓海gg,67,4.62,//rate.taobao.com/user-rate-UvFcbMCv4vmxbMQTT.htm,魅力尔娜大码女装,,96.00%
4.79,//shop121480388.taobao.com,服饰鞋包,4.73,1268,121480388,许孟飞123,56,4.82,//rate.taobao.com/user-rate-UvFxbMmHuvCQ0vWTT.htm,Yi Ran优质高端女装,,96.03%
4.93,//shop61223822.taobao.com,服饰鞋包,4.92,490,61223822,亿友iyo,113,4.94,//rate.taobao.com/user-rate-UvGkbOmg0OFNL.htm,iyo,,99.45%
4.71,//shop124266589.taobao.com,服饰鞋包,4.66,488,124266589,韩潮美衣8,66,4.71,//rate.taobao.com/user-rate-UvC8bvCHYOFQuvQTT.htm,日韩美衣馆8,,98.61%
4.69,//shop110260751.taobao.com,服饰鞋包,4.62,92,110260751,童话王国3988,6,4.71,//rate.taobao.com/user-rate-UvFxbMGkWvCQGOQTT.htm,希希家潮品女装,广东 惠州,98.42%
4.91,//shop63297592.taobao.com,服饰鞋包,4.87,70,63297592,一网情深0704,143,4.91,//rate.taobao.com/user-rate-UMmxGOmNSOFNL.htm,MCY欧洲站大牌高端女装店,浙江 嘉兴,99.02%
4.96,//shop73434746.taobao.com,服饰鞋包,4.94,120,73434746,魅力时装展示秀,216,4.96,//rate.taobao.com/user-rate-UvFNGvCQ0MmkWvgTT.htm,精品女装诚信舰旗店,,99.55%
4.85,//shop163289500.taobao.com,服饰鞋包,4.81,269,163289500,丶奔跑的小野猪,26,4.84,//rate.taobao.com/user-rate-UvCkyOFIWOFvWMNTT.htm,THINK BAISEN女装潮品店,,97.69%
4.72,//shop61416265.taobao.com,服饰鞋包,4.65,137,61416265,虫虫的小小世界,791,4.69,//rate.taobao.com/user-rate-UMmN0MCcbOFku.htm,恰似那年华形象店,,97.17%
4.77,//shop116979672.taobao.com,服饰鞋包,4.69,1547,116979672,天天新款伊人飘影,174,4.79,//rate.taobao.com/user-rate-UvCQbvCxbMm8LvQTT.htm,新潮裙衣工厂店2,,94.89%
