服务态度,店铺链接,类型,描述相符,店铺销量,店铺id,卖家昵称,店铺宝贝数量,物流速度,用户评分链接,店铺名称,店铺区域,好评率
4.74,//shop64236755.taobao.com,服饰鞋包,4.66,15,64236755,d1314520941426,70,4.73,//rate.taobao.com/user-rate-UvGIWOFc0vFgL.htm,优蔓尔时尚潮流韩版女装,浙江 金华,96.94%
4.55,//shop126878153.taobao.com,服饰鞋包,4.38,15,126878153,馨雨琦运动装,17,4.38,//rate.taobao.com/user-rate-UvC8uvmgyMGgWvWTT.htm,馨雨琦官方企业店,,95.50%
4.77,//shop145844542.taobao.com,服饰鞋包,4.79,15,145844542,明飞企业店,40,4.75,//rate.taobao.com/user-rate-UvCcuMFcYMCg4vNTT.htm,田慧小屋,北京,95.92%
4.81,//shop102348353.taobao.com,服饰鞋包,4.81,15,102348353,zhang1994yiwei,74,4.83,//rate.taobao.com/user-rate-UvFHyMCgYOmc4MNTT.htm,YD专柜 专注短裙,河南 商丘,100.00%
4.77,//shop73083555.taobao.com,服饰鞋包,4.65,13,73083555,chen江勇,73,4.77,//rate.taobao.com/user-rate-UOmkyMC8YOFHy.htm,小妖精精品,,97.97%
4.92,//shop129476240.taobao.com,服饰鞋包,4.9,13,129476240,牧都兰企业集团,117,4.94,//rate.taobao.com/user-rate-UvCxGMmgyOmISONTT.htm,用心只为好羊绒,,99.21%
4.59,//shop156089133.taobao.com,服饰鞋包,4.41,13,156089133,风谷来客vs,109,4.55,//rate.taobao.com/user-rate-UvCguOmIYvCg4MWTT.htm,爱靓丽依人,,92.00%
5,//shop141079111.taobao.com,服饰鞋包,5,13,141079111,qq13421587515,60,5,//rate.taobao.com/user-rate-UvFxbvCkLvFc4vNTT.htm,衣姿莱服装,广东 广州,100.00%
4.78,//shop343415596.taobao.com,服饰鞋包,4.44,13,343415596,苏晓萌1,96,4.67,//rate.taobao.com/user-rate-UvGNWMmILOmcG.htm,萌の宝贝 商城,广东 东莞,100.00%
4.87,//shop144022830.taobao.com,服饰鞋包,4.82,17,144022830,忆佳人商贸,38,4.88,//rate.taobao.com/user-rate-UvCcbOmILvm80vNTT.htm,忆佳人时尚服饰店,,99.14%
4.95,//shop72660065.taobao.com,服饰鞋包,4.91,17,72660065,潇洒的梦88,65,4.95,//rate.taobao.com/user-rate-UvC8YMmHYOFxy.htm,IU家高端品牌折扣店,,98.97%
4.94,//shop122046387.taobao.com,服饰鞋包,4.9,17,122046387,tb802089_2012,103,4.94,//rate.taobao.com/user-rate-UOmIGMGNbvCg0.htm,SWKZII女装,,99.75%
4.79,//shop60821336.taobao.com,母婴,4.75,383,60821336,maozhengzan6,142,4.78,//rate.taobao.com/user-rate-UvGgGvFc0MmQu.htm,小浣熊精品童屋,,99.16%
4.9,//shop109583750.taobao.com,母婴,4.87,629,109583750,柠檬扮靓靓,355,4.9,//rate.taobao.com/user-rate-UvCNyvGI0MmQuvgTT.htm,Baby梦幻衣柜,,99.77%
4.62,//shop59468543.taobao.com,母婴,4.6,1032,59468543,zhangbohaozz,90,4.6,//rate.taobao.com/user-rate-UvGHGvCx0vCgS.htm,贝瓦精品童装店,广东 深圳,97.19%
4.88,//shop69784382.taobao.com,母婴,4.87,1031,69784382,br指尚标,166,4.88,//rate.taobao.com/user-rate-UMFNuMmH4MFkY.htm,指尚标指尚标,,99.25%
4.81,//shop113464677.taobao.com,母婴,4.79,1165,113464677,怀愁望月,73,4.76,//rate.taobao.com/user-rate-UOmQLMFkuvFgG.htm,Dudu cream只做纯棉简单有爱,,98.76%
4.8,//shop107300314.taobao.com,母婴,4.86,124,107300314,北京酷派小鸟,40,4.77,//rate.taobao.com/user-rate-UvFgLMmI0OFk0OQTT.htm,太阳雪人儿童羽绒服厂家直售,北京,99.37%
4.79,//shop110757968.taobao.com,母婴,4.76,905,110757968,lofyoulf,38,4.77,//rate.taobao.com/user-rate-UMCg0MCN4MFkL.htm,思淼屋,,98.52%
4.55,//shop36598676.taobao.com,母婴,4.5,799,36598676,2008dongli1,36,4.58,//rate.taobao.com/user-rate-UvFQWMGkbvmNL.htm,妞妞仔仔186,河南 商丘,97.16%
4.57,//shop117197428.taobao.com,母婴,4.54,255,117197428,xuhang541752290,36,4.58,//rate.taobao.com/user-rate-UOmHbMFxuOmvL.htm,小淘气昊昊童装店,浙江 绍兴,90.86%
4.83,//shop65736943.taobao.com,母婴,4.78,369,65736943,金贝贝d,251,4.81,//rate.taobao.com/user-rate-UMCgGMFQGMmNW.htm,大头贝贝男童衣,,99.39%
4.8,//shop100975318.taobao.com,母婴,4.77,1127,100975318,yeahtechen,39,4.78,//rate.taobao.com/user-rate-UvFN0vCkuOFvSvQTT.htm,正琳Babyclub嘟嘟之家,,98.85%
4.84,//shop118205877.taobao.com,母婴,4.8,993,118205877,汪伟wf123,35,4.84,//rate.taobao.com/user-rate-UOmkLMmcbMCN4.htm,果果西里,,98.39%
4.91,//shop109616216.taobao.com,母婴,4.87,415,109616216,22uuat98,87,4.92,//rate.taobao.com/user-rate-UMGHyOmQ4vCc0.htm,童一个世界定制童品,山东 青岛,99.48%
4.74,//shop36417600.taobao.com,服饰鞋包,4.85,14,36417600,我喜欢美人鱼,18,4.82,//rate.taobao.com/user-rate-UvFvGvCxGMmH4.htm,韩都纯品一美人鱼,江苏 淮安,97.71%
4.99,//shop155485389.taobao.com,服饰鞋包,4.97,14,155485389,含香衣韵自营店,78,4.96,//rate.taobao.com/user-rate-UvCgLOm8uMCN0vQTT.htm,含香衣韵官方企业店,,99.35%
4.85,//shop116115438.taobao.com,服饰鞋包,4.68,14,116115438,冰河小太阳,50,4.88,//rate.taobao.com/user-rate-UvCIbMG8GMmx4vgTT.htm,时尚美妞靓衣阁,广东 广州,97.92%
4.95,//shop150932330.taobao.com,服饰鞋包,4.96,14,150932330,qqwuyuehua99,51,4.97,//rate.taobao.com/user-rate-UvFxYMmI0vFI4ONTT.htm,迷迷朵服饰,,99.36%
4.86,//shop105646937.taobao.com,服饰鞋包,4.84,24,105646937,绅媛名品1号店,224,4.87,//rate.taobao.com/user-rate-UvFxbvmHSMmI4vNTT.htm,绅媛名品1号店,,98.29%
4.88,//shop109749092.taobao.com,服饰鞋包,4.8,24,109749092,瑶瑶女装77,145,4.82,//rate.taobao.com/user-rate-UvCNGMGgLvF8yONTT.htm,九妹大码女装,,97.83%
4.79,//shop102905826.taobao.com,服饰鞋包,4.83,24,102905826,千娇百媚1913,46,4.83,//rate.taobao.com/user-rate-UvFxyMCcYvFvyMQTT.htm,千娇百媚时尚女装服饰店,福建 漳州,97.79%
4.85,//shop163198887.taobao.com,服饰鞋包,4.77,16,163198887,静迅薇怡,53,4.85,//rate.taobao.com/user-rate-UvCkyMFQGMFHbOQTT.htm,韩竺女装企业店,,99.23%
