服务态度,店铺链接,类型,描述相符,店铺销量,店铺id,卖家昵称,店铺宝贝数量,物流速度,用户评分链接,店铺名称,店铺区域,好评率
4.87,//shop106679619.taobao.com,母婴,4.82,776,106679619,阿宝时尚99,43,4.83,//rate.taobao.com/user-rate-UvFg0vFHWMmkYvgTT.htm,阿宝精品童装铺,,98.20%
4.85,//shop100993886.taobao.com,母婴,4.83,533,100993886,有思想_有内涵,36,4.85,//rate.taobao.com/user-rate-UvFN4vFxYOFv4MQTT.htm,南极人涵希彩棉婴童装,,99.42%
4.79,//shop36038214.taobao.com,母婴,4.73,470,36038214,月影轻悠,82,4.77,//rate.taobao.com/user-rate-UvFNLMGHYMmN4.htm,e个好孩子童装,上海,98.32%
4.81,//shop59431900.taobao.com,服饰鞋包,4.77,566,59431900,taobaos掌柜,116,4.78,//rate.taobao.com/user-rate-UvGNuMFHGOmx4.htm,宁蔓品牌直销店,福建 泉州,99.03%
4.87,//shop70395400.taobao.com,服饰鞋包,4.8,494,70395400,donfzhn,186,4.86,//rate.taobao.com/user-rate-UMGHyOFc4vCcY.htm,Circle小怪兽,湖北 武汉,98.61%
4.88,//shop36148122.taobao.com,服饰鞋包,4.84,431,36148122,钱来也vs多多,133,4.87,//rate.taobao.com/user-rate-UvFIWOFNbvFk0.htm,肥小胖大码独家定制 绝无分店,广东 广州,99.05%
4.81,//shop58101931.taobao.com,服饰鞋包,4.82,493,58101931,alcansunny,4300,4.85,//rate.taobao.com/user-rate-UvFQYMmx4vGgS.htm,千仞岗正品店,江苏 苏州,98.80%
4.69,//shop67638102.taobao.com,母婴,4.65,2676,67638102,yck017,358,4.72,//rate.taobao.com/user-rate-UMCkGvmHYvm8G.htm,轲宝时尚童屋,河南 商丘,95.52%
4.81,//shop105487384.taobao.com,母婴,4.79,3022,105487384,多比小星,68,4.78,//rate.taobao.com/user-rate-UvFHyOF84MmNyONTT.htm,乐朗熊,,99.75%
4.81,//shop105975791.taobao.com,母婴,4.76,3022,105975791,陈熏豆,155,4.79,//rate.taobao.com/user-rate-UvFx0OmIbvFHuvQTT.htm,航麻爱小铺,,99.07%
4.9,//shop36531160.taobao.com,母婴,4.86,1256,36531160,蒙威飒,180,4.88,//rate.taobao.com/user-rate-UvFvSMFk0Omxy.htm,TT优质羊绒生活馆,内蒙古 赤峰,99.24%
4.84,//shop117277232.taobao.com,母婴,4.79,2049,117277232,小树菠萝3298,285,4.83,//rate.taobao.com/user-rate-UvCQLMFNYMFNuOQTT.htm,豆豆家衣柜3298,广东 揭阳,98.64%
4.92,//shop102912073.taobao.com,母婴,4.89,1408,102912073,口水月,223,4.91,//rate.taobao.com/user-rate-UvF84MFxSMCQ4MWTT.htm,美芽 童品,,99.79%
4.82,//shop57168080.taobao.com,母婴,4.76,2585,57168080,lijuan727,310,4.83,//rate.taobao.com/user-rate-UvG8bvFc0vCkT.htm,Babyface生活小铺,上海,99.00%
4.91,//shop112619970.taobao.com,母婴,4.9,1226,112619970,jshmly01,307,4.91,//rate.taobao.com/user-rate-UvCIWvmHYMGcLMQTT.htm,tiffchlo踢飞,,99.91%
4.89,//shop59034241.taobao.com,母婴,4.87,1223,59034241,e街区,310,4.89,//rate.taobao.com/user-rate-UvF8yOFcYvmNT.htm,巴拉巴拉小魔仙韩版童装店,江苏 无锡,99.39%
