服务态度,店铺链接,类型,描述相符,店铺销量,店铺id,卖家昵称,店铺宝贝数量,物流速度,用户评分链接,店铺名称,店铺区域,好评率
4.84,//shop58329461.taobao.com,服饰鞋包,4.8,594,58329461,a7062236,203,4.82,//rate.taobao.com/user-rate-UvFk4MGcbMFkS.htm,SHARDOSE欧美街拍,福建 宁德,99.50%
4.88,//shop58556712.taobao.com,服饰鞋包,4.87,888,58556712,恋依社love,1155,4.86,//rate.taobao.com/user-rate-UvCxbMCNGMCNy.htm,恋依社LOVE正品代购店,江苏 南京,99.10%
4.84,//shop108640783.taobao.com,母婴,4.81,2455,108640783,童尚童装批发中心,568,4.84,//rate.taobao.com/user-rate-UvFguMGHYMFNWMQTT.htm,童尚童装批发零售中心,浙江 温州,99.13%
4.78,//shop107334414.taobao.com,母婴,4.74,1689,107334414,zzzyujing,62,4.77,//rate.taobao.com/user-rate-UvFHWMGHbMC8bMNTT.htm,甜品起司童装实拍店,,98.47%
4.73,//shop116604071.taobao.com,母婴,4.67,4030,116604071,小也小也精品馆,19,4.74,//rate.taobao.com/user-rate-UvCQYOmHuvFQLvQTT.htm,莱西小象欧范童装,,97.86%
4.94,//shop129707751.taobao.com,母婴,4.93,1158,129707751,木易广土,690,4.94,//rate.taobao.com/user-rate-UvFx4vFx4MGISMQTT.htm,萱家外贸童装店铺,,99.84%
4.87,//shop130396695.taobao.com,母婴,4.85,3527,130396695,bobommc1,425,4.88,//rate.taobao.com/user-rate-UvF8YMm8bMCNY.htm,Cream Kids奶油风格童装,,99.60%
4.88,//shop63018586.taobao.com,母婴,4.83,1640,63018586,勇洁517,365,4.88,//rate.taobao.com/user-rate-UvCc0MFQ4MCQ4.htm,勇洁童心童装,山东 青岛,99.77%
4.81,//shop105466973.taobao.com,母婴,4.78,6361,105466973,二师兄让妖怪抓走了,51,4.8,//rate.taobao.com/user-rate-UvFcbOFgLvFxSvgTT.htm,小领袖童装,,99.08%
4.89,//shop35738796.taobao.com,母婴,4.87,2076,35738796,xmm19871122,166,4.9,//rate.taobao.com/user-rate-UOFcWMCxuvmgT.htm,铭轩屋童装,浙江 杭州,99.30%
4.73,//shop103777107.taobao.com,母婴,4.7,2660,103777107,天翼童装,151,4.71,//rate.taobao.com/user-rate-UvFxuOmvuOFQbMNTT.htm,天翼童装,,98.98%
4.77,//shop111977172.taobao.com,母婴,4.73,7185,111977172,羽熙与童话,73,4.76,//rate.taobao.com/user-rate-UvCN4Om8bOFcWOQTT.htm,熙贝贝童装,,98.24%
4.8,//shop149006725.taobao.com,母婴,4.76,4303,149006725,ocliarny企业店,89,4.78,//rate.taobao.com/user-rate-UvCgYMFI4vF8LMNTT.htm,小红鱼精品童装只做性价比,,98.58%
4.76,//shop70289051.taobao.com,母婴,4.7,2310,70289051,cmkxww,206,4.76,//rate.taobao.com/user-rate-UOmk4vmQLvmQT.htm,兜兜家 童装,,98.24%
4.8,//shop105468094.taobao.com,母婴,4.77,1800,105468094,tb_5931596,66,4.78,//rate.taobao.com/user-rate-UOm8bMmxbMCxW.htm,贝贝亲子童装城,,98.84%
4.67,//shop113532221.taobao.com,母婴,4.62,2303,113532221,我们百分百幸福的家,181,4.69,//rate.taobao.com/user-rate-UvCI0vCxuvmgyMQTT.htm,童装壹号店婴幼儿服饰,,94.75%
4.74,//shop108298689.taobao.com,母婴,4.73,6216,108298689,bb15914562965,14,4.74,//rate.taobao.com/user-rate-UvFkbvmkYvGHSvgTT.htm,杰尼童装,,98.16%
4.95,//shop35376781.taobao.com,母婴,4.94,963,35376781,平平琪0409,406,4.94,//rate.taobao.com/user-rate-UOmc4MGxyOmkT.htm,朵公主外贸童装,山东 济南,99.66%
4.8,//shop137426828.taobao.com,服饰鞋包,4.77,1034,137426828,79339li,66,4.78,//rate.taobao.com/user-rate-UvFNLvGQSvmkWvWTT.htm,班尼路圆格特营店,,98.95%
4.9,//shop35718589.taobao.com,服饰鞋包,4.85,347,35718589,蓝色空间外贸服装总汇,128,4.88,//rate.taobao.com/user-rate-UvFNWMFc4MGQS.htm,蓝色空间外贸服装总汇,广东 广州,98.79%
4.81,//shop104604607.taobao.com,母婴,4.78,4350,104604607,郑林燕55,18,4.81,//rate.taobao.com/user-rate-UMmgLMFk0MGIu.htm,恩诺宝贝店,,98.45%
4.82,//shop69873184.taobao.com,母婴,4.79,3379,69873184,xiaoxianxiao8712,91,4.79,//rate.taobao.com/user-rate-UMGxLvCgLMGgu.htm,芭儿公主的城堡,,96.80%
4.77,//shop106010583.taobao.com,服饰鞋包,4.75,718,106010583,京品一枝梅,169,4.74,//rate.taobao.com/user-rate-UvFcuOFx0vCHyMQTT.htm,京品一枝梅,,97.82%
4.76,//shop62972015.taobao.com,服饰鞋包,4.7,683,62972015,动漫之家home,194,4.71,//rate.taobao.com/user-rate-UMFHbOmIYvmIW.htm,潮印服饰,广东 广州,98.79%
4.84,//shop61531340.taobao.com,服饰鞋包,4.81,348,61531340,马克华菲系列特惠店,531,4.83,//rate.taobao.com/user-rate-UMmHWvCISMmxW.htm,马克华菲系列特惠店 正品保障 马克华菲JEANS 国际时尚系列,,99.20%
4.79,//shop102375208.taobao.com,服饰鞋包,4.71,476,102375208,520林志祥520,53,4.77,//rate.taobao.com/user-rate-UOmI0vmNYMmv0.htm,酷8品质男装店,福建 泉州,97.32%
4.76,//shop35652715.taobao.com,服饰鞋包,4.72,451,35652715,快乐三月,251,4.71,//rate.taobao.com/user-rate-UOmgYMmQYMGHT.htm,快乐三月,北京,99.18%
4.9,//shop163085200.taobao.com,服饰鞋包,4.87,585,163085200,贞子潮男,37,4.9,//rate.taobao.com/user-rate-UvCkyMFgSMGQ0vgTT.htm,鸟牌工厂折扣店,,99.12%
4.67,//shop101136435.taobao.com,服饰鞋包,4.59,316,101136435,jeep时尚男装9,116,4.68,//rate.taobao.com/user-rate-UvFNbOmxSMGk0ONTT.htm,美国Jeep旗航店,,97.01%
4.7,//shop108107312.taobao.com,服饰鞋包,4.65,471,108107312,sky百搭女孩,461,4.65,//rate.taobao.com/user-rate-UvFgSMFv4OF8YMWTT.htm,SKy百搭创意T恤,,96.90%
4.87,//shop64537326.taobao.com,服饰鞋包,4.82,392,64537326,欧旭雅,319,4.83,//rate.taobao.com/user-rate-UMCH4vFNLvCHY.htm,衣品服饰男士品质服装,,98.28%
4.84,//shop101226733.taobao.com,服饰鞋包,4.83,412,101226733,黑店掌柜99,37,4.84,//rate.taobao.com/user-rate-UOFISvC80vCxW.htm,Gmsir精品大码男装店,广东 广州,98.21%
4.96,//shop64461144.taobao.com,服饰鞋包,4.93,360,64461144,casualfans,289,4.94,//rate.taobao.com/user-rate-UMC8SMCI4MCNY.htm,Casual Club,北京,99.88%
