服务态度,店铺链接,类型,描述相符,店铺销量,店铺id,卖家昵称,店铺宝贝数量,物流速度,用户评分链接,店铺名称,店铺区域,好评率
4.77,//shop36426961.taobao.com,服饰鞋包,4.69,333,36426961,鞋神08,36,4.76,//rate.taobao.com/user-rate-UvFvbvFH0MCgY.htm,新新潮流鞋店,福建 厦门,98.22%
4.81,//shop59894420.taobao.com,服饰鞋包,4.77,295,59894420,淘鞋地带,28,4.79,//rate.taobao.com/user-rate-UvGH4vFkWvCcL.htm,淘鞋地带,,98.85%
4.53,//shop59105885.taobao.com,服饰鞋包,4.57,231,59105885,丫头最美2008,83,4.54,//rate.taobao.com/user-rate-UvCgyMFxyOFcW.htm,欢型show,,96.85%
4.51,//shop115590930.taobao.com,服饰鞋包,4.46,182,115590930,mjl200488,70,4.5,//rate.taobao.com/user-rate-UvCvGvGQyMG8W.htm,奔跑吧兄弟潮鞋店,北京,97.82%
4.3,//shop244069605.taobao.com,服饰鞋包,4.09,256,244069605,星宇时尚潮流时尚店,51,4.2,//rate.taobao.com/user-rate-UvCkLvFNyMGcLMQTT.htm,时尚潮流店6618,,95.45%
4.86,//shop65518060.taobao.com,母婴,4.84,657,65518060,荆羽儿,101,4.84,//rate.taobao.com/user-rate-UMCNuMmILMCHT.htm,暄暄童服,湖南 衡阳,98.96%
4.77,//shop61694464.taobao.com,服饰鞋包,4.72,469,61694464,chuantao83,70,4.75,//rate.taobao.com/user-rate-UvGQbOmQuMFNL.htm,零点时尚潮鞋,河南 郑州,97.77%
4.79,//shop166247938.taobao.com,服饰鞋包,4.7,408,166247938,经济生活1992,82,4.77,//rate.taobao.com/user-rate-UMCgbMFvSMFvG.htm,蓉鞋舍,,99.61%
4.68,//shop111367998.taobao.com,服饰鞋包,4.66,1176,111367998,天气晴life,17,4.58,//rate.taobao.com/user-rate-UvCHyvmHyOFNYOQTT.htm,jimu积木原创,,97.41%
4.82,//shop57256150.taobao.com,服饰鞋包,4.8,404,57256150,lostelohim,277,4.83,//rate.taobao.com/user-rate-UvCNbOmcuMGHT.htm,Josiny卓诗尼折扣店,浙江 温州,98.28%
4.78,//shop63754167.taobao.com,服饰鞋包,4.74,460,63754167,tushangxue,43,4.77,//rate.taobao.com/user-rate-UvGgbMFguMGIu.htm,蒂诗萝兰女鞋,广东 惠州,99.06%
4.77,//shop109867725.taobao.com,母婴,4.73,273,109867725,yangwenxiang815,11,4.81,//rate.taobao.com/user-rate-UOmvWMCcYOm8W.htm,佰奇母婴,上海,96.81%
4.8,//shop65843648.taobao.com,服饰鞋包,4.84,200,65843648,六彩森林,125,4.81,//rate.taobao.com/user-rate-UMCx4vmQbMG80.htm,阿里鞋屋,,98.17%
4.91,//shop59134950.taobao.com,服饰鞋包,4.88,139,59134950,my98b2149,28,4.93,//rate.taobao.com/user-rate-UMGQbOmkWMmvT.htm,曼德奇,广东 东莞,99.10%
