服务态度,店铺链接,类型,描述相符,店铺销量,店铺id,卖家昵称,店铺宝贝数量,物流速度,用户评分链接,店铺名称,店铺区域,好评率
4.77,//shop124372955.taobao.com,服饰鞋包,4.68,104,124372955,艾佳人2015,51,4.76,//rate.taobao.com/user-rate-UvC8bvGcLvFg4ONTT.htm,俏女郎靓衣坊,,96.58%
4.87,//shop117017894.taobao.com,服饰鞋包,4.82,25,117017894,zyb2275,12,4.81,//rate.taobao.com/user-rate-UvFN4OFIuvFgGONTT.htm,晴天衣铺 比波家,,97.91%
4.8,//shop155027582.taobao.com,服饰鞋包,4.76,104,155027582,卡洛莱888,26,4.79,//rate.taobao.com/user-rate-UvCgLMmcWOFv0MgTT.htm,风韵霓裳企业店,,99.63%
4.97,//shop166043956.taobao.com,服饰鞋包,4.87,25,166043956,婉依秀0,43,4.92,//rate.taobao.com/user-rate-UvCk0vm8yMmgLMgTT.htm,婉依秀潮流女装,,98.00%
4.59,//shop113629849.taobao.com,服饰鞋包,4.5,119,113629849,远嫁他乡河塘,21,4.57,//rate.taobao.com/user-rate-UvFxbMFHyOFgyMgTT.htm,女人的衣柜  衣缘阁,,98.24%
5,//shop113981374.taobao.com,服饰鞋包,5,25,113981374,廖瑞冰1,41,5,//rate.taobao.com/user-rate-UvF8SvGcuvGk4MQTT.htm,冰私家自营,广东 肇庆,100.00%
4.84,//shop112842953.taobao.com,服饰鞋包,4.81,119,112842953,衣彡衣世女装卖店,65,4.89,//rate.taobao.com/user-rate-UvCIYvCI0MFcuMQTT.htm,衫衫女装卖店,,96.99%
4.77,//shop125349802.taobao.com,服饰鞋包,4.76,19,125349802,木木有衫,22,4.77,//rate.taobao.com/user-rate-UvC8LMGIuMGQGMNTT.htm,木木有衫,,98.84%
4.98,//shop116205289.taobao.com,服饰鞋包,4.94,18,116205289,nana日系女装,40,4.91,//rate.taobao.com/user-rate-UvCvSvCcGvCQYONTT.htm,nana seven日系女装,,99.83%
4.68,//shop187075601.taobao.com,服饰鞋包,4.6,19,187075601,by33girl,101,4.74,//rate.taobao.com/user-rate-UvCkLMCcyMFkbOQTT.htm,SOLO品味馆,,89.69%
