服务态度,店铺链接,类型,描述相符,店铺销量,店铺id,卖家昵称,店铺宝贝数量,物流速度,用户评分链接,店铺名称,店铺区域,好评率
4.83,//shop413156455.taobao.com,服饰鞋包,4.75,431,413156455,mzq品牌企业店,31,4.84,//rate.taobao.com/user-rate-UvGN0vmxbvFvYOQTT.htm,MZQ品牌企业店,,98.72%
4.73,//shop108405134.taobao.com,服饰鞋包,4.68,1424,108405134,蓝月亮时装店,35,4.71,//rate.taobao.com/user-rate-UvFkbOmg4Mm8bMgTT.htm,嘉兴毛衫工厂店直销店,,96.37%
4.85,//shop102219421.taobao.com,母婴,4.85,1463,102219421,云酷牛仔,59,4.84,//rate.taobao.com/user-rate-UvF8uMGvYvCx0vNTT.htm,Bright 熙家,,98.48%
4.89,//shop33089561.taobao.com,母婴,4.85,200,33089561,又见枫叶红,53,4.87,//rate.taobao.com/user-rate-UvFNWvFH0MCHT.htm,丝御蚕丝特色定制店   原名 江南丝语,浙江 湖州,99.19%
4.85,//shop60069744.taobao.com,母婴,4.79,693,60069744,华丽消逝,31,4.83,//rate.taobao.com/user-rate-UvG80MFHGvFcW.htm,Lucky萌宝贝,山东 青岛,99.07%
4.65,//shop108454180.taobao.com,服饰鞋包,4.57,483,108454180,潮起潮落1314888,260,4.59,//rate.taobao.com/user-rate-UvFkLMFkbOmHGMWTT.htm,潮起潮落大码男装店,,97.49%
4.74,//shop101619389.taobao.com,服饰鞋包,4.76,370,101619389,yst545643555,33,4.74,//rate.taobao.com/user-rate-UOmN0vGN0MmHS.htm,港仔潮男精品店,福建 泉州,98.24%
4.91,//shop70746844.taobao.com,服饰鞋包,4.87,368,70746844,哪些花儿ha,16,4.89,//rate.taobao.com/user-rate-UOmvSOmgyvG8S.htm,尚流生活馆,北京,99.20%
4.56,//shop108826126.taobao.com,服饰鞋包,4.5,817,108826126,大不同外贸,20,4.49,//rate.taobao.com/user-rate-UvFk4OmNGMmN0MWTT.htm,大不同外贸批发,,97.75%
4.44,//shop143601029.taobao.com,服饰鞋包,4.41,933,143601029,xw男装,117,4.4,//rate.taobao.com/user-rate-UvCcWvGvWvmx4MNTT.htm,古德型男潮流铺,,91.72%
4.72,//shop101709829.taobao.com,服饰鞋包,4.7,879,101709829,张泰然99,368,4.7,//rate.taobao.com/user-rate-UMC8GvGNWvmI0.htm,平价女鞋第一家,,98.99%
4.88,//shop109881758.taobao.com,服饰鞋包,4.85,1252,109881758,刘亦亦琪琪,35,4.86,//rate.taobao.com/user-rate-UvFNyMCc4vFgLMgTT.htm,佳佳美美鞋铺,,99.31%
4.67,//shop119412813.taobao.com,服饰鞋包,4.66,613,119412813,乾乾no1,99,4.63,//rate.taobao.com/user-rate-UvCQSOmkSvGQLMWTT.htm,潮流制度美鞋公社,,96.73%
4.82,//shop107170641.taobao.com,服饰鞋包,4.78,613,107170641,桂小周,17,4.82,//rate.taobao.com/user-rate-UvFgGvFxbvCHLOQTT.htm,桂大周女鞋,广东 广州,99.39%
4.78,//shop125094344.taobao.com,服饰鞋包,4.75,690,125094344,baikuangxieye,37,4.78,//rate.taobao.com/user-rate-UvC8bOFk0OFHLvgTT.htm,百匡女鞋品牌企业店,,98.82%
4.8,//shop104603233.taobao.com,服饰鞋包,4.77,983,104603233,心想事成18681,59,4.8,//rate.taobao.com/user-rate-UOmvYvmxLvFIY.htm,足相依,,98.92%
4.88,//shop70224606.taobao.com,服饰鞋包,4.85,543,70224606,聚星发艺,22,4.87,//rate.taobao.com/user-rate-UOmHSvGvWOmg4.htm,意尔俪妈妈鞋,,98.17%
4.83,//shop105595789.taobao.com,服饰鞋包,4.81,771,105595789,拖马斯童车大全,33,4.84,//rate.taobao.com/user-rate-UvFcbOmgYMGvuvgTT.htm,浙南鞋业,海外,97.33%
4.68,//shop113216907.taobao.com,服饰鞋包,4.63,866,113216907,活着是为了更好的生活,89,4.63,//rate.taobao.com/user-rate-UvCNGvCx0MCkSMgTT.htm,Cinderella女鞋店,,94.51%
4.81,//shop120914062.taobao.com,服饰鞋包,4.77,606,120914062,酷吧吧美鞋坊,115,4.83,//rate.taobao.com/user-rate-UvC8YvCQWvFxSvgTT.htm,酷吧吧美鞋坊,,97.14%
4.75,//shop62907648.taobao.com,服饰鞋包,4.69,1233,62907648,1314相恋,67,4.73,//rate.taobao.com/user-rate-UMFNYvCIYMGI4.htm,伊丽薇恋鞋铺,广东 广州,96.09%
