服务态度,店铺链接,类型,描述相符,店铺销量,店铺id,卖家昵称,店铺宝贝数量,物流速度,用户评分链接,店铺名称,店铺区域,好评率
4.81,//shop162130273.taobao.com,母婴,4.8,231,162130273,冫日光微暖爱倾城丶,127,4.85,//rate.taobao.com/user-rate-UvCkWMCIYOmkGOQTT.htm,嘟嘟嘴母婴用品店,河南 郑州,98.67%
4.73,//shop140394477.taobao.com,服饰鞋包,4.67,1669,140394477,aa韩版潮流女装,63,4.75,//rate.taobao.com/user-rate-UvCxSvFHyOmkLMgTT.htm,金牌卖家韩版女装,,97.88%
4.85,//shop71592751.taobao.com,服饰鞋包,4.78,1663,71592751,吖猫服饰店,114,4.84,//rate.taobao.com/user-rate-UOmc0MFHbvGHu.htm,猫猫家 THE CAT,广东 广州,99.73%
4.8,//shop59223916.taobao.com,服饰鞋包,4.74,1899,59223916,huangyanhuatan,19,4.77,//rate.taobao.com/user-rate-UvCQbMmN0MmxS.htm,千晓女装形象店,河南 郑州,98.60%
4.77,//shop103345494.taobao.com,服饰鞋包,4.72,2486,103345494,凤鸾坊,144,4.78,//rate.taobao.com/user-rate-UvFx0OFg4MCvWONTT.htm,凤鸾坊美丽说,,99.15%
4.91,//shop33795198.taobao.com,母婴,4.87,261,33795198,飘香的浪漫小屋,925,4.91,//rate.taobao.com/user-rate-UMmvLMCxGvCNT.htm,天使之家正品童装店,江苏 苏州,99.91%
4.86,//shop64801953.taobao.com,服饰鞋包,4.84,1651,64801953,毅敏we,112,4.86,//rate.taobao.com/user-rate-UMCxSvFgLOF8S.htm,元格格 女裙女裤品牌店 海量夏季新款半身裙,广东 东莞,99.45%
4.87,//shop104607316.taobao.com,母婴,4.83,1018,104607316,哆乐咪520,145,4.87,//rate.taobao.com/user-rate-UvFcWMGxLOmkuMNTT.htm,一米阳光潮童馆,,98.83%
4.73,//shop371234056.taobao.com,服饰鞋包,4.63,165,371234056,上亿男装,593,4.72,//rate.taobao.com/user-rate-UvCg4MCIGOmkuMgTT.htm,My cool 港风潮店,,98.24%
4.76,//shop156315790.taobao.com,服饰鞋包,4.73,711,156315790,邻家花美男企业店,147,4.75,//rate.taobao.com/user-rate-UvCg4vFcYMGkYMQTT.htm,江南先生男装店,,98.83%
4.77,//shop68689909.taobao.com,服饰鞋包,4.67,416,68689909,来羽欧,43,4.78,//rate.taobao.com/user-rate-UMG8Wvmx4Omk0.htm,来羽欧男装店,,98.21%
4.78,//shop109439875.taobao.com,服饰鞋包,4.72,187,109439875,新元素女装8,164,4.77,//rate.taobao.com/user-rate-UvCNyvmcSvG8SvQTT.htm,型男集结号,,98.13%
4.72,//shop105250363.taobao.com,服饰鞋包,4.65,415,105250363,woklongshui,81,4.73,//rate.taobao.com/user-rate-UvFc0vGI0Mm8LMgTT.htm,阿乐港潮彼岸,,99.09%
4.67,//shop136966326.taobao.com,服饰鞋包,4.6,212,136966326,特价男装2015,68,4.64,//rate.taobao.com/user-rate-UvC8bvGHWOFkLMWTT.htm,2015创新服饰,,94.09%
4.78,//shop102037717.taobao.com,服饰鞋包,4.8,360,102037717,中老年男装折扣店,576,4.76,//rate.taobao.com/user-rate-UvFHGvCQuMGgyMgTT.htm,上海七浦路批发中心,上海,98.35%
4.86,//shop68828987.taobao.com,母婴,4.83,568,68828987,山沟沟服饰,33,4.87,//rate.taobao.com/user-rate-UMG8uMFHGvGx4.htm,萝卜呗呗旗航店,浙江 温州,99.10%
4.76,//shop111411352.taobao.com,母婴,4.72,1056,111411352,夏云yun520,23,4.76,//rate.taobao.com/user-rate-UvFxbMmHyMFkbMNTT.htm,乐逗星星,安徽 宣城,99.23%
4.84,//shop70929603.taobao.com,母婴,4.8,389,70929603,tb1025912_2011,92,4.82,//rate.taobao.com/user-rate-UOmHWvGgLMC80.htm,宅妈妈外贸定制童品,广东 深圳,99.15%
4.83,//shop113075410.taobao.com,母婴,4.8,815,113075410,天牛2014,43,4.83,//rate.taobao.com/user-rate-UvCIYvCQ4vCNyMWTT.htm,米奇外贸店,,99.36%
4.89,//shop149740651.taobao.com,母婴,4.88,561,149740651,畅畅服饰888,15,4.89,//rate.taobao.com/user-rate-UvCvLMC8uMmv4vNTT.htm,学堂书府,,99.02%
4.85,//shop145090171.taobao.com,母婴,4.83,494,145090171,67890兰花开了jiang,47,4.85,//rate.taobao.com/user-rate-UvCc0MGIYvGk4vgTT.htm,童酷衣园,,98.14%
4.69,//shop141732058.taobao.com,母婴,4.67,265,141732058,yi毅宝贝店,43572,4.7,//rate.taobao.com/user-rate-UvCcWOFgbOmHbMNTT.htm,u[2709858154],,96.19%
4.83,//shop116664524.taobao.com,母婴,4.79,558,116664524,tb89323_99,28,4.8,//rate.taobao.com/user-rate-UMCgSMCkuMCNY.htm,童年同月旗航店,,99.44%
4.68,//shop539402243.taobao.com,服饰鞋包,4.63,369,539402243,超级淘淘店,27,4.65,//rate.taobao.com/user-rate-UvCkuvmcLOFIYONTT.htm,超级淘淘淘店,,98.41%
4.74,//shop117344977.taobao.com,服饰鞋包,4.67,628,117344977,杨梓鸿888,42,4.72,//rate.taobao.com/user-rate-UvCIyvCxSOmgSMNTT.htm,远鸿运动服饰,,96.87%
4.75,//shop68415897.taobao.com,服饰鞋包,4.72,127,68415897,希衣未见,43,4.72,//rate.taobao.com/user-rate-UMGvbMmILMFxS.htm,AC在线,浙江 台州,97.67%
4.71,//shop117009099.taobao.com,服饰鞋包,4.63,245,117009099,潮男风情街,58,4.69,//rate.taobao.com/user-rate-UvCQGvGxbvFvWMgTT.htm,潮男风情街,,91.54%
4.36,//shop456732277.taobao.com,服饰鞋包,4.18,1645,456732277,tb_2429922,61,4.38,//rate.taobao.com/user-rate-UMCcWOmkLMCku.htm,大V家 原创韩版实拍女装,,95.20%
4.85,//shop72298018.taobao.com,服饰鞋包,4.82,2457,72298018,庄茹凤,44,4.85,//rate.taobao.com/user-rate-UMmQGMmQ4MmgS.htm,ZRF 时尚女装,,98.52%
4.71,//shop66648822.taobao.com,服饰鞋包,4.69,1875,66648822,木锦苏,132,4.73,//rate.taobao.com/user-rate-UMGNyOFQ0OFku.htm,MJS大牌范,广东 广州,98.81%
4.57,//shop105106852.taobao.com,服饰鞋包,4.54,443,105106852,zhangxiaowei3739,244,4.45,//rate.taobao.com/user-rate-UMGHyMGxWvGkS.htm,十棉满服,,94.51%
4.74,//shop69433238.taobao.com,服饰鞋包,4.67,577,69433238,流浪钢,21,4.75,//rate.taobao.com/user-rate-UvGkuvCH0MCQS.htm,潮男帮衣号店,,96.69%
4.66,//shop68940835.taobao.com,服饰鞋包,4.55,198,68940835,男衣阁10,92,4.66,//rate.taobao.com/user-rate-UMGxYvCNWMGg0.htm,韩酷男衣阁,浙江 杭州,99.37%
4.65,//shop155550284.taobao.com,服饰鞋包,4.58,198,155550284,欢乐时光贸易有限公司,78,4.65,//rate.taobao.com/user-rate-UvCgLvGcLMGQbMWTT.htm,欢乐时光服饰企业店,,95.88%
4.96,//shop112128467.taobao.com,母婴,4.97,285,112128467,嘻哈嘿77,37,4.96,//rate.taobao.com/user-rate-UOmNSOFvLMGxW.htm,A加儿童礼服店,,99.55%
4.8,//shop110502343.taobao.com,母婴,4.78,1118,110502343,美家家族,42,4.81,//rate.taobao.com/user-rate-UvCN0OFc4OmILvQTT.htm,小彩石,,98.08%
4.87,//shop59997875.taobao.com,母婴,4.85,597,59997875,舒风小居,54,4.87,//rate.taobao.com/user-rate-UvCQ4OmN0MmQW.htm,舒风小居,广东 广州,99.65%
4.86,//shop36604790.taobao.com,母婴,4.83,195,36604790,taoninsuoai,74,4.85,//rate.taobao.com/user-rate-UvFQYMGHYMG8L.htm,翘脚鸭母婴店,河南 安阳,98.68%
4.78,//shop103050609.taobao.com,母婴,4.76,979,103050609,东来德内衣,49,4.76,//rate.taobao.com/user-rate-UvFxyvGgWvmI0vgTT.htm,东来德内衣[1623800242],,98.00%
4.85,//shop108596976.taobao.com,运动/户外,4.84,4136,108596976,登山滑雪户外用品,71,4.87,//rate.taobao.com/user-rate-UvFkuOmH4MFvbvNTT.htm,外贸尾单户外用品,,98.78%
4.83,//shop70307945.taobao.com,服饰鞋包,4.82,213,70307945,相思雨旭旭,58,4.83,//rate.taobao.com/user-rate-UOmHbvCk4OFNu.htm,衣之梦中老年服饰,,99.03%
4.73,//shop156821271.taobao.com,服饰鞋包,4.66,213,156821271,新动力v6,32,4.71,//rate.taobao.com/user-rate-UvCguMGvuMmkuMNTT.htm,新动力V6 iFASHION,,99.00%
4.71,//shop103600903.taobao.com,服饰鞋包,4.64,317,103600903,mandy娜娜8,65,4.68,//rate.taobao.com/user-rate-UvFxLMmxbOFvSvNTT.htm,优品尚派UP,广东 广州,91.55%
4.91,//shop110203712.taobao.com,服饰鞋包,4.87,1475,110203712,我心未遗忘节奏,522,4.9,//rate.taobao.com/user-rate-UvCNLvmkYvmgLvWTT.htm,我心未遗忘的节奏,,99.53%
4.89,//shop33382836.taobao.com,服饰鞋包,4.85,1926,33382836,我还是幸福的宝宝,321,4.88,//rate.taobao.com/user-rate-UvCIYMFxLMFkT.htm,寳家 越简单越美 小清新女装,上海,99.20%
4.78,//shop103156479.taobao.com,服饰鞋包,4.77,3765,103156479,五彩旗风58,52,4.76,//rate.taobao.com/user-rate-UvFxGvCN0vFg4OQTT.htm,蜀国布衣女装,,98.77%
4.89,//shop71349397.taobao.com,服饰鞋包,4.84,1911,71349397,房振亚,75,4.87,//rate.taobao.com/user-rate-UMmNWOm8SvG8W.htm,奢翰羊绒体验会馆,,98.69%
4.92,//shop60476770.taobao.com,服饰鞋包,4.91,1667,60476770,muyiyi01,1230,4.93,//rate.taobao.com/user-rate-UvGxSMG80MF8u.htm,目一一,,99.85%
4.96,//shop113489606.taobao.com,母婴,4.94,157,113489606,花落人家0808,106,4.94,//rate.taobao.com/user-rate-UvCI0vF8SvmkYMQTT.htm,振华舞者制衣,,99.08%
4.67,//shop65825936.taobao.com,母婴,4.62,424,65825936,wangchenyou0628,318,4.7,//rate.taobao.com/user-rate-UvGgGMF8GvmQW.htm,小鼠喜哆童装店,,97.30%
4.74,//shop57263821.taobao.com,母婴,4.72,1658,57263821,zgx0110,75,4.73,//rate.taobao.com/user-rate-UMGkbvCQuOF8T.htm,多多和好好婴童服装,,97.90%
4.89,//shop102506189.taobao.com,母婴,4.9,424,102506189,黑猩猩00066,285,4.9,//rate.taobao.com/user-rate-UMmxGvFvSOFQY.htm,呵护我们的最爱,,99.88%
4.86,//shop144793604.taobao.com,母婴,4.86,613,144793604,唯棉优品店,134,4.86,//rate.taobao.com/user-rate-UvCcuvmIWvmx4vgTT.htm,唯棉优品,,99.04%
4.86,//shop37049041.taobao.com,服饰鞋包,4.88,1631,37049041,2009viscap新款代购,2724,4.87,//rate.taobao.com/user-rate-UvFc4MCHYOmv0.htm,小艳正品代购,北京,99.24%
