服务态度,店铺链接,类型,描述相符,店铺销量,店铺id,卖家昵称,店铺宝贝数量,物流速度,用户评分链接,店铺名称,店铺区域,好评率
4.89,//shop34504126.taobao.com,家装家饰,4.9,2238,34504126,时尚品位家居,1630,4.86,//rate.taobao.com/user-rate-UMCHbMm8yMGgT.htm,IKEA 宜家家居代购,上海,99.62%
4.91,//shop34395302.taobao.com,运动/户外,4.89,3192,34395302,天水姜维,580,4.88,//rate.taobao.com/user-rate-UvCcbMFcuvmNT.htm,大羽之家,浙江 杭州,99.91%
4.93,//shop34483653.taobao.com,服饰鞋包,4.9,9990,34483653,shaocui49,293,4.93,//rate.taobao.com/user-rate-UMCNbvCx4MF8T.htm,璀家cui jia,海外,99.79%
4.58,//shop58159772.taobao.com,家居用品,4.52,48183,58159772,yaya45ou,492,4.55,//rate.taobao.com/user-rate-UMCcbMCNLMmNT.htm,优优日用品,江苏 徐州,96.03%
4.84,//shop106070000.taobao.com,母婴,4.81,2521,106070000,tb9694455,101,4.84,//rate.taobao.com/user-rate-UMCcLvGvLMGg4.htm,梦贝熊儿童家居服,,98.91%
4.77,//shop112693751.taobao.com,母婴,4.74,1948,112693751,纯爷们85,10,4.76,//rate.taobao.com/user-rate-UvCI4MCvWOFg4.htm,小肉肉睡衣    认证:优质睡衣厂家,,98.39%
4.63,//shop110159461.taobao.com,母婴,4.58,1895,110159461,舒雅旋销售,12,4.64,//rate.taobao.com/user-rate-UvCNGMF8SMFkyOQTT.htm,小天使de魔法屋,,96.23%
4.71,//shop152711975.taobao.com,母婴,4.66,5703,152711975,韩羽沐,51,4.7,//rate.taobao.com/user-rate-UvCxSOFxWOmIGvgTT.htm,韩羽沐,,97.52%
4.9,//shop60313826.taobao.com,服饰鞋包,4.89,289,60313826,浙b6688,508,4.89,//rate.taobao.com/user-rate-UvG8SvCI0vF8b.htm,松树屋,,99.84%
4.74,//shop144950160.taobao.com,服饰鞋包,4.68,1243,144950160,外号小钢炮007,200,4.7,//rate.taobao.com/user-rate-UvCcuvFNYOFN0vQTT.htm,时尚之美潮人服装,,98.07%
4.74,//shop103292856.taobao.com,服饰鞋包,4.68,552,103292856,衣时尚潮流,24,4.73,//rate.taobao.com/user-rate-UvFxYOFNYMFNWMQTT.htm,宾界服饰1号店,福建 泉州,97.91%
4.75,//shop116507937.taobao.com,服饰鞋包,4.71,939,116507937,郭斌皮具,20,4.73,//rate.taobao.com/user-rate-UvCQYMmxWMGI0ONTT.htm,胖胖大码服饰店,,98.97%
4.94,//shop507065654.taobao.com,服饰鞋包,4.95,320,507065654,肥猫小宣正品代购,759,4.94,//rate.taobao.com/user-rate-UvGNyMCHGMFxWMQTT.htm,超级飞天粉红猪 分店,湖南 长沙,100.00%
4.72,//shop110683475.taobao.com,服饰鞋包,4.7,2864,110683475,卖大米卖大米168,18,4.7,//rate.taobao.com/user-rate-UvCNuMmIGMGHbMNTT.htm,黄雀服饰,,99.02%
4.69,//shop137782096.taobao.com,服饰鞋包,4.67,6334,137782096,崔雪婷8,21,4.67,//rate.taobao.com/user-rate-UvC84vFxGOFHLONTT.htm,万布服饰,,98.85%
4.91,//shop60545230.taobao.com,服饰鞋包,4.89,656,60545230,斩首之妖,543,4.89,//rate.taobao.com/user-rate-UvFv4vC8bvGNW.htm,MrSahara 火星映画,,99.42%
