服务态度,店铺链接,类型,描述相符,店铺销量,店铺id,卖家昵称,店铺宝贝数量,物流速度,用户评分链接,店铺名称,店铺区域,好评率
4.76,//shop148936884.taobao.com,母婴,4.71,330,148936884,xtt18355182950,125,4.73,//rate.taobao.com/user-rate-UvFNSMFQbMCQuOQTT.htm,monkey童装屋,,98.48%
4.94,//shop117312888.taobao.com,服饰鞋包,4.83,56,117312888,韩版型男top店,47,4.89,//rate.taobao.com/user-rate-UvCQLMFcSMCv4MNTT.htm,FASHION潮流男装工作室,,98.70%
4.9,//shop113760853.taobao.com,母婴,4.84,329,113760853,yumengmengen168,84,4.91,//rate.taobao.com/user-rate-UvCIGvGxGMmgyMWTT.htm,蘑菇之城童装,上海,97.89%
4.8,//shop106130128.taobao.com,服饰鞋包,4.85,56,106130128,潮男装工厂折扣店,31,4.82,//rate.taobao.com/user-rate-UvFxbOFkSOmc4MgTT.htm,洛门男装,,94.88%
5,//shop155723836.taobao.com,服饰鞋包,5,56,155723836,航远男装2,11,5,//rate.taobao.com/user-rate-UvCgbMFk4vFIGvQTT.htm,航远男装品牌店,,99.07%
4.76,//shop149121390.taobao.com,服饰鞋包,4.66,49,149121390,尚品潮人ace,6,4.71,//rate.taobao.com/user-rate-UvCgYvGgYMCc0vQTT.htm,威武世家男装,,97.74%
4.82,//shop109106692.taobao.com,服饰鞋包,4.74,63,109106692,白雪公主的悲哀,10,4.8,//rate.taobao.com/user-rate-UvCNWvGQuvmHWONTT.htm,八零90男装牛仔,,97.73%
4.61,//shop110883536.taobao.com,服饰鞋包,4.56,63,110883536,雨打沙坑588,591,4.57,//rate.taobao.com/user-rate-UvCNSvGcyMGvYvQTT.htm,No1型男青少年男装,,97.25%
4.59,//shop121727666.taobao.com,服饰鞋包,4.54,63,121727666,首席设计师1991,150,4.49,//rate.taobao.com/user-rate-UvCQSMFIbvCHyMQTT.htm,流行男装服饰,,96.70%
4.57,//shop156476185.taobao.com,服饰鞋包,4.53,63,156476185,潮男风格226688,400,4.55,//rate.taobao.com/user-rate-UvCgYvmQWvmgWMgTT.htm,斯文先森精品男装,,88.02%
4.75,//shop71977846.taobao.com,服饰鞋包,4.69,55,71977846,珍藏美丽2004,57,4.71,//rate.taobao.com/user-rate-UOmg4MFQbvGH4.htm,退伍老兵男装商城,,98.43%
4.93,//shop63251024.taobao.com,服饰鞋包,4.91,55,63251024,小龅牙婵婵,231,4.91,//rate.taobao.com/user-rate-UvGc0vFxSvmg4.htm,醉爱先生男装,,98.82%
4.8,//shop110877705.taobao.com,服饰鞋包,4.74,55,110877705,卡伦997,27,4.8,//rate.taobao.com/user-rate-UvFNSOmQWvCguMNTT.htm,卡伦风尚男装,,98.38%
4.64,//shop143003626.taobao.com,服饰鞋包,4.45,55,143003626,tianfads,73,4.58,//rate.taobao.com/user-rate-UvCcGOm8SvmQWvNTT.htm,田少韩潮男装,广东 揭阳,97.02%
4.8,//shop110031347.taobao.com,服饰鞋包,4.8,48,110031347,新款淘淘商城,11,4.8,//rate.taobao.com/user-rate-UvCNbvG84vGvbvQTT.htm,男装品牌服饰商城,,97.95%
4.6,//shop108891386.taobao.com,服饰鞋包,4.48,1355,108891386,裴俊杰2014,42,4.61,//rate.taobao.com/user-rate-UvFkSMmQyvFkWvWTT.htm,淘衣阁大码女装,,97.78%
4.14,//shop115323832.taobao.com,服饰鞋包,3.89,895,115323832,曾慧佳51,26,4.13,//rate.taobao.com/user-rate-UvFcbvCHGvCc4MWTT.htm,佳佳欧美潮流女装,,79.07%
4.29,//shop100901691.taobao.com,服饰鞋包,4.17,1319,100901691,蔡壮丰,78,4.33,//rate.taobao.com/user-rate-UMGI4vFHbMmkS.htm,韩城靓衣女装批发店,,94.23%
4.76,//shop108565322.taobao.com,服饰鞋包,4.69,1719,108565322,世纪童乐,32,4.77,//rate.taobao.com/user-rate-UvFkuMGvWOFkSvNTT.htm,易淘宜家女装,,96.01%
4.5,//shop143820856.taobao.com,服饰鞋包,4.43,1302,143820856,爱秀衣柜女装,58,4.54,//rate.taobao.com/user-rate-UvCcbvFNbvmx4vWTT.htm,爱秀衣柜女装,,97.73%
4.27,//shop115084982.taobao.com,服饰鞋包,4.12,1295,115084982,唯美时尚潮流美衣,161,4.29,//rate.taobao.com/user-rate-UvCvyMmNWMCx0MWTT.htm,韩式热潮  魅力女装,,84.31%
4.74,//shop129653939.taobao.com,服饰鞋包,4.67,1276,129653939,zz592212204,77,4.74,//rate.taobao.com/user-rate-UvFNSvCxGvCkbvgTT.htm,粉黛尔鑫鑫潮流女装,,99.26%
4.83,//shop63874679.taobao.com,服饰鞋包,4.83,850,63874679,xiayijin0920,95,4.79,//rate.taobao.com/user-rate-UMCQyMCvbvGk0.htm,萌丽莎时尚女装,,97.75%
4.67,//shop548851101.taobao.com,服饰鞋包,4.61,73,548851101,a21以纯品牌店,382,4.78,//rate.taobao.com/user-rate-UvGNyOmgYMFx0vgTT.htm,a21以纯官方专柜正品店,,98.00%
4.78,//shop112981923.taobao.com,服饰鞋包,4.72,1930,112981923,yvhrh51731006,30,4.76,//rate.taobao.com/user-rate-UvFHGvmcyvmkyMNTT.htm,诺迪缘商城,广东 广州,99.56%
4.65,//shop115110992.taobao.com,服饰鞋包,4.55,1216,115110992,lee牛仔裤520,26,4.67,//rate.taobao.com/user-rate-UvCIuOmxYMCNYMgTT.htm,lee牛仔裤折扣店,,97.55%
4.88,//shop110866115.taobao.com,服饰鞋包,4.87,926,110866115,淘衣橱168,15,4.86,//rate.taobao.com/user-rate-UvCNbMFIYvGQ4MWTT.htm,百年专注男裤,,96.96%
4.76,//shop72874421.taobao.com,服饰鞋包,4.72,2044,72874421,王娟娟97,47,4.79,//rate.taobao.com/user-rate-UMGHSOmkWMGky.htm,正品牛仔代购店,广东 广州,98.20%
4.27,//shop100939722.taobao.com,服饰鞋包,4.1,804,100939722,soso更懂我,260,4.28,//rate.taobao.com/user-rate-UvFNuvGIbvGxyvWTT.htm,soso家 林弯弯 潮牌 les 皇浦 snaki 总销售,,83.03%
4.87,//shop65404448.taobao.com,服饰鞋包,4.82,1187,65404448,vampire相印,36,4.83,//rate.taobao.com/user-rate-UMCQ0vFvGOmHS.htm,小赵外贸服饰,,98.79%
4.69,//shop105344337.taobao.com,服饰鞋包,4.69,3928,105344337,听潮流,3,4.65,//rate.taobao.com/user-rate-UvCkWOmkSMm8W.htm,听潮流精品服饰,广东 广州,99.25%
4.9,//shop69368592.taobao.com,服饰鞋包,4.89,225,69368592,wwx_0416,650,4.88,//rate.taobao.com/user-rate-UvG8LvGvSOFQT.htm,一鸣专业代购,江苏 南京,99.31%
4.86,//shop165812935.taobao.com,服饰鞋包,4.84,128,165812935,堡狮龙店长,770,4.86,//rate.taobao.com/user-rate-UvCkyMmx4Mmv0MNTT.htm,堡狮龙官方特卖店,,99.28%
