服务态度,店铺链接,类型,描述相符,店铺销量,店铺id,卖家昵称,店铺宝贝数量,物流速度,用户评分链接,店铺名称,店铺区域,好评率
4.44,//shop136627459.taobao.com,服饰鞋包,4.4,21,136627459,文艺复古男,672,4.37,//rate.taobao.com/user-rate-UvCxyMmIuMFxyMQTT.htm,港仔文艺男潮店,,94.65%
4.62,//shop590797916.taobao.com,服饰鞋包,4.55,21,590797916,男人装精品服饰816,113,4.61,//rate.taobao.com/user-rate-UvCk4vFvyOFvyvgTT.htm,男人装精品服饰816,,96.53%
4.97,//shop155604899.taobao.com,服饰鞋包,4.96,66,155604899,a18267798128,644,4.98,//rate.taobao.com/user-rate-UvCgYOmIWvG8SvgTT.htm,尚品男潮馆,,99.02%
4.85,//shop333195535.taobao.com,服饰鞋包,4.85,21,333195535,冰晓的憧憬,121,4.85,//rate.taobao.com/user-rate-UvFkyvF8yOFQLONTT.htm,AMJ安梦几,,100.00%
4.97,//shop126107065.taobao.com,服饰鞋包,4.96,86,126107065,符号公社企业,111,4.97,//rate.taobao.com/user-rate-UvCQbMCkGMCxYvNTT.htm,符号公社 企业店,,99.48%
4.85,//shop70719863.taobao.com,服饰鞋包,4.79,449,70719863,韩潮时尚都,21,4.84,//rate.taobao.com/user-rate-UOmvSOmILMCIG.htm,韩潮时尚都,广东 揭阳,99.06%
4.9,//shop57030737.taobao.com,服饰鞋包,4.91,86,57030737,feifei120323,86,4.91,//rate.taobao.com/user-rate-UOmcuMFk0vCgT.htm,森木forest,浙江 杭州,97.48%
4.74,//shop103444167.taobao.com,服饰鞋包,4.67,263,103444167,夹心饼干31,41,4.69,//rate.taobao.com/user-rate-UvFx0vFQyvCvWvWTT.htm,衣酷精品Q,,97.92%
5,//shop105586088.taobao.com,服饰鞋包,5,86,105586088,用指间谈恋爱,20,5,//rate.taobao.com/user-rate-UMFcbOFNuvmcT.htm,1991潮品,福建 宁德,97.76%
4.71,//shop69373008.taobao.com,服饰鞋包,4.65,300,69373008,全新销售体验,61,4.7,//rate.taobao.com/user-rate-UMGcuMGNGvCHb.htm,简尚优铺,,96.14%
4.76,//shop112558379.taobao.com,服饰鞋包,4.71,218,112558379,林夕fashion,108,4.77,//rate.taobao.com/user-rate-UvCHSMCk4Mm8WvQTT.htm,型男前流,,94.91%
4.47,//shop143632815.taobao.com,服饰鞋包,4.25,98,143632815,tb1116946_2012,118,4.44,//rate.taobao.com/user-rate-UOFN0vGQWvFcW.htm,潮男衣柜8866,,92.89%
