服务态度,店铺链接,类型,描述相符,店铺销量,店铺id,卖家昵称,店铺宝贝数量,物流速度,用户评分链接,店铺名称,店铺区域,好评率
4.88,//shop102049051.taobao.com,母婴,4.85,70,102049051,演出服专供,110,4.88,//rate.taobao.com/user-rate-UvFHGvCHLvGgbvNTT.htm,俊俏宝贝舞蹈服,,98.58%
4.74,//shop104822083.taobao.com,母婴,4.71,115,104822083,liqiao2zxl,42,4.75,//rate.taobao.com/user-rate-UvFcyMFv4MCI0MWTT.htm,萌贝贝潮麻麻,,98.57%
4.75,//shop105554956.taobao.com,母婴,4.67,115,105554956,魅力拉丁舞蹈服饰,81,4.7,//rate.taobao.com/user-rate-UvFcLvCISMmc0vgTT.htm,魅力拉丁演出服,,98.09%
4.88,//shop60695169.taobao.com,母婴,4.86,79,60695169,小邱555,560,4.89,//rate.taobao.com/user-rate-UvGxSvmHyMmvS.htm,亲宝贝全球购,,99.34%
4.75,//shop34338370.taobao.com,服饰鞋包,4.75,7991,34338370,陶李满天下,286,4.75,//rate.taobao.com/user-rate-UMFcSOmxyvFNT.htm,Upin有品外贸男装新店优之初,江苏 苏州,98.54%
4.64,//shop111573860.taobao.com,服饰鞋包,4.6,1374,111573860,8866男装,13,4.67,//rate.taobao.com/user-rate-UvCHGMG8YMmcbMQTT.htm,8866男装,广东省 东莞市,97.34%
4.71,//shop70050488.taobao.com,服饰鞋包,4.71,1735,70050488,彼岸花开868000,4650,4.78,//rate.taobao.com/user-rate-UOmHWvFIYvCIG.htm,一号台,,98.79%
4.81,//shop107682656.taobao.com,服饰鞋包,4.76,3885,107682656,wenkajing,50,4.81,//rate.taobao.com/user-rate-UvFN0OFNLOmkYvWTT.htm,唯美日韩服饰,,98.89%
4.76,//shop72919464.taobao.com,服饰鞋包,4.69,188,72919464,伊加衣111,108,4.7,//rate.taobao.com/user-rate-UOFIuMFvYMCQu.htm,家辉服饰,江苏 徐州,98.36%
4.85,//shop130071433.taobao.com,服饰鞋包,4.83,1466,130071433,青岛宏曼,14,4.85,//rate.taobao.com/user-rate-UvCxGOFgWMFHWvgTT.htm,青岛宏曼官方店,,99.14%
4.6,//shop104017515.taobao.com,服饰鞋包,4.58,2726,104017515,hdan90,24,4.61,//rate.taobao.com/user-rate-UvFN0MmxuMGQuOQTT.htm,麦子的小店儿,,91.31%
