服务态度,店铺链接,类型,描述相符,店铺销量,店铺id,卖家昵称,店铺宝贝数量,物流速度,用户评分链接,店铺名称,店铺区域,好评率
4.64,//shop123347992.taobao.com,服饰鞋包,4.59,7752,123347992,韩依前线,74,4.65,//rate.taobao.com/user-rate-UvC80vmc4MCvYvgTT.htm,韩依前线,广东 广州,98.05%
4.88,//shop68019767.taobao.com,服饰鞋包,4.8,678,68019767,淘淘天下2001,41,4.83,//rate.taobao.com/user-rate-UMGv0MGHyMm8Y.htm,全美代购折扣总店,香港 香港岛,96.40%
4.74,//shop61222001.taobao.com,服饰鞋包,4.74,674,61222001,蓝剑4666558,11,4.71,//rate.taobao.com/user-rate-UvGkGvmN4MFku.htm,古惑少年靓仔旗航店,,98.52%
4.7,//shop103892791.taobao.com,服饰鞋包,4.66,808,103892791,一米阳光181888,158,4.71,//rate.taobao.com/user-rate-UvFx4vGkYMm8bMQTT.htm,鑫鑫针织批发零售,,97.59%
4.86,//shop106459889.taobao.com,服饰鞋包,4.83,1380,106459889,sainy天生,41,4.87,//rate.taobao.com/user-rate-UMGQ0vGHGvFxG.htm,TSMADE 天生呐,,99.14%
4.59,//shop155337649.taobao.com,服饰鞋包,4.42,1051,155337649,钦钦baby2082,265,4.6,//rate.taobao.com/user-rate-UvCgLMCg0vmHWvQTT.htm,亦欣女装一件代发,,94.60%
4.75,//shop100296581.taobao.com,服饰鞋包,4.66,1802,100296581,冬天的衣吧火,30,4.7,//rate.taobao.com/user-rate-UvFN0MCHyvFcGvNTT.htm,韩衣女装空间站,,98.44%
4.74,//shop149420807.taobao.com,服饰鞋包,4.68,918,149420807,笺茨妈妈装,93,4.74,//rate.taobao.com/user-rate-UvCgYOFcLvGQSvWTT.htm,笺茨妈妈装,浙江 嘉兴,96.67%
4.86,//shop106881223.taobao.com,服饰鞋包,4.85,1099,106881223,glp360611923,69,4.85,//rate.taobao.com/user-rate-UvFg0vFIYOFvuvQTT.htm,G古歌,,98.60%
4.74,//shop104173949.taobao.com,服饰鞋包,4.7,1098,104173949,tb22443474,987,4.76,//rate.taobao.com/user-rate-UvFxLMC80vmNYvQTT.htm,风韵典雅时尚妈妈装,,95.09%
4.76,//shop64315448.taobao.com,服饰鞋包,4.75,1097,64315448,唯一空间服装,233,4.79,//rate.taobao.com/user-rate-UMmc4MG8YvC8b.htm,唯一空间,湖北 武汉,97.22%
4.92,//shop58703910.taobao.com,服饰鞋包,4.91,1436,58703910,绿色淘衣,30,4.92,//rate.taobao.com/user-rate-UvCcWMmcYvFcb.htm,LVSETAOYI专柜直销店,浙江 杭州,99.59%
4.83,//shop124385454.taobao.com,服饰鞋包,4.78,1096,124385454,千娇百媚的衣柜,115,4.83,//rate.taobao.com/user-rate-UvCI4MF8yvGvyONTT.htm,千娇百媚的衣柜,广东 广州,99.59%
4.8,//shop127256938.taobao.com,服饰鞋包,4.78,915,127256938,足安坊,65,4.8,//rate.taobao.com/user-rate-UvC8LvmkGMCc4vNTT.htm,福瑞堂布鞋,,98.59%
4.11,//shop128540730.taobao.com,服饰鞋包,3.9,843,128540730,林弯弯潮牌店01,76,4.16,//rate.taobao.com/user-rate-UvCxYvm8LOmxuvgTT.htm,林弯弯传奇潮牌店01,,91.62%
4.61,//shop584611323.taobao.com,服饰鞋包,4.58,1141,584611323,萱园1986,123,4.59,//rate.taobao.com/user-rate-UvCkSMFIWvFIuMWTT.htm,耀爆爆潮鞋,,96.15%
4.77,//shop102754631.taobao.com,服饰鞋包,4.73,955,102754631,吉祥如意中老年服饰,23,4.77,//rate.taobao.com/user-rate-UvFxYOmvWOF84MQTT.htm,吉祥如意中老年服饰,,99.77%
4.76,//shop104326202.taobao.com,服饰鞋包,4.71,833,104326202,酷吧爆款服饰专柜,72,4.77,//rate.taobao.com/user-rate-UvFx4OFNYvmHyvWTT.htm,酷吧爆款服饰专柜,,98.50%
4.2,//shop102941400.taobao.com,服饰鞋包,4,1070,102941400,爱洛服饰,59,4.19,//rate.taobao.com/user-rate-UvFN4OmQuOmNLMQTT.htm,美邦斯威特,,93.96%
4.74,//shop129783910.taobao.com,服饰鞋包,4.67,1583,129783910,靓茜阁衣吧,53,4.66,//rate.taobao.com/user-rate-UvC80MGcSvFN0vWTT.htm,靓茜阁衣吧,,97.44%
4.72,//shop106164297.taobao.com,服饰鞋包,4.67,1579,106164297,柏莱狮服饰,17,4.7,//rate.taobao.com/user-rate-UvFcuMFgGvGx0OQTT.htm,花花公子柏莱狮男装店,,96.39%
4.77,//shop108559168.taobao.com,母婴,4.76,8646,108559168,芯园行,25,4.72,//rate.taobao.com/user-rate-UvFxWOmHWMmvGvQTT.htm,暖依绒绒,,98.70%
4.6,//shop105379699.taobao.com,服饰鞋包,4.55,1040,105379699,钟祥宏99,83,4.61,//rate.taobao.com/user-rate-UvFNSvFHWMFN4vWTT.htm,潮e阁,广东 广州,95.61%
4.88,//shop135355467.taobao.com,母婴,4.86,2417,135355467,烁阳服装,51,4.89,//rate.taobao.com/user-rate-UvCxbOmIGvFH0vgTT.htm,儿童羽绒服工厂,,99.10%
4.88,//shop65164752.taobao.com,服饰鞋包,4.84,650,65164752,宝敏1314,50,4.86,//rate.taobao.com/user-rate-UMFIuvGvSMCI4.htm,潮弄时尚 潮牌卫衣系韩版修身 圆领 套头 开衫 连帽 外套,广东 广州,99.03%
4.75,//shop129414643.taobao.com,服饰鞋包,4.7,1650,129414643,诚信服装经销处,87,4.74,//rate.taobao.com/user-rate-UvCxGvCNYMmcyONTT.htm,诚信服装经销处,,97.42%
4.81,//shop67345234.taobao.com,服饰鞋包,4.75,1879,67345234,天成良品,21,4.79,//rate.taobao.com/user-rate-UMGH4vFH4vCkS.htm,花花公子良品男装店,,98.89%
4.69,//shop106228003.taobao.com,服饰鞋包,4.63,1640,106228003,gogolixing,45,4.66,//rate.taobao.com/user-rate-UMG8SvFxYMCxG.htm,行衣库,,98.68%
4.82,//shop108282682.taobao.com,服饰鞋包,4.78,2136,108282682,dengkai19877,32,4.79,//rate.taobao.com/user-rate-UvFc0vCkyvmg4ONTT.htm,恩泽优品服饰,,98.24%
4.89,//shop72592306.taobao.com,服饰鞋包,4.87,1429,72592306,lei_smile,66,4.87,//rate.taobao.com/user-rate-UMF84OmQLvFNG.htm,胖先生de店,,99.08%
