服务态度,店铺链接,类型,描述相符,店铺销量,店铺id,卖家昵称,店铺宝贝数量,物流速度,用户评分链接,店铺名称,店铺区域,好评率
4.87,//shop114086903.taobao.com,服饰鞋包,4.66,266,114086903,2015sakura,50,4.81,//rate.taobao.com/user-rate-UvCILMFQGMFxYMQTT.htm,是时候来hi tee,,99.84%
4.79,//shop72342596.taobao.com,服饰鞋包,4.76,166,72342596,秋天的小麻雀,14,4.79,//rate.taobao.com/user-rate-UMCcSOFcWOmxG.htm,青橄榄衣栈,,98.72%
4.87,//shop100354498.taobao.com,服饰鞋包,4.82,203,100354498,yinlei00000,28,4.85,//rate.taobao.com/user-rate-UOFI4vGgWOmNS.htm,絮诗梵的明星屋,,97.53%
4.86,//shop363687207.taobao.com,服饰鞋包,4.69,43,363687207,tantan3655,104,4.66,//rate.taobao.com/user-rate-UvGNWMmHLvGgyvQTT.htm,帅气小铺欧尼酱,,92.59%
4.74,//shop163451495.taobao.com,服饰鞋包,4.68,69,163451495,六度女装小蘑菇街,67,4.72,//rate.taobao.com/user-rate-UvCkWOFIWvm8yvWTT.htm,商城潮流女装特卖,,96.28%
4.84,//shop64351418.taobao.com,服饰鞋包,4.81,9040,64351418,tb8620041,25,4.83,//rate.taobao.com/user-rate-UMmI0OFxYMGvy.htm,衣兰都优质精选,广东 广州,99.08%
4.97,//shop162232374.taobao.com,服饰鞋包,4.98,49,162232374,薇薇之家原创视觉,43,4.98,//rate.taobao.com/user-rate-UvCkWMFvSOmNyOQTT.htm,星星专店之神,,99.23%
4.92,//shop72084489.taobao.com,服饰鞋包,4.89,118,72084489,格格衣裳阁,127,4.93,//rate.taobao.com/user-rate-UOmkbvCH0vmkb.htm,格格衣裳阁,,98.82%
4.9,//shop282656754.taobao.com,服饰鞋包,4.88,247,282656754,juliet欧洲站,76,4.91,//rate.taobao.com/user-rate-UvCk4vGkLOFvWMgTT.htm,Juliet欧洲站,,98.30%
4.4,//shop352949712.taobao.com,服饰鞋包,4.19,347,352949712,王显英65055,975,4.42,//rate.taobao.com/user-rate-UvCkGvmxyMGHyMgTT.htm,The Fashion Spot 衣裳千万家,,91.25%
4.88,//shop35953620.taobao.com,服饰鞋包,4.82,103,35953620,爱笑的眯眯,115,4.88,//rate.taobao.com/user-rate-UvFNSvGv4OFgL.htm,小雅女装自制店,,98.94%
4.84,//shop102816152.taobao.com,服饰鞋包,4.83,454,102816152,恋裳服饰店,88,4.82,//rate.taobao.com/user-rate-UvF8SOF8bvCk0OQTT.htm,恋裳服饰店,,98.45%
4.67,//shop115640974.taobao.com,服饰鞋包,4.63,454,115640974,sxy1818188,33,4.69,//rate.taobao.com/user-rate-UvCvGvFv4MGHWMgTT.htm,珑熹家,,96.64%
