服务态度,店铺链接,类型,描述相符,店铺销量,店铺id,卖家昵称,店铺宝贝数量,物流速度,用户评分链接,店铺名称,店铺区域,好评率
4.81,//shop107182839.taobao.com,服饰鞋包,4.8,432,107182839,tszozo,217,4.81,//rate.taobao.com/user-rate-UvFgbOFgYMGIWOQTT.htm,臻尚男装工作室,,99.70%
4.71,//shop306844455.taobao.com,服饰鞋包,4.63,824,306844455,tb699624884,211,4.73,//rate.taobao.com/user-rate-UvFgLMFI0MFvyvQTT.htm,8090中国风精品男装,,98.55%
4.34,//shop100126258.taobao.com,服饰鞋包,4.18,625,100126258,流氓鹤888,77,4.29,//rate.taobao.com/user-rate-UvFN0vmxSvCIbvQTT.htm,CDH港仔潮男装,,95.70%
4.75,//shop102284255.taobao.com,服饰鞋包,4.66,926,102284255,季节之城,335,4.72,//rate.taobao.com/user-rate-UvF84OFx4vCkWvNTT.htm,港仔潮流大码男装,,97.82%
4.59,//shop33204832.taobao.com,服饰鞋包,4.51,704,33204832,邹安琪,31,4.56,//rate.taobao.com/user-rate-UvCQLMmgWMGQT.htm,衣品流行男装,上海,98.78%
4.75,//shop118136178.taobao.com,服饰鞋包,4.67,616,118136178,毛毛爱买66,383,4.76,//rate.taobao.com/user-rate-UvCNLvCcGMmHuOQTT.htm,特靠谱男装,,98.81%
4.78,//shop117299825.taobao.com,服饰鞋包,4.72,537,117299825,简木阁,58,4.76,//rate.taobao.com/user-rate-UvCQLMC8GOFH0vWTT.htm,简木阁男装,,97.87%
4.8,//shop59939016.taobao.com,服饰鞋包,4.72,411,59939016,星子5304,235,4.78,//rate.taobao.com/user-rate-UvCcLMCkyOmIT.htm,品质男装一品质生活,湖南 长沙,98.74%
4.8,//shop72946098.taobao.com,服饰鞋包,4.75,5837,72946098,林丹丹13,51,4.8,//rate.taobao.com/user-rate-UMGgGOFQSOmg4.htm,中年中老年男装,浙江 温州,99.47%
4.73,//shop71513984.taobao.com,服饰鞋包,4.68,1693,71513984,紫锋之家,209,4.72,//rate.taobao.com/user-rate-UOmcWMCgYvFxG.htm,紫锋大码男装,浙江 杭州,99.01%
4.75,//shop119054301.taobao.com,服饰鞋包,4.71,4627,119054301,缘潮男装,116,4.72,//rate.taobao.com/user-rate-UvCQuvCkLMFcWONTT.htm,缘潮男装,广东 广州,99.64%
4.75,//shop150072646.taobao.com,服饰鞋包,4.69,1816,150072646,miaolyy5990,226,4.74,//rate.taobao.com/user-rate-UvCc4vGvYvmcGMQTT.htm,余文乐潮牌男装,,98.90%
