服务态度,店铺链接,类型,描述相符,店铺销量,店铺id,卖家昵称,店铺宝贝数量,物流速度,用户评分链接,店铺名称,店铺区域,好评率
4.7,//shop129259581.taobao.com,母婴,4.65,586,129259581,小雨伞精品童装男童店,30,4.69,//rate.taobao.com/user-rate-UvCxGvFx4MmvLvNTT.htm,小雨伞精品童装男童店,,98.29%
4.86,//shop68301411.taobao.com,服饰鞋包,4.83,773,68301411,甜甜de杂铺店,463,4.86,//rate.taobao.com/user-rate-UMGH0vFkWMmNG.htm,甜甜de杂铺店,,100.00%
4.82,//shop101299007.taobao.com,服饰鞋包,4.75,1002,101299007,村里人都叫我六十块,135,4.82,//rate.taobao.com/user-rate-UvFNSvFI4MFQyONTT.htm,歌诗腾服饰,海外,98.83%
4.82,//shop107851925.taobao.com,母婴,4.79,5097,107851925,娜维莉品牌童装,31,4.81,//rate.taobao.com/user-rate-UvFkYOFvLMCHyvNTT.htm,娜维莉品牌童装,,99.15%
4.91,//shop57021768.taobao.com,服饰鞋包,4.88,1011,57021768,ytfjlc2003,399,4.92,//rate.taobao.com/user-rate-UOmN4MFcyMGgT.htm,小曼豆 欧美高级成衣,上海,99.60%
4.82,//shop57136639.taobao.com,母婴,4.77,1131,57136639,zouhuanhuan110,166,4.82,//rate.taobao.com/user-rate-UvFxyMCQSMmHy.htm,汐宝baby品质童装,浙江 杭州,98.98%
4.74,//shop136493862.taobao.com,服饰鞋包,4.67,880,136493862,木羽格格,22,4.73,//rate.taobao.com/user-rate-UvCxuvFQSvCNLvQTT.htm,木羽 格格,,98.93%
4.78,//shop126693185.taobao.com,母婴,4.74,3048,126693185,小花等等童装,31,4.76,//rate.taobao.com/user-rate-UvC84MGIWvGkWvWTT.htm,小花等等 原创潮童装,,98.91%
4.84,//shop108654832.taobao.com,服饰鞋包,4.8,1316,108654832,时尚胖美人99,36,4.83,//rate.taobao.com/user-rate-UvFk4vFxuMFIYvWTT.htm,时尚胖美人品牌店,,99.44%
4.85,//shop149143390.taobao.com,母婴,4.82,1845,149143390,沫小沫童装,77,4.83,//rate.taobao.com/user-rate-UvCgYvCkWMmcYvWTT.htm,沫小沫童装,,98.66%
4.61,//shop142444339.taobao.com,服饰鞋包,4.59,611,142444339,tb6695112_22,37,4.61,//rate.taobao.com/user-rate-UOmkbOm84OF8W.htm,牌牌琦小伙男装,,98.89%
4.89,//shop104385005.taobao.com,母婴,4.88,2665,104385005,非常好bb,10,4.88,//rate.taobao.com/user-rate-UvCcbvFcSMFxG.htm,可米兜童装 收藏送10个淘金币,广东 佛山,99.54%
4.81,//shop105998911.taobao.com,服饰鞋包,4.76,2637,105998911,栾学起,377,4.8,//rate.taobao.com/user-rate-UvFcuMmgWMFkyONTT.htm,达林衣橱 日系男装,,99.36%
4.72,//shop129643126.taobao.com,母婴,4.66,4380,129643126,月销量25800笔,65,4.71,//rate.taobao.com/user-rate-UvCxGMGvYMGcbvgTT.htm,小默家童装工厂店,,99.25%
4.81,//shop68799954.taobao.com,母婴,4.79,2656,68799954,索菲198387,395,4.82,//rate.taobao.com/user-rate-UMF8GMFx4MGvS.htm,蘑菇宝贝童装,上海,98.48%
4.13,//shop114944322.taobao.com,服饰鞋包,3.85,4364,114944322,tb407087_11,34,4.32,//rate.taobao.com/user-rate-UvFN0MmgGvFvuONTT.htm,衣生衣世520520,北京,98.24%
4.83,//shop72929180.taobao.com,母婴,4.77,1829,72929180,雅美彩萱阁,73,4.8,//rate.taobao.com/user-rate-UOFI0MmQbOFgL.htm,石头家 独家潮品童装,四川 宜宾,98.59%
4.81,//shop111795006.taobao.com,母婴,4.77,1826,111795006,tb8028214_2011,67,4.79,//rate.taobao.com/user-rate-UMGHLvGcWvCgG.htm,斑斓梦原创童装,,98.73%
4.75,//shop58227170.taobao.com,服饰鞋包,4.7,5706,58227170,诺诺商场,127,4.75,//rate.taobao.com/user-rate-UvCHuOFcbvCHb.htm,诺诺商场男装,北京,98.93%
4.81,//shop106983751.taobao.com,母婴,4.78,2650,106983751,品宝宝的童年,34,4.79,//rate.taobao.com/user-rate-UvFgLvGgYOFQWMQTT.htm,艾比童装屋,,99.17%
4.89,//shop149010940.taobao.com,母婴,4.86,970,149010940,magicj20,163,4.88,//rate.taobao.com/user-rate-UOmIyMCH0vGgT.htm,IVAN COCO童装,四川 成都,99.53%
4.85,//shop116400020.taobao.com,母婴,4.82,2315,116400020,贤妈妈童装,201,4.85,//rate.taobao.com/user-rate-UvCQWMGk0OFkGvgTT.htm,贤妈妈童装,,99.17%
4.9,//shop166087347.taobao.com,母婴,4.84,850,166087347,网客e族v,166,4.89,//rate.taobao.com/user-rate-UvCkYOmgLMCguvNTT.htm,浩衣宝宝外贸尾货童装,,99.92%
4.81,//shop59043839.taobao.com,母婴,4.78,3238,59043839,可爱时尚小店,19,4.8,//rate.taobao.com/user-rate-UvCg0vF8YMGvL.htm,小豆芽BABY秀,河南 济源,98.64%
