服务态度,店铺链接,类型,描述相符,店铺销量,店铺id,卖家昵称,店铺宝贝数量,物流速度,用户评分链接,店铺名称,店铺区域,好评率
4.73,//shop70339657.taobao.com,服饰鞋包,4.64,58,70339657,nini99889,48,4.71,//rate.taobao.com/user-rate-UOmIbvFgSMGHY.htm,橘子君男装精品店,,98.25%
4.53,//shop59400941.taobao.com,服饰鞋包,4.44,58,59400941,网痴绝对,666,4.51,//rate.taobao.com/user-rate-UvFQSvmQyMmgT.htm,TheBomb男装,浙江 杭州,97.98%
4.52,//shop102855144.taobao.com,服饰鞋包,4.37,147,102855144,ldong鹏,52,4.5,//rate.taobao.com/user-rate-UvFxGMFNyMmN4MgTT.htm,潮酷男装主店,浙江 杭州,93.31%
4.93,//shop156355535.taobao.com,服饰鞋包,4.88,66,156355535,韩潮坊,62,4.88,//rate.taobao.com/user-rate-UvCg4vmgSvCNLvgTT.htm,AT24潮流男装,,99.24%
4.82,//shop114549098.taobao.com,服饰鞋包,4.81,86,114549098,时尚潮男装12,56,4.8,//rate.taobao.com/user-rate-UvCI4OmHLvmHbMNTT.htm,时尚潮男装12,,97.09%
4.69,//shop143611228.taobao.com,服饰鞋包,4.65,146,143611228,湘西山沟沟特产,155,4.68,//rate.taobao.com/user-rate-UvCcbvmQ0vmQuvNTT.htm,BOYs的男装,,96.89%
4.46,//shop102579800.taobao.com,服饰鞋包,4.62,44,102579800,女人花0717,206,4.46,//rate.taobao.com/user-rate-UMGg4MCkuOFQS.htm,山羊叔叔原创文艺男装,浙江 杭州,98.06%
4.82,//shop141375671.taobao.com,服饰鞋包,4.79,111,141375671,天聪0909,66,4.83,//rate.taobao.com/user-rate-UvC80vCNLMCvYMNTT.htm,8号精品男装,,97.35%
4.69,//shop109056328.taobao.com,服饰鞋包,4.65,97,109056328,hb756055456,60,4.7,//rate.taobao.com/user-rate-UvFNbvCkSOmHSvgTT.htm,迪森特男装,,97.71%
4.78,//shop155472682.taobao.com,服饰鞋包,4.73,165,155472682,kwmagum,16,4.78,//rate.taobao.com/user-rate-UvCgGMFxGMmv0MgTT.htm,JMtime 男装商铺,,98.41%
4.9,//shop64848492.taobao.com,服饰鞋包,4.87,164,64848492,张1314520凤,19,4.88,//rate.taobao.com/user-rate-UMCN0OFkYMFIW.htm,狮虎王男装,,98.28%
4.88,//shop59549717.taobao.com,服饰鞋包,4.83,125,59549717,xsd2575,20,4.95,//rate.taobao.com/user-rate-UvFI0vFH0MFxy.htm,玛卡威品质男装,福建 泉州,97.36%
5,//shop151375318.taobao.com,服饰鞋包,4.97,109,151375318,倪达瑞520,107,5,//rate.taobao.com/user-rate-UvFkSvGxWMmH0vNTT.htm,柒号精品男装,,100.00%
4.52,//shop157126265.taobao.com,服饰鞋包,4.39,56,157126265,潮流服饰批发店182,145,4.46,//rate.taobao.com/user-rate-UvCgSvCH0vGQLOQTT.htm,理查以纯森精品男装,,94.02%
4.77,//shop60951919.taobao.com,服饰鞋包,4.72,162,60951919,寒蓝思,71,4.77,//rate.taobao.com/user-rate-UvGgYOFcSMmxy.htm,素行男装,,98.44%
4.76,//shop104908020.taobao.com,服饰鞋包,4.71,1517,104908020,fangsongqun,29,4.75,//rate.taobao.com/user-rate-UMmN4vFHGMFQW.htm,哈妹牛仔青春牛仔酷,,98.72%
4.82,//shop60527539.taobao.com,服饰鞋包,4.78,2566,60527539,宝宝的兴隆小店,13,4.8,//rate.taobao.com/user-rate-UvGcyMC8yvGNY.htm,点翼官方店,北京,99.01%
4.79,//shop72827676.taobao.com,服饰鞋包,4.76,1484,72827676,金运jy,70,4.76,//rate.taobao.com/user-rate-UOmk0MFkSMC8u.htm,依恋360服饰,,97.66%
4.67,//shop72047634.taobao.com,服饰鞋包,4.58,195,72047634,xiaolong1311,159,4.59,//rate.taobao.com/user-rate-UOmkGMFQLMC8b.htm,TOP潮牌男装,,95.14%
