服务态度,店铺链接,类型,描述相符,店铺销量,店铺id,卖家昵称,店铺宝贝数量,物流速度,用户评分链接,店铺名称,店铺区域,好评率
4.63,//shop112770503.taobao.com,服饰鞋包,4.54,336,112770503,潮牌韩版男装,109,4.61,//rate.taobao.com/user-rate-UvFcbvCIuMmHGONTT.htm,棉衣时代,,96.81%
4.38,//shop142124777.taobao.com,服饰鞋包,4.21,294,142124777,雅添妮vip会所,375,4.37,//rate.taobao.com/user-rate-UvCcyMCcYOFvWONTT.htm,韩潮衣裤批发总部,,87.59%
4.86,//shop100013816.taobao.com,服饰鞋包,4.84,571,100013816,林建赏,37,4.86,//rate.taobao.com/user-rate-UvCcyOFISvFNS.htm,[兜兜]服饰,浙江 台州,98.73%
4.75,//shop152306895.taobao.com,服饰鞋包,4.72,293,152306895,艾丽丝精品时尚,35,4.72,//rate.taobao.com/user-rate-UvCgbMFQyvmg0MNTT.htm,杰克时尚企业店,,98.11%
4.49,//shop107708504.taobao.com,服饰鞋包,4.37,172,107708504,bxjun2009,201,4.49,//rate.taobao.com/user-rate-UvCIbOFHYvFvu.htm,潮男领先,浙江 杭州,95.01%
4.8,//shop591732957.taobao.com,服饰鞋包,4.71,172,591732957,点线面男装,46,4.76,//rate.taobao.com/user-rate-UvCkLMFHbMFQ0vWTT.htm,点线面男装店,,98.78%
4.89,//shop165925127.taobao.com,服饰鞋包,4.89,61,165925127,longhao服饰,52,4.88,//rate.taobao.com/user-rate-UvCkGOmgLOFxWvNTT.htm,LONGHAO服饰,,98.37%
4.71,//shop124121672.taobao.com,服饰鞋包,4.63,61,124121672,嘘听我说我爱你1314,142,4.79,//rate.taobao.com/user-rate-UvC8yvGQ4vCkGOQTT.htm,原创LEE,,92.21%
4.77,//shop112667916.taobao.com,服饰鞋包,4.74,343,112667916,咪咪的小美猪,77,4.77,//rate.taobao.com/user-rate-UvCIWvCHSMG8GMNTT.htm,果果红人馆,,97.11%
4.73,//shop144014605.taobao.com,服饰鞋包,4.65,300,144014605,x衣饰界,516,4.72,//rate.taobao.com/user-rate-UvCcbMCc0OFI4vWTT.htm,小俩口服装,,96.79%
5,//shop104557138.taobao.com,服饰鞋包,4.85,16,104557138,尼姑不思情,52,4.88,//rate.taobao.com/user-rate-UMmc0OFvuvCQy.htm,YOU HUO 有货,,100.00%
4.15,//shop341381224.taobao.com,服饰鞋包,3.62,16,341381224,cxf3333,171,4.23,//rate.taobao.com/user-rate-UvCxWvFvSvmQLvQTT.htm,时尚酷潮男装店,广东 广州,94.74%
4.77,//shop108223701.taobao.com,服饰鞋包,4.75,53,108223701,都纳潮人族,38,4.76,//rate.taobao.com/user-rate-UvFkGvCQSMGHuMgTT.htm,时尚ke潮男宅,浙江 杭州,95.10%
4.87,//shop60625936.taobao.com,服饰鞋包,4.86,229,60625936,woowo168,441,4.86,//rate.taobao.com/user-rate-UvGc4MCHLOFv4.htm,雅欣名品,,98.34%
