服务态度,店铺链接,类型,描述相符,店铺销量,店铺id,卖家昵称,店铺宝贝数量,物流速度,用户评分链接,店铺名称,店铺区域,好评率
4.58,//shop386620215.taobao.com,母婴,4.41,136,386620215,宝宝之家童装店108427,250,4.66,//rate.taobao.com/user-rate-UvGNWMGkGvmgWMQTT.htm,宝宝之家童装小店,,89.36%
4.87,//shop58225596.taobao.com,母婴,4.78,120,58225596,俏妃儿,34,4.8,//rate.taobao.com/user-rate-UvCQ4vG8SOFI4.htm,日韩高端定制童装,广东 广州,98.20%
4.93,//shop115450593.taobao.com,母婴,4.92,197,115450593,秋媛媛98,42,4.92,//rate.taobao.com/user-rate-UMGQWvFgYvGIb.htm,小月亮儿精品童装,,99.32%
4.83,//shop111989422.taobao.com,母婴,4.77,93,111989422,专业童装二十年,64,4.83,//rate.taobao.com/user-rate-UvCNuMmQuvCHYONTT.htm,潮童童装铺,,97.52%
4.73,//shop140252780.taobao.com,母婴,4.65,93,140252780,潮人宅,33,4.74,//rate.taobao.com/user-rate-UOmvWvGcyvCkY.htm,芭拉公主童装六号店,,97.84%
4.61,//shop143030519.taobao.com,母婴,4.53,251,143030519,小坏蛋20111113,564,4.65,//rate.taobao.com/user-rate-UvCcGOmgSvFcYvNTT.htm,小坏蛋童装小铺,,94.76%
4.81,//shop128704200.taobao.com,母婴,4.8,82,128704200,6678哇哈哈,78,4.83,//rate.taobao.com/user-rate-UvCxyvmxLvGcyONTT.htm,自由自在精品童装,,99.53%
4.77,//shop60882867.taobao.com,母婴,4.73,82,60882867,智力通讯,343,4.77,//rate.taobao.com/user-rate-UvGg4vmkyvFQW.htm,微笑童装靓店,,99.41%
4.85,//shop104118114.taobao.com,母婴,4.8,105,104118114,jingcan246258,110,4.86,//rate.taobao.com/user-rate-UvCQYvGQuMCgb.htm,金灿灿精品童装,,98.56%
4.85,//shop116339605.taobao.com,母婴,4.86,195,116339605,宝宝好88888888,40,4.85,//rate.taobao.com/user-rate-UvCv4vGgSMFNWMNTT.htm,萌娃姐姐童装铺,,97.53%
4.74,//shop110598673.taobao.com,母婴,4.75,195,110598673,gzweide2013,84,4.76,//rate.taobao.com/user-rate-UvFcbOFI4vmI0OQTT.htm,小小愿童装,,98.52%
4.61,//shop101363329.taobao.com,母婴,4.57,134,101363329,angel宝贝之家,150,4.67,//rate.taobao.com/user-rate-UvFN4MGI4MmQGvgTT.htm,阿米宝童装,,97.79%
4.89,//shop36953301.taobao.com,母婴,4.84,118,36953301,cy3450889,95,4.86,//rate.taobao.com/user-rate-UvFNYvGxWMF8G.htm,恩妮童装直销店,福建 泉州,97.26%
4.95,//shop189317802.taobao.com,母婴,4.91,118,189317802,上海印巷商贸有限公司,68,4.94,//rate.taobao.com/user-rate-UvCkuvmxLMmHWMQTT.htm,糖果马童装,,98.92%
4.92,//shop130486093.taobao.com,母婴,4.88,81,130486093,s丶duck童装店,34,4.89,//rate.taobao.com/user-rate-UvCx0vFxGMGQuOQTT.htm,S Duck原创童装,,99.66%
4.7,//shop109562424.taobao.com,母婴,4.64,170,109562424,缘20120512,232,4.7,//rate.taobao.com/user-rate-UvFkGvFQuOmN0MgTT.htm,帆帆宝贝童装,,96.82%
4.85,//shop33963141.taobao.com,母婴,4.83,192,33963141,whitewind0808,75,4.85,//rate.taobao.com/user-rate-UvFg0vFNSMF8T.htm,陆壹童装,广东 东莞,99.54%
4.79,//shop108048849.taobao.com,母婴,4.78,1921,108048849,郭宗建,35,4.77,//rate.taobao.com/user-rate-UvFv4vCgyMC8Y.htm,丹宁鸟自营店,四川 内江,98.55%
4.82,//shop70188715.taobao.com,母婴,4.79,1225,70188715,yulongyin32,120,4.83,//rate.taobao.com/user-rate-UOmH0vGcbMGHb.htm,潮宝衣柜1号店,,98.53%
4.43,//shop156681770.taobao.com,服饰鞋包,4.3,3535,156681770,木子李浩波,146,4.46,//rate.taobao.com/user-rate-UvCxLvmHYvFxGvQTT.htm,雅利美眉女店,,94.47%
