服务态度,店铺链接,类型,描述相符,店铺销量,店铺id,卖家昵称,店铺宝贝数量,物流速度,用户评分链接,店铺名称,店铺区域,好评率
4.76,//shop60525483.taobao.com,服饰鞋包,4.73,2314,60525483,gqxx73725,11,4.76,//rate.taobao.com/user-rate-UvGcYvCv4MCI0.htm,时尚舒适男女鞋,,97.85%
4.6,//shop104547161.taobao.com,服饰鞋包,4.56,1009,104547161,路过打姜油,46,4.6,//rate.taobao.com/user-rate-UMmQSMFgLMCIW.htm,小胡子的女鞋,,98.36%
4.79,//shop125761746.taobao.com,服饰鞋包,4.76,1277,125761746,佳睿老北京布鞋,27,4.78,//rate.taobao.com/user-rate-UvC8uMCIbMCx4vWTT.htm,佳睿老北京布鞋,,98.16%
4.77,//shop149788051.taobao.com,服饰鞋包,4.71,1439,149788051,tb13429676839,108,4.76,//rate.taobao.com/user-rate-UvCvbvC8bMGkGvgTT.htm,怡品人生,,99.29%
4.64,//shop35130104.taobao.com,服饰鞋包,4.57,3655,35130104,非衣不可2008,12,4.6,//rate.taobao.com/user-rate-UMGcuMGc4MmgT.htm,健康服饰舰旗店,浙江 金华,98.05%
4.63,//shop103090901.taobao.com,服饰鞋包,4.56,706,103090901,鞋守一生bm,43,4.64,//rate.taobao.com/user-rate-UvFx0vmcyvFI0MNTT.htm,鞋守一生 只为你,,95.56%
4.81,//shop102570429.taobao.com,服饰鞋包,4.79,706,102570429,实体女鞋批发直销,47,4.77,//rate.taobao.com/user-rate-UvFxYvCcGvFvWvgTT.htm,可可小西 潮品女鞋馆,,96.64%
4.68,//shop73407227.taobao.com,服饰鞋包,4.63,645,73407227,丰忆88,678,4.67,//rate.taobao.com/user-rate-UvFNGvFISvFxWMWTT.htm,风忆文艺男,,97.88%
4.79,//shop35961419.taobao.com,母婴,4.73,1429,35961419,abing13,197,4.8,//rate.taobao.com/user-rate-UMCH4MGHbMF8T.htm,金贝贝母婴,浙江 宁波,98.72%
4.41,//shop105969226.taobao.com,服饰鞋包,4.26,1257,105969226,帅气专区,263,4.39,//rate.taobao.com/user-rate-UvFc4MCxLOmQuMgTT.htm,少年潮流服饰,广东 揭阳,94.46%
4.59,//shop105133258.taobao.com,服饰鞋包,4.52,627,105133258,爱的承诺yy6,74,4.58,//rate.taobao.com/user-rate-UvFc0vCxGMFk4OQTT.htm,万千焦点女鞋,,96.36%
4.85,//shop67709075.taobao.com,服饰鞋包,4.83,734,67709075,xander_007,933,4.82,//rate.taobao.com/user-rate-UvFk4MCvGvCgG.htm,爱他男装店,上海,98.15%
4.76,//shop69317835.taobao.com,服饰鞋包,4.72,623,69317835,春的暮寸,43,4.79,//rate.taobao.com/user-rate-UMGcyMGQ0Om8S.htm,春天的高跟鞋,,99.03%
4.93,//shop60542754.taobao.com,服饰鞋包,4.9,621,60542754,快冲冲,34,4.91,//rate.taobao.com/user-rate-UvGN0MFvLOFcG.htm,冲冲家高端定制,广东 广州,96.99%
4.92,//shop130662613.taobao.com,服饰鞋包,4.88,1122,130662613,catie凯蒂,29,4.91,//rate.taobao.com/user-rate-UvCx0MCH4MFIWMgTT.htm,西楼家,,99.40%
4.85,//shop65838675.taobao.com,服饰鞋包,4.82,697,65838675,祁林燕,51,4.84,//rate.taobao.com/user-rate-UvFHuMGgGOFv4.htm,牧羊鞋业,河南 郑州,99.18%
4.83,//shop62210008.taobao.com,服饰鞋包,4.78,1098,62210008,xitouzai,36,4.81,//rate.taobao.com/user-rate-UvFvyMFvGvCIb.htm,TEEYA原创小码,,99.20%
4.78,//shop122381430.taobao.com,母婴,4.77,2053,122381430,zcbbcbbs6,21,4.76,//rate.taobao.com/user-rate-UvFg0vCx0MmcbMNTT.htm,衣斯贝尔,,97.54%
4.48,//shop70584505.taobao.com,服饰鞋包,4.36,2435,70584505,三我鸟潮流,194,4.5,//rate.taobao.com/user-rate-UOmI4vmNSvGk0.htm,原创港仔风文艺,,93.34%
4.9,//shop62551380.taobao.com,服饰鞋包,4.86,561,62551380,小贝贝360度,499,4.88,//rate.taobao.com/user-rate-UMmcGMGkuOmvu.htm,天谊贸易,,98.77%
4.6,//shop58316670.taobao.com,服饰鞋包,4.51,732,58316670,冷血倩0228,528,4.57,//rate.taobao.com/user-rate-UvFIyvm8GMF8W.htm,小倩家 潮衣坊,江苏 徐州,98.19%
4.76,//shop131130862.taobao.com,服饰鞋包,4.69,3155,131130862,都会有的加油1987,65,4.73,//rate.taobao.com/user-rate-UvC8WvG8bOFvWONTT.htm,OMG潮流服饰,,98.68%
4.29,//shop107134001.taobao.com,服饰鞋包,4.14,1858,107134001,淘乐笑服饰,293,4.33,//rate.taobao.com/user-rate-UvFgbMmc0MC8bvWTT.htm,引领潮流零售批发店,,92.71%
4.41,//shop123283907.taobao.com,服饰鞋包,4.3,2117,123283907,最美的太阳0629,1011,4.36,//rate.taobao.com/user-rate-UvCILOmcYvGISOQTT.htm,Yan值潮男服饰,,95.54%
4.8,//shop115651157.taobao.com,服饰鞋包,4.76,729,115651157,星荣品质男装,87,4.79,//rate.taobao.com/user-rate-UvCvbMC8SvmxbOQTT.htm,彬威格港男风,,97.96%
4.37,//shop107570977.taobao.com,服饰鞋包,4.23,1618,107570977,潮牌服饰专区,79,4.37,//rate.taobao.com/user-rate-UvFkWvFgWvmkWvgTT.htm,牛男吧 啊里淘企舰店,,93.36%
