服务态度,店铺链接,类型,描述相符,店铺销量,店铺id,卖家昵称,店铺宝贝数量,物流速度,用户评分链接,店铺名称,店铺区域,好评率
4.79,//shop115805948.taobao.com,服饰鞋包,4.74,1129,115805948,loogeeedream,35,4.78,//rate.taobao.com/user-rate-UvCvLvGkWMCNSOQTT.htm,LOOGEEEDREAM,,97.84%
4.71,//shop114628223.taobao.com,服饰鞋包,4.66,492,114628223,金茜尚品,66,4.71,//rate.taobao.com/user-rate-UvCI4vFk0MCv4vQTT.htm,赛媚诗Semiss女鞋庄,,98.28%
4.63,//shop105156220.taobao.com,服饰鞋包,4.56,552,105156220,小zoumeinv00,47,4.6,//rate.taobao.com/user-rate-UvFHGvFguvCcSONTT.htm,美汇贝贝鞋业,浙江 台州,95.40%
4.55,//shop70277144.taobao.com,服饰鞋包,4.44,1278,70277144,小米ruru,197,4.54,//rate.taobao.com/user-rate-UOmIWMGg4OFHW.htm,经济型男潮衣馆,,98.49%
4.62,//shop72803992.taobao.com,服饰鞋包,4.52,2175,72803992,lzbin189341,57,4.6,//rate.taobao.com/user-rate-UOFNLOFvWvGHW.htm,掉渣の饼干,,99.69%
4.8,//shop69627627.taobao.com,服饰鞋包,4.74,385,69627627,依尚衣2011,81,4.8,//rate.taobao.com/user-rate-UMGgbMCcyvFNG.htm,酷爸中老年装,上海,99.67%
4.84,//shop64861521.taobao.com,服饰鞋包,4.83,337,64861521,炫客领域,93,4.83,//rate.taobao.com/user-rate-UMCcYvCv4OFkS.htm,炫客领域,广东 深圳,98.94%
4.84,//shop70916860.taobao.com,服饰鞋包,4.8,438,70916860,开心淘筱淘,297,4.81,//rate.taobao.com/user-rate-UOmQLvFHyvmk4.htm,筱筱☆服饰,北京,97.52%
4.7,//shop72539614.taobao.com,服饰鞋包,4.65,1270,72539614,谁吻我之朦,272,4.69,//rate.taobao.com/user-rate-UvGgSMFNYMGgu.htm,九年原创服饰,,97.54%
4.8,//shop115961519.taobao.com,服饰鞋包,4.79,1269,115961519,小俏佳人00,123,4.8,//rate.taobao.com/user-rate-UvCvLOFx0MCgGvQTT.htm,DY时尚潮流男装店,,99.30%
4.62,//shop155058287.taobao.com,服饰鞋包,4.51,568,155058287,zlq123500,14,4.58,//rate.taobao.com/user-rate-UvCgLvFcyOm8SvQTT.htm,花花公子三社店,,95.51%
4.87,//shop117321136.taobao.com,服饰鞋包,4.82,1168,117321136,a18129534119,14,4.83,//rate.taobao.com/user-rate-UvCIyvCg4MFHyMQTT.htm,伊丽美女鞋,,99.67%
4.83,//shop70328502.taobao.com,服饰鞋包,4.79,423,70328502,芳芳雪儿ing88,115,4.8,//rate.taobao.com/user-rate-UvFgYOFgYvCNS.htm,福鑫貂品牌男装店,,99.07%
4.89,//shop113382938.taobao.com,服饰鞋包,4.86,629,113382938,月牙泉工厂店,47,4.87,//rate.taobao.com/user-rate-UvCIGMmgYMmgWMNTT.htm,月牙泉工厂店,,98.89%
4.68,//shop130889261.taobao.com,服饰鞋包,4.67,820,130889261,潮男168168,57,4.71,//rate.taobao.com/user-rate-UvCxbvCk0vFkYONTT.htm,潮社官方企业店,浙江 金华,99.52%
4.7,//shop114301669.taobao.com,服饰鞋包,4.64,322,114301669,吉普服装城,20,4.66,//rate.taobao.com/user-rate-UvCIuMGxbMGISMgTT.htm,逆克服饰品牌店,,96.45%
