服务态度,店铺链接,类型,描述相符,店铺销量,店铺id,卖家昵称,店铺宝贝数量,物流速度,用户评分链接,店铺名称,店铺区域,好评率
4.77,//shop137583617.taobao.com,服饰鞋包,4.72,7577,137583617,淘特斯专柜店,50,4.78,//rate.taobao.com/user-rate-UvCx4vCkYvCkLvgTT.htm,淘特斯专柜店,,97.94%
4.82,//shop101832222.taobao.com,服饰鞋包,4.8,3874,101832222,chenfeng陈凤2,17,4.81,//rate.taobao.com/user-rate-UvFN0vGx0vGcSMQTT.htm,福成裤业,,99.32%
4.58,//shop144284479.taobao.com,服饰鞋包,4.53,674,144284479,fk719920140615,66,4.57,//rate.taobao.com/user-rate-UvCHGvGkGMmxSMWTT.htm,时尚小伙潮装店,,99.12%
4.57,//shop104904886.taobao.com,服饰鞋包,4.45,7369,104904886,上帝都羡慕的服装,25,4.59,//rate.taobao.com/user-rate-UvFcyOFv4MFxGMWTT.htm,潮吧走红,,95.79%
4.22,//shop105194079.taobao.com,服饰鞋包,4.05,1702,105194079,林弯弯时尚店,104,4.26,//rate.taobao.com/user-rate-UvFN0MC8SMmkLMNTT.htm,理特唯品牌店,,86.23%
4.74,//shop104771592.taobao.com,服饰鞋包,4.73,684,104771592,冷淡x,12,4.71,//rate.taobao.com/user-rate-UvFcyMGxSvGN0ONTT.htm,户外运动服防晒衣厂家直销,北京,98.45%
4.6,//shop116870182.taobao.com,服饰鞋包,4.61,888,116870182,海澜之家旗船店分店,10,4.55,//rate.taobao.com/user-rate-UvCQ0MGk0vGv4MNTT.htm,花花公子品牌折扣总店,,93.47%
4.26,//shop142886258.taobao.com,服饰鞋包,4.08,769,142886258,潮人依屋88,260,4.3,//rate.taobao.com/user-rate-UvCcGOFxYvGk0OQTT.htm,潮人印象爆款,,81.71%
4.51,//shop166116006.taobao.com,服饰鞋包,4.44,997,166116006,jakeandh,23,4.42,//rate.taobao.com/user-rate-UvCk0vmkSvFvyMWTT.htm,名遇一号店,,93.14%
4.68,//shop264638468.taobao.com,服饰鞋包,4.63,996,264638468,lazy潮品,308,4.64,//rate.taobao.com/user-rate-UvCkLvGNGvFk4vQTT.htm,Lazy潮品原创服饰,,98.63%
4.69,//shop108753778.taobao.com,服饰鞋包,4.63,1137,108753778,huang15888750360,143,4.66,//rate.taobao.com/user-rate-UOmHYvmNGMFIY.htm,小雅的时尚男装店,,96.63%
4.98,//shop130005853.taobao.com,服饰鞋包,4.97,934,130005853,金牛座魔法师,7,4.98,//rate.taobao.com/user-rate-UvCx0vmH4vmx0MWTT.htm,Stier magier ssz,,99.99%
4.71,//shop111137048.taobao.com,母婴,4.68,2433,111137048,k1245170855,66,4.73,//rate.taobao.com/user-rate-UvFNuOFk0MCvYMNTT.htm,吉祥童装婴幼儿用品店,,97.46%
4.81,//shop117314402.taobao.com,服饰鞋包,4.74,1712,117314402,duanlunlun,17,4.78,//rate.taobao.com/user-rate-UvGkGvFkYvFHu.htm,宁晋县亮都服装厂,,98.75%
4.88,//shop419585790.taobao.com,服饰鞋包,4.84,1708,419585790,佐罗达人品牌直销,15,4.86,//rate.taobao.com/user-rate-UvCk0MF8LvC8GOQTT.htm,佐罗达人品牌直销,,100.00%
4.62,//shop119516160.taobao.com,服饰鞋包,4.56,1299,119516160,wy5015124,126,4.61,//rate.taobao.com/user-rate-UOmNyvGkbOmQy.htm,WDK原创衣品,,99.08%
4.73,//shop101542378.taobao.com,服饰鞋包,4.68,973,101542378,cyangsheng,232,4.71,//rate.taobao.com/user-rate-UMmNYOmNGOmvu.htm,Y生生时装,,98.58%
4.79,//shop57888974.taobao.com,服饰鞋包,4.72,3222,57888974,yly0617,20,4.79,//rate.taobao.com/user-rate-UvCN4OmHWOmN4.htm,千荨服饰官方企业店,浙江 嘉兴,97.36%
4.44,//shop114555472.taobao.com,服饰鞋包,4.23,1374,114555472,丽莉家,125,4.46,//rate.taobao.com/user-rate-UvCISMmcGMmHuvgTT.htm,丽莉家新款女装批发,,97.78%
4.86,//shop117027869.taobao.com,服饰鞋包,4.82,1570,117027869,xizhu601,90,4.86,//rate.taobao.com/user-rate-UOmQyvFIWMFHu.htm,朵棉尚品,,99.73%
4.75,//shop60493564.taobao.com,服饰鞋包,4.73,2230,60493564,baochengchen88,105,4.76,//rate.taobao.com/user-rate-UvGxSOFgSvCQW.htm,洋妞儿的店,,97.34%
4.81,//shop59355534.taobao.com,服饰鞋包,4.8,1232,59355534,冰儿19732009,217,4.79,//rate.taobao.com/user-rate-UvCk0OFgYMGvu.htm,鑫发贸易商行,河北 石家庄,98.72%
4.77,//shop124004556.taobao.com,服饰鞋包,4.76,1527,124004556,百好鞋厂,8,4.75,//rate.taobao.com/user-rate-UvCQbvFH0OmHyvNTT.htm,钱夫人妈妈鞋,,99.01%
4.24,//shop277206240.taobao.com,服饰鞋包,4.07,1354,277206240,采不满斜口筐,288,4.25,//rate.taobao.com/user-rate-UvCkuvFkYvCcbvgTT.htm,采采卷耳97,,95.12%
4.25,//shop543995236.taobao.com,服饰鞋包,4.23,1266,543995236,沈阳榕亮商贸有限公司,29,4.22,//rate.taobao.com/user-rate-UvCk0MmHLMGQ4vWTT.htm,小三快手企业店,,97.67%
4.89,//shop148399156.taobao.com,服饰鞋包,4.83,645,148399156,斯特森,109,4.87,//rate.taobao.com/user-rate-UvCgWvCIWMFxbMNTT.htm,斯特森,,99.74%
4.75,//shop100966857.taobao.com,服饰鞋包,4.72,823,100966857,中国好商户,19,4.75,//rate.taobao.com/user-rate-UvFNuvCxuMFHWvgTT.htm,格兰布朗企业店,,97.10%
4.55,//shop68604208.taobao.com,服饰鞋包,4.53,1393,68604208,tb_5149631,6,4.42,//rate.taobao.com/user-rate-UMGNLOFkWMFIY.htm,申迪奥菲 精品,,98.24%
4.87,//shop60526623.taobao.com,服饰鞋包,4.8,1851,60526623,魅丽纤足,50,4.85,//rate.taobao.com/user-rate-UvGcyMFH0vCHG.htm,e家店 实拍定制,,99.59%
4.81,//shop108809279.taobao.com,服饰鞋包,4.77,1079,108809279,漂亮女人1662,29,4.8,//rate.taobao.com/user-rate-UvFkuMGg0MCvYvQTT.htm,漂亮女ren,,99.43%
