服务态度,店铺链接,类型,描述相符,店铺销量,店铺id,卖家昵称,店铺宝贝数量,物流速度,用户评分链接,店铺名称,店铺区域,好评率
4.82,//shop100091553.taobao.com,服饰鞋包,4.77,534,100091553,陈旭莹18,42,4.79,//rate.taobao.com/user-rate-UvGgWOmvLvCk4.htm,仟变花花女鞋铺,,98.02%
4.9,//shop103904098.taobao.com,服饰鞋包,4.86,374,103904098,乐乐小布丁168,24,4.89,//rate.taobao.com/user-rate-UvFxyvCI0vGxLMNTT.htm,灰太狼之履,,98.69%
4.87,//shop126299287.taobao.com,服饰鞋包,4.83,374,126299287,wfr0423,87,4.84,//rate.taobao.com/user-rate-UvFHGvm8WMmg0vgTT.htm,女王贡品,,97.64%
4.82,//shop117959649.taobao.com,服饰鞋包,4.81,421,117959649,彩红女鞋坊,23,4.8,//rate.taobao.com/user-rate-UvCQuOFQbvFxYMWTT.htm,彩红女鞋坊,,98.97%
4.4,//shop108799251.taobao.com,服饰鞋包,4.28,676,108799251,快乐淘屋1314,4,4.36,//rate.taobao.com/user-rate-UvFk0MmvbOmHbMgTT.htm,d[s108799251],,86.18%
4.66,//shop127803164.taobao.com,服饰鞋包,4.6,420,127803164,飞群鞋业188,160,4.67,//rate.taobao.com/user-rate-UvCxWMFxLvC8YMgTT.htm,帝都潮流鞋屋,,97.36%
4.87,//shop67306495.taobao.com,服饰鞋包,4.86,759,67306495,hujin1219,34,4.88,//rate.taobao.com/user-rate-UMC8WOmcYMCgu.htm,小燕品牌衣鞋,浙江 温州,98.94%
4.81,//shop60163816.taobao.com,服饰鞋包,4.72,877,60163816,allayb,128,4.8,//rate.taobao.com/user-rate-UvFILvmvLMFcY.htm,花花公子 商务男装店,,98.69%
4.77,//shop108240052.taobao.com,服饰鞋包,4.7,450,108240052,tb_fu2014,893,4.81,//rate.taobao.com/user-rate-UvFkGvmk4MFILMWTT.htm,摩城贝格港风店,,98.28%
4.77,//shop72623299.taobao.com,服饰鞋包,4.71,231,72623299,许子烯99,76,4.74,//rate.taobao.com/user-rate-UOFHGOFQuvmNW.htm,永相随服饰男装店,,99.07%
4.9,//shop106960986.taobao.com,服饰鞋包,4.88,390,106960986,tb_lianmeng,196,4.89,//rate.taobao.com/user-rate-UOFIYMGNyMCHL.htm,列邦服饰,,99.11%
4.55,//shop137747190.taobao.com,服饰鞋包,4.42,341,137747190,the原创潮流馆,79,4.53,//rate.taobao.com/user-rate-UvCxYMCxyMGISvWTT.htm,THE原创潮流馆,,98.91%
4.82,//shop113909233.taobao.com,服饰鞋包,4.75,508,113909233,传承人服饰,173,4.79,//rate.taobao.com/user-rate-UvCIbvm8uMCNuOQTT.htm,佐尚 日系自然风,,98.34%
4.66,//shop149457452.taobao.com,服饰鞋包,4.61,508,149457452,依恋雨666,1448,4.66,//rate.taobao.com/user-rate-UvCQbOmQ4MFQ0vQTT.htm,霖霖的小店2014,,96.52%
4.79,//shop119961391.taobao.com,服饰鞋包,4.72,1470,119961391,大树依柜,154,4.72,//rate.taobao.com/user-rate-UvCQSMmgbMFxyMgTT.htm,追逐ChHASE,,97.66%
4.81,//shop108589871.taobao.com,服饰鞋包,4.76,659,108589871,淘淘梦想站,35,4.78,//rate.taobao.com/user-rate-UvFHYMFk4vmgWMNTT.htm,中国品牌认证协会店,台湾 新竹,98.77%
4.78,//shop111957561.taobao.com,母婴,4.72,426,111957561,hebalj,540,4.77,//rate.taobao.com/user-rate-UMFxLvCNGMGcT.htm,裤娃娃ZOON,上海,98.66%
4.81,//shop104045928.taobao.com,服饰鞋包,4.79,201,104045928,洪斯托洛夫1989,77,4.82,//rate.taobao.com/user-rate-UMCH0MGNWvmHb.htm,TheWall迷墙,,98.16%
