服务态度,店铺链接,类型,描述相符,店铺销量,店铺id,卖家昵称,店铺宝贝数量,物流速度,用户评分链接,店铺名称,店铺区域,好评率
4.62,//shop71046820.taobao.com,服饰鞋包,4.51,165,71046820,zhaoyanshan889988,36,4.63,//rate.taobao.com/user-rate-UMGkbvFgGMGIW.htm,创想服装批发商城,,94.29%
4.84,//shop121166830.taobao.com,服饰鞋包,4.82,424,121166830,mmcyjc,51,4.85,//rate.taobao.com/user-rate-UvC8YvFkSvm8GMWTT.htm,小梅的女装,,96.60%
4.9,//shop63482044.taobao.com,服饰鞋包,4.85,110,63482044,素诺2009,38,4.89,//rate.taobao.com/user-rate-UMFkbOmQLMGHY.htm,Nuouo  诺诺自制实拍女装,浙江 杭州,98.74%
4.82,//shop124453352.taobao.com,服饰鞋包,4.8,110,124453352,zh1924858605,25,4.82,//rate.taobao.com/user-rate-UvCISMCvyMFkWOQTT.htm,欧美韩高端代购名店,,98.99%
4.65,//shop105540492.taobao.com,服饰鞋包,4.53,144,105540492,宇信通信店,52,4.64,//rate.taobao.com/user-rate-UvFHGvGQGMGxyvQTT.htm,布衣阁专柜,广东 广州,94.79%
4.92,//shop128394099.taobao.com,服饰鞋包,4.91,56,128394099,中老年女装0016,172,4.91,//rate.taobao.com/user-rate-UvCxWMmHbMFkYvgTT.htm,尚品中年女装,,99.19%
4.82,//shop155040515.taobao.com,服饰鞋包,4.79,484,155040515,赵小航518,24,4.81,//rate.taobao.com/user-rate-UMGv4vFvLMCku.htm,衣升魅力,,99.61%
4.89,//shop102056446.taobao.com,服饰鞋包,4.86,64,102056446,超越大海88,84,4.91,//rate.taobao.com/user-rate-UvFHYMCI0vmcSvQTT.htm,时尚针织店99,,100.00%
4.87,//shop63393537.taobao.com,服饰鞋包,4.8,73,63393537,梦里水乡3600,180,4.85,//rate.taobao.com/user-rate-UMFkGMGxLOF8y.htm,艾尚雪儿yy,河北 邢台,99.58%
4.83,//shop112141003.taobao.com,服饰鞋包,4.77,143,112141003,裤吧啦酷,334,4.83,//rate.taobao.com/user-rate-UvCHLOm8uvFcSMWTT.htm,雅各衣柜,,95.92%
4.88,//shop112866436.taobao.com,服饰鞋包,4.87,321,112866436,蕾恩卡服饰,104,4.88,//rate.taobao.com/user-rate-UvCN0MmHSvFNYONTT.htm,蕾恩卡服饰,,98.99%
4.79,//shop106351208.taobao.com,服饰鞋包,4.72,163,106351208,聂力平,105,4.8,//rate.taobao.com/user-rate-UMG84OmHuvm8u.htm,碳酸冒泡泡,,97.34%
4.84,//shop155191512.taobao.com,服饰鞋包,4.78,163,155191512,西子凤女装,75,4.84,//rate.taobao.com/user-rate-UvCgLMFH4vGv0vNTT.htm,韩版时尚美衣潮流女装,,99.66%
4.65,//shop150265588.taobao.com,服饰鞋包,4.57,508,150265588,年度特卖场,111,4.64,//rate.taobao.com/user-rate-UvCc0vCvyOFQ0MQTT.htm,年度特卖场,,98.22%
4.85,//shop64374877.taobao.com,服饰鞋包,4.82,664,64374877,xiaoxiaojia66,419,4.85,//rate.taobao.com/user-rate-UMC80vF84vm8G.htm,左淘右淘 女装服装正品店,,98.64%
4.91,//shop65627647.taobao.com,服饰鞋包,4.87,197,65627647,x_旺铺,100,4.91,//rate.taobao.com/user-rate-UMCcbMCNLvCcW.htm,蔓拉MANLA原创定制店,广东 东莞,98.98%
4.87,//shop108944744.taobao.com,服饰鞋包,4.82,294,108944744,一叶知秋8012456,144,4.85,//rate.taobao.com/user-rate-UvFcGvmHyMCgyMWTT.htm,简裳靓衣,,97.50%
4.7,//shop145065722.taobao.com,服饰鞋包,4.62,503,145065722,叮咚响不停16888,475,4.71,//rate.taobao.com/user-rate-UvCcuvGQGMFIWvQTT.htm,心随媚依动,,92.16%
4.75,//shop100646293.taobao.com,服饰鞋包,4.71,984,100646293,大叔我很好,92,4.73,//rate.taobao.com/user-rate-UOFH0OFkuOmHY.htm,大美人与小美人,,97.96%
4.74,//shop105343154.taobao.com,服饰鞋包,4.68,223,105343154,特价不清仓,67,4.74,//rate.taobao.com/user-rate-UvFc0MFHSOm8GOQTT.htm,欧韩日精品女装外贸,山东 青岛,96.21%
4.64,//shop112471936.taobao.com,服饰鞋包,4.58,1473,112471936,丽尚兰人,206,4.63,//rate.taobao.com/user-rate-UvCH4vCkYMmxbOQTT.htm,丽尚兰人,,97.91%
4.91,//shop60836498.taobao.com,服饰鞋包,4.86,99,60836498,小猪本本1010,118,4.9,//rate.taobao.com/user-rate-UvFQYvFgGOFxY.htm,美美的诱惑 本本原创复古文艺范女装,山东 青岛,99.82%
4.67,//shop36363177.taobao.com,服饰鞋包,4.64,1916,36363177,hjnh5020,88,4.68,//rate.taobao.com/user-rate-UvFvWOmHLvGgu.htm,Song Liya时尚旗航店,广东 广州,96.39%
4.79,//shop117313936.taobao.com,服饰鞋包,4.77,744,117313936,情依服饰店,71,4.78,//rate.taobao.com/user-rate-UvCQLvGHuMGgLMgTT.htm,女王号令,,99.74%
4.55,//shop110949825.taobao.com,服饰鞋包,4.42,741,110949825,韩衣骐舰店,15,4.51,//rate.taobao.com/user-rate-UvCNuMFNSvCHYMQTT.htm,精品女装直销部,,97.59%
4.88,//shop67224836.taobao.com,服饰鞋包,4.85,739,67224836,anna爱宝贝,96,4.89,//rate.taobao.com/user-rate-UMGHLMmcuvCI0.htm,anna爱宝贝,,99.16%
4.66,//shop125066178.taobao.com,服饰鞋包,4.58,645,125066178,美不美看大腿168,59,4.67,//rate.taobao.com/user-rate-UvC8LvFHuvGgYMgTT.htm,坏女孩旗航店丶,,98.95%
4.91,//shop69555762.taobao.com,服饰鞋包,4.89,486,69555762,海宁真皮商品直销平台,74,4.9,//rate.taobao.com/user-rate-UMGgLOmIyMCc4.htm,海宁真皮商品直销平台,,99.38%
4.74,//shop104917215.taobao.com,服饰鞋包,4.68,833,104917215,zmc小川,85,4.7,//rate.taobao.com/user-rate-UvFcGvFguvmcyvgTT.htm,Cattree Original custom,,97.80%
4.8,//shop141602237.taobao.com,服饰鞋包,4.74,636,141602237,丹牧尔服饰,193,4.8,//rate.taobao.com/user-rate-UvCcWMGc4OFQWvNTT.htm,丹牧尔服饰,,99.49%
4.92,//shop58340433.taobao.com,服饰鞋包,4.89,56,58340433,guangfeng_tb,65,4.94,//rate.taobao.com/user-rate-UvCHSvFQSvFx0.htm,ZOWZOW美漾所在,广东 东莞,98.93%
4.88,//shop71349887.taobao.com,服饰鞋包,4.84,182,71349887,alibb518taobao,101,4.87,//rate.taobao.com/user-rate-UvG8WMGcbvGkG.htm,七色衣堡,,99.48%
4.87,//shop142552209.taobao.com,母婴,4.79,157,142552209,xiadunyun1960,268,4.86,//rate.taobao.com/user-rate-UvCN4MmIGMFv0vgTT.htm,小螺号童装会馆,,99.43%
