服务态度,店铺链接,类型,描述相符,店铺销量,店铺id,卖家昵称,店铺宝贝数量,物流速度,用户评分链接,店铺名称,店铺区域,好评率
4.81,//shop121598171.taobao.com,服饰鞋包,4.75,291,121598171,贵族品牌1573,50,4.79,//rate.taobao.com/user-rate-UvC8yvCIyMGvGvWTT.htm,大码品牌馆,,99.31%
4.77,//shop155266824.taobao.com,母婴,4.75,1992,155266824,魔石服饰自营店,24,4.75,//rate.taobao.com/user-rate-UvCgbvCIGOmI4MgTT.htm,魔石服饰自营店,,99.34%
4.66,//shop72145975.taobao.com,服饰鞋包,4.57,486,72145975,李锐赵晓丽,166,4.65,//rate.taobao.com/user-rate-UMCkuMCk0vGNW.htm,金橙服饰自营店,,97.90%
4.45,//shop35208259.taobao.com,母婴,4.37,4195,35208259,欧若拉1898,426,4.49,//rate.taobao.com/user-rate-UOmNYvFkyvmHT.htm,童颜屋记520,,94.03%
4.77,//shop110492199.taobao.com,母婴,4.75,943,110492199,知识阶梯,12,4.76,//rate.taobao.com/user-rate-UvCNLOFgLOmgbvgTT.htm,萌萌哒女童装,,99.55%
4.79,//shop72516443.taobao.com,母婴,4.77,1847,72516443,tb_7191902,41,4.8,//rate.taobao.com/user-rate-UMCNuMCN0vF8Y.htm,晨政小龙人企业店,,98.80%
4.8,//shop107645075.taobao.com,母婴,4.78,2059,107645075,伴尔祺,25,4.79,//rate.taobao.com/user-rate-UOFHWOFkGOFHb.htm,奕之轩睡衣服饰,广东 汕头,99.21%
4.71,//shop149424501.taobao.com,母婴,4.7,680,149424501,逍遥哥哥爱抽风,23,4.72,//rate.taobao.com/user-rate-UvCcuMC8bOm8LONTT.htm,朵朵童真精品屋,,98.65%
4.91,//shop150723997.taobao.com,母婴,4.9,1811,150723997,柒盟商贸,27,4.89,//rate.taobao.com/user-rate-UvCgyvGk0MFxLvgTT.htm,凝萌织坊,,99.54%
4.85,//shop57265198.taobao.com,母婴,4.84,2322,57265198,燕吉潮流饰品,182,4.85,//rate.taobao.com/user-rate-UvFkLMFQWvG8L.htm,琦娅饰品,浙江 金华,99.25%
4.79,//shop124270590.taobao.com,母婴,4.76,2663,124270590,美人鱼内衣商城888,27,4.79,//rate.taobao.com/user-rate-UvC8bvGNuvGcSOQTT.htm,1号宝贝内衣柜,,99.72%
4.89,//shop57277369.taobao.com,母婴,4.88,1262,57277369,四夕伊人,148,4.87,//rate.taobao.com/user-rate-UvFk0vFxbMC8W.htm,小龙马母婴购物平台,北京,99.70%
4.8,//shop72003068.taobao.com,母婴,4.75,1813,72003068,偶亲爱滴4613,64,4.78,//rate.taobao.com/user-rate-UvG8YOFkbvGHY.htm,堡堡贝尔,,97.98%
4.9,//shop124767885.taobao.com,母婴,4.89,1830,124767885,芭维拉,54,4.88,//rate.taobao.com/user-rate-UvC8LvF8WvmHSvQTT.htm,芭维拉官方母婴店,,99.33%
4.9,//shop66906862.taobao.com,母婴,4.88,676,66906862,alee319,205,4.89,//rate.taobao.com/user-rate-UMGNGMFx4vCHT.htm,华华的三个宝贝,广东 东莞,99.61%
4.75,//shop150090495.taobao.com,母婴,4.76,1404,150090495,锦尚缘罩衣,7,4.7,//rate.taobao.com/user-rate-UvCgyOmkyMG8LvWTT.htm,锦尚缘布衣,,97.66%
4.8,//shop69622545.taobao.com,母婴,4.79,2066,69622545,tb_5733975,14,4.79,//rate.taobao.com/user-rate-UMGvbOFcSOFcY.htm,薇薇笑儿童内衣店,,98.58%
4.68,//shop150607518.taobao.com,母婴,4.68,2583,150607518,lyy2219,9,4.62,//rate.taobao.com/user-rate-UvFgGvCIWMGcuvNTT.htm,酷帅小少爷,,98.66%
4.83,//shop100757058.taobao.com,母婴,4.8,1546,100757058,南京周果果,49,4.82,//rate.taobao.com/user-rate-UvFNLMmkYMGQ0vNTT.htm,果果乖宝童装店,,98.35%
