服务态度,店铺链接,类型,描述相符,店铺销量,店铺id,卖家昵称,店铺宝贝数量,物流速度,用户评分链接,店铺名称,店铺区域,好评率
4.9,//shop157053515.taobao.com,服饰鞋包,4.84,14,157053515,真爱is永恒,14,4.93,//rate.taobao.com/user-rate-UvCxWvGILOmNGMQTT.htm,淘妞精品服饰,,100.00%
4.97,//shop148147215.taobao.com,服饰鞋包,5,14,148147215,马灿杰11,87,4.92,//rate.taobao.com/user-rate-UvCNGMGQ0vGgYMgTT.htm,漆元素,,100.00%
4.55,//shop136970731.taobao.com,服饰鞋包,4.4,14,136970731,dijon1995,132,4.45,//rate.taobao.com/user-rate-UvFcYvCHSOmIbMNTT.htm,时尚女装品牌店铺,,95.36%
5,//shop157286428.taobao.com,服饰鞋包,4.98,14,157286428,广州市客蔓森服饰有限公司,15,5,//rate.taobao.com/user-rate-UvCg4OFkbvGx0vQTT.htm,蔓孜服饰,,98.36%
5,//shop117706296.taobao.com,服饰鞋包,5,14,117706296,xu2241235365,246,5,//rate.taobao.com/user-rate-UvFxSMFcGOFgYvgTT.htm,爱依丽旺铺,,98.04%
5,//shop129698164.taobao.com,服饰鞋包,5,14,129698164,zhuman880702,16,5,//rate.taobao.com/user-rate-UvCxuvFNuOFHW.htm,喵星人爱地球,,100.00%
4.72,//shop113016937.taobao.com,服饰鞋包,4.66,16,113016937,伊丽纱衣都,18,4.73,//rate.taobao.com/user-rate-UvCIYOmgWvCNLvWTT.htm,伊丽莎衣都,,98.30%
4.73,//shop62604347.taobao.com,服饰鞋包,4.69,1511,62604347,shipin_78,25,4.73,//rate.taobao.com/user-rate-UvGkYOF8yOF84.htm,优库名品折扣店,浙江 嘉兴,98.42%
4.97,//shop105036849.taobao.com,母婴,4.95,145,105036849,wm爱依服饰,114,4.93,//rate.taobao.com/user-rate-UvFcGOmH4MCcGMNTT.htm,百依百顺表演服,,99.36%
4.78,//shop117344063.taobao.com,服饰鞋包,4.72,5049,117344063,qq136193378,36,4.78,//rate.taobao.com/user-rate-UvCvSOFNGvFkyONTT.htm,cool 裤裤裤,广东 广州,99.16%
