服务态度,店铺链接,类型,描述相符,店铺销量,店铺id,卖家昵称,店铺宝贝数量,物流速度,用户评分链接,店铺名称,店铺区域,好评率
4.79,//shop102959184.taobao.com,服饰鞋包,4.73,1013,102959184,txudawang,27,4.78,//rate.taobao.com/user-rate-UvFxyMGkyMmkGvgTT.htm,LiLi kore,,96.89%
4.71,//shop70949166.taobao.com,服饰鞋包,4.64,630,70949166,妩媚小女人鞋坊8,67,4.71,//rate.taobao.com/user-rate-UOmvSOFkWvm80.htm,网红精品女鞋,,96.85%
4.8,//shop156505325.taobao.com,服饰鞋包,4.74,1278,156505325,小梨子1918,36,4.79,//rate.taobao.com/user-rate-UMCc0vFvWvm8S.htm,熊大二号店,,99.68%
4.58,//shop249497603.taobao.com,服饰鞋包,4.51,2600,249497603,梦巴黎小工匠西西,11,4.51,//rate.taobao.com/user-rate-UvGNYMmNYvGNGMgTT.htm,梦巴黎高端定制女鞋,,98.16%
4.6,//shop151173275.taobao.com,服饰鞋包,4.55,706,151173275,改革进行时1688,34,4.58,//rate.taobao.com/user-rate-UvCgWMCQLMCk4vNTT.htm,潮流时尚女鞋专售店,,91.00%
4.64,//shop150179968.taobao.com,服饰鞋包,4.59,1819,150179968,张新民188,23,4.62,//rate.taobao.com/user-rate-UvCgYvFNLMmg0vgTT.htm,1575巴黎时尚女鞋,浙江 台州,95.14%
4.6,//shop114389020.taobao.com,服饰鞋包,4.56,1432,114389020,清漫行,17,4.57,//rate.taobao.com/user-rate-UvCIuMCkSvFNbMNTT.htm,清漫行,,97.42%
4.69,//shop112545730.taobao.com,服饰鞋包,4.66,2033,112545730,快乐鞋吧_玲玲,12,4.66,//rate.taobao.com/user-rate-UvCHSvmHWMGk4vWTT.htm,HAPSOE 快乐鞋吧,,98.92%
4.77,//shop108082459.taobao.com,母婴,4.76,4141,108082459,cool淼儿,44,4.78,//rate.taobao.com/user-rate-UvFHWMmNWvFkyONTT.htm,COOL淼儿 厂家直销,,98.17%
4.72,//shop144265637.taobao.com,服饰鞋包,4.66,1952,144265637,缔琳品牌舰旗店,84,4.72,//rate.taobao.com/user-rate-UvCcGMCcWMmkSvQTT.htm,缔琳品牌舰旗店,,97.71%
4.82,//shop70089059.taobao.com,服饰鞋包,4.76,768,70089059,张高贵6818,43,4.82,//rate.taobao.com/user-rate-UvGc4MFNYMGkb.htm,酷莱奇服饰,江苏 苏州,97.26%
4.22,//shop113412309.taobao.com,服饰鞋包,4.06,1679,113412309,森马男装999,28,4.29,//rate.taobao.com/user-rate-UvCIWMGkYvmcGMWTT.htm,时尚潮森马男装店,,87.66%
4.85,//shop71067898.taobao.com,服饰鞋包,4.83,656,71067898,拓路者专柜,769,4.84,//rate.taobao.com/user-rate-UOmQGMFgyvCNy.htm,拓路者专柜,,98.55%
4.15,//shop112870945.taobao.com,服饰鞋包,3.99,977,112870945,林弯弯潮人牛仔裤,191,4.12,//rate.taobao.com/user-rate-UvCHSMG80MFNLMWTT.htm,林弯弯潮人牛仔裤,,82.62%
