服务态度,店铺链接,类型,描述相符,店铺销量,店铺id,卖家昵称,店铺宝贝数量,物流速度,用户评分链接,店铺名称,店铺区域,好评率
4.92,//shop105666766.taobao.com,服饰鞋包,4.91,84,105666766,张洋洋2556,38,4.93,//rate.taobao.com/user-rate-UMGcLvC8GOF8u.htm,棉先生牛仔潮流店,,99.20%
4.78,//shop102249362.taobao.com,服饰鞋包,4.78,73,102249362,cfengb,69,4.71,//rate.taobao.com/user-rate-UMGvYMFNuMmk0.htm,尚酷E阁,,97.08%
4.38,//shop115533789.taobao.com,服饰鞋包,4.17,176,115533789,美丽梦天空,452,4.35,//rate.taobao.com/user-rate-UvCIyMCvGMCxyONTT.htm,九九分精品服装,,85.54%
4.74,//shop149895554.taobao.com,服饰鞋包,4.65,262,149895554,锦荣服装店,93,4.7,//rate.taobao.com/user-rate-UvCgyMFkLvGHWMNTT.htm,JRO锦荣服饰,,99.11%
4.97,//shop151790577.taobao.com,服饰鞋包,4.98,174,151790577,辰辰的小屋6,181,4.97,//rate.taobao.com/user-rate-UvCg0OF8yvGNSMQTT.htm,香港爱购潮流体验店,,99.85%
4.82,//shop438339125.taobao.com,服饰鞋包,4.82,412,438339125,曾黎小店,11,4.81,//rate.taobao.com/user-rate-UvGNYOFHLMmgbMQTT.htm,曾黎的小店,,98.48%
4.54,//shop126079791.taobao.com,服饰鞋包,4.44,992,126079791,吧啦小哚,91,4.56,//rate.taobao.com/user-rate-UvC8LMCNGMGkSMgTT.htm,吧啦小哚大码女装,,96.51%
4.82,//shop103803744.taobao.com,服饰鞋包,4.75,95,103803744,black_wo,3098,4.77,//rate.taobao.com/user-rate-UvFx0OFg0vFkuMQTT.htm,时尚修身馆,广东 广州,99.39%
4.6,//shop70407163.taobao.com,服饰鞋包,4.57,1289,70407163,茗谷屋ming,106,4.5,//rate.taobao.com/user-rate-UOmH0MGNLvCN0.htm,[南笙菇凉]原创女装,,97.13%
4.78,//shop125295664.taobao.com,服饰鞋包,4.74,2784,125295664,vectid丶,29,4.76,//rate.taobao.com/user-rate-UvC8LOmIGMFIGvWTT.htm,韩宾运动裤专家,,99.04%
4.89,//shop104013069.taobao.com,服饰鞋包,4.84,87,104013069,tb7104704,357,4.87,//rate.taobao.com/user-rate-UMFHuMFc0vmNY.htm,janjas简尚店,浙江 杭州,98.94%
4.6,//shop108861794.taobao.com,服饰鞋包,4.51,944,108861794,米淇服饰第一分店,11,4.69,//rate.taobao.com/user-rate-UvFkSvGNYOmx0vgTT.htm,Fashion 小米淇精品女装,,93.35%
