服务态度,店铺链接,类型,描述相符,店铺销量,店铺id,卖家昵称,店铺宝贝数量,物流速度,用户评分链接,店铺名称,店铺区域,好评率
4.8,//shop59382693.taobao.com,服饰鞋包,4.76,55353,59382693,胡方英,463,4.79,//rate.taobao.com/user-rate-UvGNGOFv0OmgY.htm,蔓延时尚潮流女装,浙江 杭州,99.30%
4.69,//shop57726695.taobao.com,服饰鞋包,4.68,41658,57726695,晓_咩咩,202,4.64,//rate.taobao.com/user-rate-UOmxGMCkGOFxT.htm,咩咩家清新文艺女装,浙江 宁波,99.24%
4.9,//shop62639197.taobao.com,服饰鞋包,4.87,33079,62639197,田原88,785,4.9,//rate.taobao.com/user-rate-UMmHuOmkWvmgW.htm,田原1968,,99.76%
4.92,//shop34115734.taobao.com,服饰鞋包,4.88,21458,34115734,我的木棉若若,267,4.91,//rate.taobao.com/user-rate-UMFNWOFNWvmgT.htm,叙旧OLDTIMES,江苏 苏州,99.97%
4.86,//shop58075284.taobao.com,服饰鞋包,4.82,222,58075284,最美是故乡,28,4.84,//rate.taobao.com/user-rate-UvCIuMGNyMGcL.htm,鑫鑫鞋业Y,河南 洛阳,97.21%
4.81,//shop159764551.taobao.com,服饰鞋包,4.79,550,159764551,tb2661445,10,4.79,//rate.taobao.com/user-rate-UMFgGMCQbMFHS.htm,19号鞋城,,99.71%
4.82,//shop104552825.taobao.com,服饰鞋包,4.81,485,104552825,凡踏尚品,7,4.81,//rate.taobao.com/user-rate-UvFcYMGHYvCI4ONTT.htm,凡踏尚品,,98.26%
4.69,//shop34839289.taobao.com,服饰鞋包,4.63,477,34839289,佳乐乐671,23,4.64,//rate.taobao.com/user-rate-UMCkuOmIYOFkT.htm,671嗨,浙江 温州,97.79%
4.81,//shop163132941.taobao.com,服饰鞋包,4.78,675,163132941,兰兰男鞋,13,4.78,//rate.taobao.com/user-rate-UvCkyMCcYMCN0MWTT.htm,兰兰精品男鞋,,99.27%
4.66,//shop108526651.taobao.com,服饰鞋包,4.62,394,108526651,百姓鞋吧2000,145,4.63,//rate.taobao.com/user-rate-UvFkLvCvuMFHYMQTT.htm,新云鞋业,上海,96.32%
4.75,//shop122598192.taobao.com,服饰鞋包,4.72,674,122598192,型男帮8880,92,4.74,//rate.taobao.com/user-rate-UvC8yMGvSvGv0vgTT.htm,型男鞋村,,99.37%
4.79,//shop33877133.taobao.com,服饰鞋包,4.7,525,33877133,yebinls,8,4.75,//rate.taobao.com/user-rate-UvFNYOF8uvFxT.htm,足之所履男鞋,上海,98.98%
4.73,//shop57573592.taobao.com,服饰鞋包,4.7,463,57573592,qingjie002,5,4.73,//rate.taobao.com/user-rate-UMmvyvFxbMCxT.htm,阿诚先生鞋店,,97.13%
4.73,//shop151955069.taobao.com,服饰鞋包,4.68,1010,151955069,向来缘浅苦寻缘,21,4.7,//rate.taobao.com/user-rate-UvCg0MGQGvCx4vNTT.htm,初七的小鞋店,,99.88%
4.78,//shop64196191.taobao.com,服饰鞋包,4.77,456,64196191,liyuntao1979,18,4.73,//rate.taobao.com/user-rate-UMC8WOFISOmcS.htm,涵硕时尚男鞋,河北 保定,98.28%
4.49,//shop148394166.taobao.com,服饰鞋包,4.46,452,148394166,年少有志潮鞋,134,4.46,//rate.taobao.com/user-rate-UvCgWMC8GvGHWMNTT.htm,绝对货真价实的鞋店,,93.69%
4.75,//shop124585847.taobao.com,服饰鞋包,4.74,551,124585847,吻子之眸0,13,4.72,//rate.taobao.com/user-rate-UOmILMF84vmvW.htm,舒源祥,,98.19%
4.76,//shop108846809.taobao.com,服饰鞋包,4.72,448,108846809,z3267112,48,4.75,//rate.taobao.com/user-rate-UMGcGvCgyvF8W.htm,糖糖小幸福店铺,,99.32%
4.35,//shop113948288.taobao.com,服饰鞋包,4.3,2862,113948288,张双琴1,31,4.35,//rate.taobao.com/user-rate-UOFg0MGxbvFvT.htm,萱萱鞋业2015,,87.32%
4.75,//shop105093229.taobao.com,服饰鞋包,4.72,775,105093229,梵客森,25,4.74,//rate.taobao.com/user-rate-UvFcWvCgGMCIYvNTT.htm,梵客森鞋业,,98.48%
4.98,//shop140615486.taobao.com,母婴,4.96,94,140615486,妞宝nimble,172,4.97,//rate.taobao.com/user-rate-UvCxSMGxGvm8GvNTT.htm,妞宝礼服店,,99.79%
4.44,//shop110081301.taobao.com,母婴,4.49,224,110081301,吖呀baby,96,4.31,//rate.taobao.com/user-rate-UvCNbMGHGMC8SOQTT.htm,吖呀童装店,,97.98%
4.77,//shop34546792.taobao.com,服饰鞋包,4.71,8598,34546792,wangjili222,543,4.76,//rate.taobao.com/user-rate-UMCIWvFcLMFxT.htm,小窝家,上海,99.50%
4.81,//shop106482661.taobao.com,服饰鞋包,4.76,2251,106482661,tb6915601,326,4.8,//rate.taobao.com/user-rate-UMFHSvGcuvFxy.htm,GTTSTYLE,,97.74%
4.78,//shop62976683.taobao.com,服饰鞋包,4.72,8597,62976683,南韩元素服饰,206,4.76,//rate.taobao.com/user-rate-UMFvLvFIbvGQY.htm,小河马实拍女装,山东 济南,99.08%
