服务态度,店铺链接,类型,描述相符,店铺销量,店铺id,卖家昵称,店铺宝贝数量,物流速度,用户评分链接,店铺名称,店铺区域,好评率
4.38,//shop116219030.taobao.com,服饰鞋包,4.19,3729,116219030,lin格格mm88,9,4.42,//rate.taobao.com/user-rate-UvCv4MGvYMCgGMgTT.htm,韩尚美衣潮流店,,89.29%
4.79,//shop106020455.taobao.com,珠宝/配饰,4.76,27751,106020455,风尚首尔,355,4.78,//rate.taobao.com/user-rate-UvFc4OFx4vFgYMgTT.htm,风尚首尔饰品 韩版发饰,,99.17%
4.89,//shop63173169.taobao.com,家居用品,4.87,7470,63173169,chenhaitao19860825,133,4.88,//rate.taobao.com/user-rate-UvGxuvmISvCcT.htm,爱家鞋铺,浙江 宁波,98.69%
4.74,//shop151104108.taobao.com,家装家饰,4.71,6108,151104108,兔兔熊家饰企业店,1198,4.72,//rate.taobao.com/user-rate-UvCg0vmkLMCNLMgTT.htm,兔兔熊家饰企业店,,98.13%
4.86,//shop104074715.taobao.com,服饰鞋包,4.81,3664,104074715,苏小晴01,90,4.86,//rate.taobao.com/user-rate-UvFxSvmN0MGQ4MWTT.htm,布衣布舍外贸家居馆 外贸睡衣家居服哺乳装内裤,,98.99%
4.93,//shop121088325.taobao.com,服饰鞋包,4.91,2394,121088325,凉美lia,32,4.93,//rate.taobao.com/user-rate-UvCQuOFcLvFxbOQTT.htm,LIA定制,,99.96%
4.83,//shop35990115.taobao.com,服饰鞋包,4.79,1389,35990115,红羊四方,308,4.83,//rate.taobao.com/user-rate-UvFH4OmxYMGgT.htm,木兰羊女装馆,浙江 杭州,98.62%
4.69,//shop116980776.taobao.com,服饰鞋包,4.6,2074,116980776,韩裤衣,29,4.7,//rate.taobao.com/user-rate-UvCQbvG8YvFQuvQTT.htm,韩裤衣实拍女装,,98.42%
4.91,//shop113694634.taobao.com,服饰鞋包,4.88,3401,113694634,kyzr_0002,262,4.9,//rate.taobao.com/user-rate-UvFNLMCvGvFxuMNTT.htm,HBA吧主的店,,99.29%
4.89,//shop121419979.taobao.com,服饰鞋包,4.86,3252,121419979,raiden_wu,277,4.87,//rate.taobao.com/user-rate-UvC8YOmkYMGc4MgTT.htm,LISA国潮,北京,99.62%
4.82,//shop102663249.taobao.com,服饰鞋包,4.78,11294,102663249,山鹰户外狮子座直销店,29,4.82,//rate.taobao.com/user-rate-UvFxyvmg4vFHWMWTT.htm,山鹰户外狮子座直销店,北京,99.32%
4.8,//shop70386131.taobao.com,服饰鞋包,4.76,8791,70386131,夏会明1027,66,4.78,//rate.taobao.com/user-rate-UOmIuvGNuMFvY.htm,黑糖玛琳,浙江 丽水,98.09%
4.77,//shop111456455.taobao.com,服饰鞋包,4.73,1129,111456455,怡见钟情11,87,4.77,//rate.taobao.com/user-rate-UvCHyvGNyMFNWvNTT.htm,怡人潮坊,,99.03%
4.75,//shop113909380.taobao.com,服饰鞋包,4.67,1126,113909380,周生科技馆,12,4.74,//rate.taobao.com/user-rate-UvCIbMCIYOFxLvNTT.htm,韩美兔定制毛衣,,98.20%
4.73,//shop101176359.taobao.com,服饰鞋包,4.72,13380,101176359,舒美亿,16,4.71,//rate.taobao.com/user-rate-UvFN4MFcSvCIYOQTT.htm,舒美亿鞋业,,97.72%
4.82,//shop118317606.taobao.com,服饰鞋包,4.77,1473,118317606,yejundi,33,4.79,//rate.taobao.com/user-rate-UMCg4Om8yvFcT.htm,私家定制  腔调出品,,97.83%
4.77,//shop60860659.taobao.com,服饰鞋包,4.76,2791,60860659,xuzhihua00,123,4.79,//rate.taobao.com/user-rate-UMGNyOm8YMmgT.htm,华北人本总店,,98.37%
4.76,//shop100796077.taobao.com,服饰鞋包,4.75,10258,100796077,lkx880901,9,4.75,//rate.taobao.com/user-rate-UMGQbvFNuvCNL.htm,一字舰旗店,浙江 温州,99.27%
4.8,//shop113298259.taobao.com,服饰鞋包,4.76,1116,113298259,hqq328,541,4.8,//rate.taobao.com/user-rate-UvGcWvFxbOFQT.htm,MM家 韩国时尚,广东 广州,99.24%
4.91,//shop65644896.taobao.com,服饰鞋包,4.89,1116,65644896,快乐购物主,355,4.9,//rate.taobao.com/user-rate-UvGx0OFQWOFHb.htm,一加一欧美范儿,,98.98%
4.78,//shop114161282.taobao.com,服饰鞋包,4.74,1114,114161282,汇美服饰一号店,556,4.77,//rate.taobao.com/user-rate-UvCIuvCQGvmvLMQTT.htm,汇美服饰一号店,浙江 嘉兴,99.41%
4.77,//shop155051178.taobao.com,服饰鞋包,4.73,1409,155051178,喜欢薄荷糖的女孩,221,4.76,//rate.taobao.com/user-rate-UvCgLvGQYOmI4MWTT.htm,芳芳家定制衣坊,,99.15%
4.76,//shop110647560.taobao.com,服饰鞋包,4.72,1407,110647560,日韩淑女空间,304,4.77,//rate.taobao.com/user-rate-UvCN4vCxSMCIbMgTT.htm,日韩淑女空间,,97.57%
4.49,//shop61568491.taobao.com,服饰鞋包,4.4,1228,61568491,匿名淘金,38,4.43,//rate.taobao.com/user-rate-UMmHWvmxbMF80.htm,索妃伊阁,,97.53%
4.79,//shop105167967.taobao.com,服饰鞋包,4.75,5891,105167967,卡罗淇女装,31,4.77,//rate.taobao.com/user-rate-UvFc0MCQLMmgWONTT.htm,卡罗淇休闲男装,,99.21%
4.85,//shop34455572.taobao.com,服饰鞋包,4.81,1225,34455572,阿诗1234,198,4.86,//rate.taobao.com/user-rate-UMCNbMCkbOmNT.htm,SHISHIJIA诗诗家美衣,浙江 温州,98.70%
4.84,//shop60484176.taobao.com,服饰鞋包,4.8,3249,60484176,忆珍girl,9,4.82,//rate.taobao.com/user-rate-UvGQLvmkYMFH4.htm,香水依人鞋屋,,97.49%
4.82,//shop154864963.taobao.com,服饰鞋包,4.78,8108,154864963,鞋品轩诚,15,4.84,//rate.taobao.com/user-rate-UvCgLvCN0vCxGONTT.htm,鞋品轩诚,,99.29%
4.78,//shop104575501.taobao.com,服饰鞋包,4.77,1696,104575501,明月轩尼诗,12,4.76,//rate.taobao.com/user-rate-UvFcWvmkuvmIGOQTT.htm,孝妈妈鞋馆,浙江 温州,99.08%
4.4,//shop160079988.taobao.com,服饰鞋包,4.36,7205,160079988,庆兴男装基地,18,4.36,//rate.taobao.com/user-rate-UvCkWMFkyOmv4ONTT.htm,庆兴男装基地,,93.49%
4.74,//shop141816784.taobao.com,服饰鞋包,4.69,2084,141816784,自由人原创潮牌男装,24,4.73,//rate.taobao.com/user-rate-UvCcyvmN4Mmv0ONTT.htm,自由人原创潮牌男装,,99.68%
4.86,//shop110004419.taobao.com,服饰鞋包,4.8,713,110004419,马上有钱1129,29,4.83,//rate.taobao.com/user-rate-UvCNbvGvLvCkLMWTT.htm,钱爸爸男装,,98.25%
4.82,//shop67402506.taobao.com,服饰鞋包,4.78,2371,67402506,小亚_1688,79,4.79,//rate.taobao.com/user-rate-UMGIWMFgSMFk4.htm,思图鸟品质女鞋,,98.29%
4.85,//shop62481962.taobao.com,服饰鞋包,4.82,1065,62481962,gold帝,525,4.84,//rate.taobao.com/user-rate-UMm84OFkWMmQW.htm,双龙商号(16年新店),,99.72%
4.94,//shop64416773.taobao.com,服饰鞋包,4.94,1050,64416773,poppinhuge,62,4.94,//rate.taobao.com/user-rate-UMmIuvFgyMFvL.htm,HOLYGOOD UNION,海外,99.51%
4.83,//shop106726284.taobao.com,服饰鞋包,4.8,1966,106726284,雅鹿999,106,4.81,//rate.taobao.com/user-rate-UvFg0vFgbMmNbvgTT.htm,黛兰米克,,97.86%
4.8,//shop65226296.taobao.com,家居用品,4.77,37475,65226296,终于近视了,507,4.79,//rate.taobao.com/user-rate-UvGIYOmNuMFcy.htm,江南百货商城,,98.82%
4.84,//shop36492221.taobao.com,服饰鞋包,4.79,1650,36492221,女人的天下9,74,4.83,//rate.taobao.com/user-rate-UvFvLvFN4OmIu.htm,女99,浙江 杭州,99.00%
4.83,//shop59960952.taobao.com,服饰鞋包,4.77,1438,59960952,look_y,108,4.83,//rate.taobao.com/user-rate-UvG8WOF80vCvY.htm,时光牧歌 原创设计品牌女装,广东 东莞,99.29%
4.87,//shop105346088.taobao.com,服饰鞋包,4.85,4635,105346088,少君哥哥,16,4.87,//rate.taobao.com/user-rate-UMGQWvmxuvGcG.htm,小镇倩倩,,99.30%
4.75,//shop162466443.taobao.com,服饰鞋包,4.71,1375,162466443,时尚依购88,137,4.73,//rate.taobao.com/user-rate-UvCkYMmxSMmxLONTT.htm,爱妈妈时尚中老年女装,,97.68%
