服务态度,店铺链接,类型,描述相符,店铺销量,店铺id,卖家昵称,店铺宝贝数量,物流速度,用户评分链接,店铺名称,店铺区域,好评率
4.35,//shop36450482.taobao.com,服饰鞋包,4.22,3524,36450482,一家之包,194,4.33,//rate.taobao.com/user-rate-UvFvLMFgbvGQy.htm,一家之包,广东 广州,92.87%
4.79,//shop33957457.taobao.com,服饰鞋包,4.71,130,33957457,星际数码批发,74,4.75,//rate.taobao.com/user-rate-UMmgLMFIuvGvT.htm,AYS瑷茵识,广东 深圳,96.12%
4.9,//shop73049905.taobao.com,母婴,4.86,479,73049905,豆儿妈1008,397,4.9,//rate.taobao.com/user-rate-UOFH4Om8WvGxb.htm,豆豆梦幻衣橱,上海,99.81%
4.86,//shop64630360.taobao.com,母婴,4.82,610,64630360,虎啸山林186,1224,4.87,//rate.taobao.com/user-rate-UMC8LMFxGvGQG.htm,乖乖虎童品,上海,99.48%
4.79,//shop103939846.taobao.com,服饰鞋包,4.79,170,103939846,陈洁曼2013,44,4.83,//rate.taobao.com/user-rate-UvFxuMFkLvmvYMNTT.htm,中长款连衣裙潮流店,,91.92%
4.78,//shop111489085.taobao.com,服饰鞋包,4.75,7885,111489085,魅力时尚小衣屋,30,4.79,//rate.taobao.com/user-rate-UvCHyOmILOFNuvWTT.htm,魅力时尚小衣屋,,99.39%
4.89,//shop59174117.taobao.com,母婴,4.86,689,59174117,olbag382028,474,4.9,//rate.taobao.com/user-rate-UvCg4vCxLOmQL.htm,婴童品牌淘爱堡安宝儿,江西 抚州,99.25%
4.82,//shop115834714.taobao.com,服饰鞋包,4.76,170,115834714,海佳女装,92,4.79,//rate.taobao.com/user-rate-UvCvLvmvSvGcbMgTT.htm,海佳女装,,95.88%
4.76,//shop103784581.taobao.com,服饰鞋包,4.72,6876,103784581,madong直销店,13,4.75,//rate.taobao.com/user-rate-UvFxuMCv4MGgLvgTT.htm,衣梦儿,上海,98.25%
4.88,//shop59050176.taobao.com,服饰鞋包,4.85,15,59050176,178140967cxw,68,4.88,//rate.taobao.com/user-rate-UvF8SMFcLvCNy.htm,艾尚衣阁SHOW,湖北 武汉,97.73%
4.7,//shop70522398.taobao.com,服饰鞋包,4.65,5247,70522398,啵啵啦lv包,203,4.69,//rate.taobao.com/user-rate-UOmvYvCILvGcu.htm,SKU女装店,,99.40%
4.84,//shop107022092.taobao.com,服饰鞋包,4.79,4576,107022092,发萌的小猪,103,4.83,//rate.taobao.com/user-rate-UvFgLvFxLvCxyMgTT.htm,七梓,广东 东莞,99.38%
4.92,//shop63548510.taobao.com,母婴,4.86,88,63548510,丫头dyn520,40,4.83,//rate.taobao.com/user-rate-UvFvyMGcGvCgL.htm,巴黎公主童装屋,安徽 安庆,99.35%
4.71,//shop58053976.taobao.com,服饰鞋包,4.62,15,58053976,阿莱巴,65,4.66,//rate.taobao.com/user-rate-UvCvYvm8GOFQb.htm,贝莱森高端时尚女装,浙江 嘉兴,98.75%
4.46,//shop150345893.taobao.com,母婴,4.44,209,150345893,木有意思童装,53,4.47,//rate.taobao.com/user-rate-UvCgYvCQuOFHWMQTT.htm,木有意思童装,,96.78%
4.76,//shop109559650.taobao.com,服饰鞋包,4.71,15,109559650,最佳位置xpw,92,4.76,//rate.taobao.com/user-rate-UvFxGMCNGvmcyvQTT.htm,美美伊衫时尚女装,,98.92%
4.33,//shop107819444.taobao.com,母婴,4.19,99,107819444,angelia_zj,60,4.34,//rate.taobao.com/user-rate-UMGQ0vCNSMGcb.htm,贝比童装批发,广东 东莞,88.26%
4.82,//shop57186236.taobao.com,母婴,4.91,112,57186236,浪迹天涯天各一方,279,4.93,//rate.taobao.com/user-rate-UMCxLvmcYMCIT.htm,親親童装屋,江苏 无锡,99.69%
4.86,//shop66462935.taobao.com,服饰鞋包,4.8,3021,66462935,根根1988,189,4.85,//rate.taobao.com/user-rate-UvFvyvFvuvmIS.htm,大美家 DAMEI STUDIO,,99.57%
4.9,//shop397211530.taobao.com,服饰鞋包,4.81,15,397211530,魅力靓依坊,241,4.85,//rate.taobao.com/user-rate-UvCk4MC8LvGNbMQTT.htm,丽来妈妈装,,93.22%
4.67,//shop68308428.taobao.com,母婴,4.63,112,68308428,peixyrain,60,4.72,//rate.taobao.com/user-rate-UMmQSMGNLMCvy.htm,南瓜宝宝童装批发,,97.50%
4.81,//shop69303975.taobao.com,服饰鞋包,4.79,10,69303975,诏小夕,163,4.94,//rate.taobao.com/user-rate-UvG80MGgLvFIW.htm,樱奈日韩女装,上海,93.93%
5,//shop163596934.taobao.com,服饰鞋包,5,10,163596934,s13103591234,126,5,//rate.taobao.com/user-rate-UOmQbvmNyOmxS.htm,子凡时尚女装,,100.00%
4.8,//shop156866509.taobao.com,母婴,4.75,112,156866509,微光吹过薄荷绿lx,65,4.78,//rate.taobao.com/user-rate-UvCI0vFNuvmNyMNTT.htm,小班仔童装,,96.64%
4.88,//shop111514697.taobao.com,母婴,4.8,112,111514697,徐779377346,128,4.89,//rate.taobao.com/user-rate-UMGkLMCxbvCgb.htm,至尊贝贝童装,上海,98.99%
4.75,//shop144433847.taobao.com,服饰鞋包,4.71,99,144433847,韩潮依家时尚店,69,4.75,//rate.taobao.com/user-rate-UvCcLvGILMCvuvNTT.htm,韩潮依家时尚店,,96.28%
4.82,//shop116293410.taobao.com,母婴,4.74,143,116293410,小魔女林夕,182,4.81,//rate.taobao.com/user-rate-UvCvuvCg0OmcLvQTT.htm,小猪天使精品童装,,98.49%
