服务态度,店铺链接,类型,描述相符,店铺销量,店铺id,卖家昵称,店铺宝贝数量,物流速度,用户评分链接,店铺名称,店铺区域,好评率
4.75,//shop72158976.taobao.com,服饰鞋包,4.74,12826,72158976,美特斯邦威集市直营店,4895,4.75,//rate.taobao.com/user-rate-UOmk4vGvyMC80.htm,美特斯邦威官方店,,98.27%
4.81,//shop110622614.taobao.com,服饰鞋包,4.74,4437,110622614,上官娜娜小,614,4.82,//rate.taobao.com/user-rate-UMGgbvGNbvGvY.htm,369外贸行,,99.41%
4.84,//shop100545706.taobao.com,服饰鞋包,4.78,26121,100545706,安格鲁巧克力力,226,4.82,//rate.taobao.com/user-rate-UMGHbvmIyOFgL.htm,二十八间 原创商铺,浙江 杭州,99.73%
4.93,//shop68567338.taobao.com,母婴,4.91,233,68567338,安娜与杰西简,187,4.94,//rate.taobao.com/user-rate-UMG8YvF8SvmQL.htm,童言童语日系童装,,99.72%
4.89,//shop106610607.taobao.com,服饰鞋包,4.87,54,106610607,型男专线,295,4.86,//rate.taobao.com/user-rate-UvFgGMC8WOFguvWTT.htm,嘉E炫时尚蔓延,广东 广州,96.66%
4.81,//shop124469955.taobao.com,服饰鞋包,4.73,208,124469955,筱筱果实,33,4.82,//rate.taobao.com/user-rate-UvCQ4vFxyvmcLMQTT.htm,筱筱de精品,天津,92.66%
5,//shop342756947.taobao.com,服饰鞋包,4.95,14,342756947,tracyso1979,262,5,//rate.taobao.com/user-rate-UOmNbvGkWvGvG.htm,奇迹韩版店,,100.00%
4.58,//shop61855222.taobao.com,服饰鞋包,4.54,47,61855222,王子夜158,54,4.61,//rate.taobao.com/user-rate-UMmH4vFcyvC8L.htm,木蓉美衣,山东 青岛,96.61%
4.9,//shop60709829.taobao.com,服饰鞋包,4.85,92,60709829,江氏家族037701,183,4.87,//rate.taobao.com/user-rate-UvGgWMCNyOF8G.htm,韩嘉衣城,福建 福州,99.03%
4.76,//shop105595604.taobao.com,服饰鞋包,4.7,180,105595604,海依山赖,125,4.79,//rate.taobao.com/user-rate-UvFcLMCk4OFNyvWTT.htm,深圳南油高端原创女装批发,,98.01%
4.97,//shop119338945.taobao.com,服饰鞋包,4.97,70,119338945,小畈找爱,240,4.97,//rate.taobao.com/user-rate-UvCHGvFcWvFvGMgTT.htm,simple 的衣橱,广东 佛山,99.20%
4.83,//shop129455882.taobao.com,服饰鞋包,4.76,120,129455882,annawenfu,181,4.84,//rate.taobao.com/user-rate-UMCc4vCQyMFvy.htm,东篱小野菊,,95.82%
4.9,//shop127505831.taobao.com,服饰鞋包,4.85,462,127505831,卿卿闪的瞬间,51,4.88,//rate.taobao.com/user-rate-UvC8SMCcWMGQWOQTT.htm,正品欧美馆,,98.87%
5,//shop163116268.taobao.com,服饰鞋包,5,80,163116268,街角咖啡店8899,52,5,//rate.taobao.com/user-rate-UvCkyvGg4OFcWvNTT.htm,靓衣轩潮流时尚女装店,,100.00%
4.96,//shop145807821.taobao.com,服饰鞋包,4.94,235,145807821,那年冠希没有相机,23,4.98,//rate.taobao.com/user-rate-UvCc4vGNbvmkGvNTT.htm,樱桃小镇 原创森系清新女装,,98.83%
4.78,//shop427889479.taobao.com,服饰鞋包,4.79,61,427889479,cz19901215,77,4.81,//rate.taobao.com/user-rate-UvCQLvmxYvF8GONTT.htm,Nine Zero,,97.55%
