服务态度,店铺链接,类型,描述相符,店铺销量,店铺id,卖家昵称,店铺宝贝数量,物流速度,用户评分链接,店铺名称,店铺区域,好评率
4.98,//shop136701986.taobao.com,服饰鞋包,4.97,13,136701986,二月玫瑰服装城,27,4.97,//rate.taobao.com/user-rate-UvC8yMGQ4MCcGvNTT.htm,二月玫瑰服装城,,99.20%
5,//shop106060045.taobao.com,服饰鞋包,4.89,13,106060045,森菇凉,2,5,//rate.taobao.com/user-rate-UvFx4MmHYOFHLvQTT.htm,森小姐裙装,,98.31%
4.42,//shop102701129.taobao.com,服饰鞋包,4.25,13,102701129,柏迪安,198,4.39,//rate.taobao.com/user-rate-UvF84Om8YvFNGvgTT.htm,我的阿宅,,95.88%
4.87,//shop115421106.taobao.com,服饰鞋包,4.83,13,115421106,青绿色陶瓷,87,4.87,//rate.taobao.com/user-rate-UMmvGvFNbvFcL.htm,暖心服饰工厂,,96.81%
4.74,//shop145207760.taobao.com,服饰鞋包,4.79,7,145207760,leoyan886,93,4.84,//rate.taobao.com/user-rate-UvCkLMmvyMC8Y.htm,麦优品潮人馆,上海,100.00%
4.93,//shop142539027.taobao.com,服饰鞋包,5,7,142539027,douxiaoxia1973,33,4.93,//rate.taobao.com/user-rate-UvCcGvGg4vCxLMWTT.htm,千狐女衫,,100.00%
5,//shop163312832.taobao.com,服饰鞋包,5,7,163312832,兄弟抱一下333,31,4.89,//rate.taobao.com/user-rate-UvFcuvGgWMGI0vgTT.htm,璃人醉衣阁,,100.00%
5,//shop143640216.taobao.com,服饰鞋包,4.91,7,143640216,张闻宇21,52,5,//rate.taobao.com/user-rate-UvFcGOmI4MmxLMNTT.htm,園亿阁,广东 广州,89.47%
5,//shop239283990.taobao.com,服饰鞋包,5,7,239283990,被宠坏的萝莉520,62,5,//rate.taobao.com/user-rate-UvCcSMC8SOmILOQTT.htm,衣心衣意佳琪店,,100.00%
4.9,//shop72101248.taobao.com,服饰鞋包,4.87,8,72101248,夜空欣儿,35,4.89,//rate.taobao.com/user-rate-UMGIbvC8YOFQL.htm,欣儿美衣 私家精品女装订制,,99.32%
4.61,//shop117092483.taobao.com,服饰鞋包,4.58,8,117092483,宝贝小阳阳o,40,4.59,//rate.taobao.com/user-rate-UvCQbMmNYOFkuvQTT.htm,米哒美,,95.63%
4.83,//shop105594562.taobao.com,服饰鞋包,4.77,8,105594562,fashion欧洲站,53,4.8,//rate.taobao.com/user-rate-UvFcLMCNuMmkSMQTT.htm,Glamour girl独家制定,香港特别行政区 香港岛,98.17%
4.83,//shop68949743.taobao.com,服饰鞋包,4.81,8,68949743,o0瞬间闪亮0o,239,4.89,//rate.taobao.com/user-rate-UMGxyMmNyMmx0.htm,依芙蕾雅,,99.03%
