服务态度,店铺链接,类型,描述相符,店铺销量,店铺id,卖家昵称,店铺宝贝数量,物流速度,用户评分链接,店铺名称,店铺区域,好评率
4.76,//shop64775853.taobao.com,服饰鞋包,4.67,1643,64775853,valsmall,280,4.76,//rate.taobao.com/user-rate-UMCxLMCx0vmNY.htm,衣生活男装,,97.81%
4.72,//shop101906458.taobao.com,服饰鞋包,4.62,1414,101906458,yoona19900530k,315,4.63,//rate.taobao.com/user-rate-UvFNyMGxyvCIWMgTT.htm,Di.m品质男装,,98.09%
4.92,//shop64725322.taobao.com,服饰鞋包,4.9,1754,64725322,3dkg21,523,4.89,//rate.taobao.com/user-rate-UvGcGvCcYvCHT.htm,SYSC潮流基地,辽宁 沈阳,99.49%
4.86,//shop137887980.taobao.com,服饰鞋包,4.8,1211,137887980,bigboyc,142,4.84,//rate.taobao.com/user-rate-UvCx4Omv4MCgGvNTT.htm,Bigboy原创设计潮流男装,,99.44%
4.77,//shop154923541.taobao.com,服饰鞋包,4.73,11308,154923541,花花公子上海青浦店,35,4.76,//rate.taobao.com/user-rate-UvCg0MGNYOmc4MQTT.htm,花花公子乔峰店,,99.61%
4.68,//shop130835748.taobao.com,服饰鞋包,4.61,1795,130835748,fg6288,30,4.67,//rate.taobao.com/user-rate-UvCxbvCkbMGk0MQTT.htm,古着VIP潮牌男装,,98.81%
4.91,//shop68479854.taobao.com,服饰鞋包,4.87,627,68479854,小晖晖韩国化妆品,139,4.91,//rate.taobao.com/user-rate-UMGvbvmNWvGxS.htm,小晖正品代购,,98.55%
4.89,//shop35209202.taobao.com,服饰鞋包,4.87,1145,35209202,小鱼儿服装2008,608,4.89,//rate.taobao.com/user-rate-UOmNyvGxSMmxT.htm,小鱼儿 雅戈尔正品特价折扣店,浙江 杭州,99.44%
4.59,//shop66725353.taobao.com,服饰鞋包,4.52,1814,66725353,淡风柔清,671,4.59,//rate.taobao.com/user-rate-UvGgWMmgbMFkW.htm,小优雅精品女鞋,四川 成都,95.19%
4.84,//shop101439544.taobao.com,服饰鞋包,4.76,1604,101439544,完美女鞋_t,27,4.83,//rate.taobao.com/user-rate-UvFNSvCkbvFgSMWTT.htm,完美女鞋t,广东 广州,98.56%
4.9,//shop67792246.taobao.com,服饰鞋包,4.87,983,67792246,玻璃海之歌,262,4.87,//rate.taobao.com/user-rate-UMGvWMF8LvCxW.htm,玻璃海之歌以马内利,,98.92%
4.88,//shop124774211.taobao.com,服饰鞋包,4.81,1123,124774211,孙建凤11,203,4.85,//rate.taobao.com/user-rate-UvF8SvFIbMGvLOQTT.htm,龙七出品 冬子外贸黄记2U良品海盗电台锦衣社艾尔维登,,98.83%
4.89,//shop145428652.taobao.com,服饰鞋包,4.86,886,145428652,盗草人cc,13,4.87,//rate.taobao.com/user-rate-UvC8uMmkyvFQ4vgTT.htm,烫字号经典女鞋,,99.34%
4.35,//shop104698746.taobao.com,服饰鞋包,4.22,9363,104698746,路人焦点潮男社,70,4.35,//rate.taobao.com/user-rate-UvFcyvC8WvCxyMgTT.htm,Small coke shop,,93.77%
4.9,//shop72342348.taobao.com,服饰鞋包,4.88,1635,72342348,么么小妞wa,558,4.87,//rate.taobao.com/user-rate-UOFN0MCg4OFxb.htm,北美1号仓库,,98.95%
4.42,//shop71155566.taobao.com,服饰鞋包,4.38,1797,71155566,走出不一样的足迹,2988,4.42,//rate.taobao.com/user-rate-UOm8bOmvyvFgW.htm,浪漫鞋房,,96.47%
4.9,//shop35791207.taobao.com,服饰鞋包,4.87,1587,35791207,and1llmt,62,4.82,//rate.taobao.com/user-rate-UMGHLMmISvGvT.htm,FeelDream,四川 成都,99.24%
4.64,//shop104132461.taobao.com,服饰鞋包,4.57,6076,104132461,美特斯邦威潮男2号,178,4.64,//rate.taobao.com/user-rate-UvFxSMFkYOmx4vQTT.htm,苏州潮男二号,,95.82%
4.21,//shop159352148.taobao.com,服饰鞋包,4.09,7843,159352148,小四13266148650,443,4.19,//rate.taobao.com/user-rate-UvCNSvFkbMCHuONTT.htm,刘叉叉潮人红馆,,95.67%
4.56,//shop69194144.taobao.com,服饰鞋包,4.54,1582,69194144,90後陈小姐88,2567,4.6,//rate.taobao.com/user-rate-UMGcYOmx4vm8b.htm,90後陈小姐88,,97.39%
4.78,//shop101097349.taobao.com,服饰鞋包,4.73,3751,101097349,潮鞋部落工厂店,58,4.76,//rate.taobao.com/user-rate-UvFNLOFv4MmHyMNTT.htm,百林猴女鞋,福建 泉州,96.84%
4.81,//shop33706766.taobao.com,服饰鞋包,4.77,2063,33706766,忧默贝贝,79,4.82,//rate.taobao.com/user-rate-UvCvWOmNWMGNT.htm,婚鞋馆时光印记,山东 泰安,98.15%
4.75,//shop64253480.taobao.com,服饰鞋包,4.72,4140,64253480,萧经济fz,576,4.75,//rate.taobao.com/user-rate-UMCQ4OFHWvmHS.htm,琪琪时尚潮流鞋铺,,98.19%
4.87,//shop63453737.taobao.com,服饰鞋包,4.84,1117,63453737,炫彩人生365,355,4.87,//rate.taobao.com/user-rate-UMCNuMmvuvC80.htm,炫彩一足女鞋店,江苏 连云港,98.33%
4.89,//shop162472133.taobao.com,服饰鞋包,4.85,2262,162472133,菱格子_my,350,4.9,//rate.taobao.com/user-rate-UOmk0vCHbOmxb.htm,believeleaf叶子家新店,广东 广州,99.90%
4.86,//shop115132912.taobao.com,母婴,4.83,172,115132912,宝宝莎518,213,4.87,//rate.taobao.com/user-rate-UOmc0OFNSMmxT.htm,Qian's Shop韩国进口童装代购店,江苏 南通,99.31%
4.18,//shop109491841.taobao.com,服饰鞋包,4.15,5359,109491841,8一家人8,50,4.23,//rate.taobao.com/user-rate-UvFk4vCgLvFNLvgTT.htm,我的T台秀场,,91.86%
4.91,//shop33912044.taobao.com,母婴,4.9,218,33912044,青青的家,499,4.93,//rate.taobao.com/user-rate-UvCNYvGHLOmgT.htm,青青的家 青谷雨 外贸童装 外贸女装大童小童男童女童,北京,99.91%
4.85,//shop149300532.taobao.com,服饰鞋包,4.82,1637,149300532,名媛日记企业店,28,4.84,//rate.taobao.com/user-rate-UvCgYOFI0MCkuvQTT.htm,鞋帅,,99.24%
4.83,//shop69475772.taobao.com,服饰鞋包,4.76,713,69475772,南宫雨琪147357,2355,4.82,//rate.taobao.com/user-rate-UMC8YMCNbvFxW.htm,韩国女鞋琪琪的店,山东 威海,98.34%
4.82,//shop71532565.taobao.com,服饰鞋包,4.78,902,71532565,浪漫一起行,334,4.82,//rate.taobao.com/user-rate-UOmcYOFxbMmNY.htm,小韩街韩国进口女鞋,,97.87%
4.74,//shop36531016.taobao.com,服饰鞋包,4.65,2062,36531016,chrrychaye,41,4.72,//rate.taobao.com/user-rate-UvFvbMGg4vCNL.htm,chrrychaye,福建 福州,95.73%
4.86,//shop63706270.taobao.com,服饰鞋包,4.84,4194,63706270,广东的梁韵,10,4.85,//rate.taobao.com/user-rate-UMCN0vGQWvGku.htm,妃她潮流女鞋,北京,99.09%
4.76,//shop108922102.taobao.com,服饰鞋包,4.75,2932,108922102,小白鸡2009,333,4.77,//rate.taobao.com/user-rate-UvFHGvm8yOFIGMQTT.htm,高跟小镇   鞋品,,98.13%
4.82,//shop35916101.taobao.com,服饰鞋包,4.78,7157,35916101,liujianzheng520,67,4.81,//rate.taobao.com/user-rate-UMGIGOFNYOFHT.htm,蜜子美衣 MIZISTUDIO,江苏 苏州,99.02%
4.86,//shop69784267.taobao.com,服饰鞋包,4.83,2433,69784267,麻嚏matty,154,4.86,//rate.taobao.com/user-rate-UvGQYMCNuOFk0.htm,MULIMULI小众甜美店,,99.62%
4.76,//shop150081957.taobao.com,服饰鞋包,4.74,19750,150081957,猫咪潮坊,30,4.75,//rate.taobao.com/user-rate-UvCcuvC80vFNYMQTT.htm,猫咪良品原创女鞋,,99.47%
4.9,//shop33637653.taobao.com,服饰鞋包,4.88,1794,33637653,ben7788,1007,4.89,//rate.taobao.com/user-rate-UvFHWvGkYMGkT.htm,大丫丫时尚大码鞋,北京,99.78%
4.52,//shop287489188.taobao.com,服饰鞋包,4.48,9336,287489188,bara真是无聊,42,4.47,//rate.taobao.com/user-rate-UvCgbvGHuMGQWvQTT.htm,知足至尚女鞋,,93.87%
4.83,//shop72827334.taobao.com,服饰鞋包,4.77,1705,72827334,xqiao5550,578,4.82,//rate.taobao.com/user-rate-UMGNSMGQYMFx4.htm,sky shoes外贸原单女鞋,广东 惠州,98.62%
4.52,//shop65393244.taobao.com,服饰鞋包,4.46,733,65393244,心灵驿站918,757,4.59,//rate.taobao.com/user-rate-UMCcSvGNSOmc4.htm,GD原创小码男装定制,,93.99%
4.54,//shop109067047.taobao.com,服饰鞋包,4.38,557,109067047,死神刀锋yy,92,4.55,//rate.taobao.com/user-rate-UMCk4MCxGMGku.htm,TULU男装,广东 广州,97.60%
4.84,//shop150154050.taobao.com,服饰鞋包,4.82,947,150154050,太平鸟尾单工厂123,29,4.85,//rate.taobao.com/user-rate-UvCgGvmH4vmkGONTT.htm,海芯鲨男装,,97.47%
4.82,//shop108855529.taobao.com,服饰鞋包,4.78,1064,108855529,曼娜1127,29,4.76,//rate.taobao.com/user-rate-UvFkSvCcGOmgGvNTT.htm,花花公子正品衬衫店,,98.65%
4.68,//shop140580592.taobao.com,服饰鞋包,4.66,477,140580592,淘潮淘潮668,332,4.71,//rate.taobao.com/user-rate-UvCxSMGcbMGNyMNTT.htm,PP潮牌男装服饰,,98.70%
4.7,//shop35456020.taobao.com,服饰鞋包,4.63,2062,35456020,蓝色小斐,114,4.69,//rate.taobao.com/user-rate-UMGkWvGcLMCxT.htm,Ｆｉｏｎａ 斐家男装,浙江 台州,98.97%
4.6,//shop149656498.taobao.com,服饰鞋包,4.49,806,149656498,tb新鲜事物,371,4.59,//rate.taobao.com/user-rate-UvCQ0OmgbvGHbvQTT.htm,雨宸男装  中国风,,89.43%
4.83,//shop66339067.taobao.com,服饰鞋包,4.79,614,66339067,神马精品男装,115,4.81,//rate.taobao.com/user-rate-UMCkLvGH4MFHL.htm,神马精品男装,,97.31%
4.83,//shop116508809.taobao.com,服饰鞋包,4.78,1038,116508809,占楠妹妹,127,4.76,//rate.taobao.com/user-rate-UvCvYvFvSMGH4vNTT.htm,MCstudios原创潮流男装,,99.34%
4.83,//shop136487427.taobao.com,服饰鞋包,4.77,907,136487427,epewe,58,4.83,//rate.taobao.com/user-rate-UvC8LMGQbMGcYvQTT.htm,EP时代 原创潮牌男装,,99.54%
4.73,//shop141716499.taobao.com,服饰鞋包,4.65,793,141716499,辉晟服饰,22,4.74,//rate.taobao.com/user-rate-UvCcYvGNuvCvYvNTT.htm,辉晟港风大码男装,,93.94%
4.84,//shop136881401.taobao.com,服饰鞋包,4.77,1348,136881401,尤lp516518,75,4.81,//rate.taobao.com/user-rate-UvCxLMGk4MF80MgTT.htm,月半湾精品男装,,99.09%
4.8,//shop121003994.taobao.com,服饰鞋包,4.74,3420,121003994,坤祺淘淘,45,4.75,//rate.taobao.com/user-rate-UvC8YMFHuMCgbMWTT.htm,坤祺淘男装,,99.50%
