服务态度,店铺链接,类型,描述相符,店铺销量,店铺id,卖家昵称,店铺宝贝数量,物流速度,用户评分链接,店铺名称,店铺区域,好评率
4.76,//shop59986295.taobao.com,服饰鞋包,4.7,556,59986295,都市驿站7242,250,4.74,//rate.taobao.com/user-rate-UvG8WMCc0vFc0.htm,都市驿站潮男馆,浙江 杭州,98.87%
4.8,//shop110030034.taobao.com,服饰鞋包,4.74,1234,110030034,tb69680843,39,4.77,//rate.taobao.com/user-rate-UvCNYvmQGvmILvgTT.htm,韩城潮衣,,98.73%
4.85,//shop106127566.taobao.com,服饰鞋包,4.81,724,106127566,wanglan19988,66,4.81,//rate.taobao.com/user-rate-UvFcSOFxYMGkYMWTT.htm,兰玲服饰,,99.66%
4.64,//shop128892804.taobao.com,服饰鞋包,4.52,724,128892804,衣缘折扣男装,217,4.58,//rate.taobao.com/user-rate-UvCxyvCNGMCkWMgTT.htm,青少年服饰折扣店,,91.86%
4.89,//shop61860467.taobao.com,服饰鞋包,4.88,827,61860467,xiehmz,101,4.88,//rate.taobao.com/user-rate-UMmQ0MmH4vGNT.htm,派喜路主营店,浙江 杭州,99.00%
4.74,//shop60623054.taobao.com,服饰鞋包,4.71,485,60623054,哥要注册,240,4.73,//rate.taobao.com/user-rate-UvGxuvFQuMFHW.htm,幸福巴士站,,97.52%
4.79,//shop120156098.taobao.com,服饰鞋包,4.73,484,120156098,冰心联盟店,81,4.75,//rate.taobao.com/user-rate-UvCQbvCN0OmvYMgTT.htm,冰心潮品店,,99.21%
4.69,//shop112139955.taobao.com,服饰鞋包,4.64,1601,112139955,jccg62211111,1038,4.67,//rate.taobao.com/user-rate-UvCHGMCN4MCxSMgTT.htm,懒呀,,93.87%
4.7,//shop141326942.taobao.com,服饰鞋包,4.62,720,141326942,阔少杰au,392,4.68,//rate.taobao.com/user-rate-UvCx4MCvWOFk0vNTT.htm,酷派森服饰,,94.51%
4.77,//shop37003303.taobao.com,服饰鞋包,4.8,482,37003303,zjz19810607,524,4.75,//rate.taobao.com/user-rate-UMGNLMmvyMCcT.htm,识君专柜正品店,辽宁 沈阳,98.47%
4.77,//shop109164224.taobao.com,服饰鞋包,4.68,482,109164224,真心的我遇上真心的你528,64,4.75,//rate.taobao.com/user-rate-UvFcLMF8bvFguMNTT.htm,潮流1号店铺,,99.06%
4.71,//shop112626453.taobao.com,服饰鞋包,4.67,1398,112626453,taolinzhi632674872,94,4.74,//rate.taobao.com/user-rate-UvFx0MGIbMFHyvgTT.htm,淘淘布衫,,97.06%
4.69,//shop103724974.taobao.com,服饰鞋包,4.64,820,103724974,hcjboy520,79,4.7,//rate.taobao.com/user-rate-UvFxbvFHGOFN0vQTT.htm,纨绔的郭先生,浙江 杭州,97.27%
4.48,//shop108138326.taobao.com,服饰鞋包,4.41,710,108138326,炫酷q男孩,80,4.48,//rate.taobao.com/user-rate-UvFkGMmcyOmIGOQTT.htm,men'store日系复古,广东 揭阳,92.32%
4.47,//shop72479357.taobao.com,服饰鞋包,4.38,811,72479357,林弯弯潮牌商城,405,4.45,//rate.taobao.com/user-rate-UOFHWvGx4MC8b.htm,日系潮牌商城,广东 广州,94.92%
4.93,//shop61598233.taobao.com,母婴,4.89,170,61598233,小丑鱼eawon,307,4.92,//rate.taobao.com/user-rate-UvFIyvCkWMFQS.htm,KIDS KIDOL 韩国童装,广东 广州,99.23%
4.81,//shop129471555.taobao.com,母婴,4.77,189,129471555,1号糖宝,52,4.8,//rate.taobao.com/user-rate-UvCxyOmQ0vFHuvgTT.htm,糖宝童装阁,浙江 湖州,96.82%
4.76,//shop113382045.taobao.com,母婴,4.71,214,113382045,北极人童装,35,4.75,//rate.taobao.com/user-rate-UvCIGOmvbvGQuMWTT.htm,北极人童装,,96.97%
4.87,//shop33088841.taobao.com,母婴,4.87,186,33088841,人鱼king,208,4.85,//rate.taobao.com/user-rate-UvFIbMGQLMmvT.htm,淘金外单童装,山东 烟台,99.90%
4.78,//shop34759863.taobao.com,母婴,4.73,388,34759863,gaoya342970383,12,4.81,//rate.taobao.com/user-rate-UMF84OmkWvC8T.htm,【丫趣儿】【广州商盟】婴儿用品 男童女孩特色童装  批发+零售,广东 广州,98.80%
4.8,//shop103818434.taobao.com,母婴,4.75,183,103818434,百衣坊女装,25,4.81,//rate.taobao.com/user-rate-UvFx4vmcLMmvuvWTT.htm,美满家 原创童装,,98.90%
4.88,//shop101344290.taobao.com,服饰鞋包,4.84,1054,101344290,悠美女鞋,12,4.87,//rate.taobao.com/user-rate-UvFNSvGQGvCkuMWTT.htm,悠美豆豆鞋,广东 广州,98.02%
4.75,//shop150615780.taobao.com,服饰鞋包,4.71,1897,150615780,时尚百丽鞋坊店,42,4.75,//rate.taobao.com/user-rate-UvCc4Mmc0vFH0vQTT.htm,时尚优雅女鞋店,,99.54%
4.8,//shop113942595.taobao.com,服饰鞋包,4.76,653,113942595,会走路的靴子,58,4.77,//rate.taobao.com/user-rate-UvFxSvFQuMFIyvQTT.htm,小信女鞋铺,,97.02%
4.69,//shop128354599.taobao.com,服饰鞋包,4.65,3851,128354599,小叶良品铺,49,4.69,//rate.taobao.com/user-rate-UvCxYMmH0Om84vWTT.htm,小叶良品铺,,97.11%
4.78,//shop72131653.taobao.com,服饰鞋包,4.75,1672,72131653,格格岛520,477,4.8,//rate.taobao.com/user-rate-UOmkLvGxuvGgy.htm,格格岛鞋屋,上海,97.84%
