服务态度,店铺链接,类型,描述相符,店铺销量,店铺id,卖家昵称,店铺宝贝数量,物流速度,用户评分链接,店铺名称,店铺区域,好评率
4.84,//shop150903851.taobao.com,服饰鞋包,4.83,48,150903851,精品男装251314,149,4.88,//rate.taobao.com/user-rate-UvCgGOmvYMFNYvQTT.htm,精品国际男装,,99.62%
4.57,//shop145851827.taobao.com,服饰鞋包,4.54,42,145851827,夏日风行289593149,48,4.49,//rate.taobao.com/user-rate-UvCc4vCIuvCHGvQTT.htm,宇轩男装服饰,,96.75%
4.78,//shop36317592.taobao.com,服饰鞋包,4.71,877,36317592,小林设计书店,234,4.77,//rate.taobao.com/user-rate-UvFISMC8GMCxy.htm,Fast fashion小林子家女装,广东 广州,98.68%
4.68,//shop116760572.taobao.com,服饰鞋包,4.57,1309,116760572,就这么给力a,181,4.68,//rate.taobao.com/user-rate-UvCvGvCIWvFv0ONTT.htm,我的小伙伴 精品韩版女装,,99.38%
4.82,//shop114729734.taobao.com,服饰鞋包,4.76,42,114729734,潮盟1992,594,4.8,//rate.taobao.com/user-rate-UvCISMmvuMmxLMWTT.htm,气质港仔潮男装,,97.65%
4.72,//shop58066470.taobao.com,母婴,4.68,268,58066470,jiarenjiaman,84,4.71,//rate.taobao.com/user-rate-UvCI4MCH0OFxb.htm,萌奇童装 韩潮品质,,97.14%
4.79,//shop58472707.taobao.com,服饰鞋包,4.75,637,58472707,tangtang98,53,4.79,//rate.taobao.com/user-rate-UOmgLOFcuvFNT.htm,奇幻之旅男装,浙江 杭州,98.33%
4.57,//shop113216589.taobao.com,服饰鞋包,4.52,2345,113216589,七七leilei,8,4.58,//rate.taobao.com/user-rate-UvCIyOmvyvFH4vNTT.htm,花花公子潮男社,,96.99%
4.7,//shop110483075.taobao.com,服饰鞋包,4.64,191,110483075,小豹哥888,171,4.74,//rate.taobao.com/user-rate-UvCNuMCQSvmHLMgTT.htm,8090 潮流男装,浙江 杭州,98.05%
4.75,//shop114124202.taobao.com,母婴,4.76,1339,114124202,月下烟雨2,18,4.75,//rate.taobao.com/user-rate-UvCN0vmISvFQLMQTT.htm,嗨h宝贝童装,,98.25%
4.66,//shop103923414.taobao.com,母婴,4.62,265,103923414,ala阿拉童装,88,4.64,//rate.taobao.com/user-rate-UvFx4vGNuvCgWMWTT.htm,七色光童装旗航店,浙江 湖州,97.84%
4.82,//shop163429811.taobao.com,母婴,4.84,300,163429811,honey芃芃,128,4.84,//rate.taobao.com/user-rate-UvCkYMmvbvGcLMWTT.htm,honey芃芃童装,,98.94%
4.73,//shop394249896.taobao.com,服饰鞋包,4.68,242,394249896,萧萧源秋,307,4.73,//rate.taobao.com/user-rate-UvCkLvGxyMmvLOQTT.htm,坏先生 文艺男装,,96.18%
4.71,//shop109634826.taobao.com,母婴,4.7,384,109634826,ly15886356114,14,4.72,//rate.taobao.com/user-rate-UOmvSvCNbvm8W.htm,梵锡娃娃童装,,98.17%
4.98,//shop247458137.taobao.com,服饰鞋包,4.97,73,247458137,鑫汇源海外贸易,332,4.98,//rate.taobao.com/user-rate-UvCkLOFvYvmNuMNTT.htm,香港专柜品牌男装代购,,100.00%
4.81,//shop101006792.taobao.com,服饰鞋包,4.8,800,101006792,365style,22,4.8,//rate.taobao.com/user-rate-UvFNuMGkYvCv0MQTT.htm,365style 专注衬衫,,98.18%
4.98,//shop293660276.taobao.com,母婴,4.96,377,293660276,欢乐之家原单童装,123,4.96,//rate.taobao.com/user-rate-UvCk0MCQbvCxGvWTT.htm,米卡家童装,,100.00%
4.91,//shop120635564.taobao.com,母婴,4.89,290,120635564,开心每一天问我,47,4.9,//rate.taobao.com/user-rate-UMFcWOmIyMGk0.htm,华旭童装,,99.40%
4.95,//shop115073385.taobao.com,服饰鞋包,4.92,62,115073385,tb0234565_2013,289,4.93,//rate.taobao.com/user-rate-UvFxWMCcYvmcyvNTT.htm,潮流男装の韩国代购,辽宁 沈阳,98.42%
4.6,//shop106366419.taobao.com,母婴,4.51,1004,106366419,尚菲潮品,21,4.59,//rate.taobao.com/user-rate-UvFc4vCxSvCQGvWTT.htm,尚菲潮品精品童装,,97.53%
4.81,//shop108864833.taobao.com,母婴,4.77,322,108864833,huguofang22,47,4.83,//rate.taobao.com/user-rate-UMCgWvGv0MmHW.htm,大门牙童装,,98.59%
4.66,//shop129574554.taobao.com,服饰鞋包,4.61,1062,129574554,游素8008,418,4.59,//rate.taobao.com/user-rate-UvCxyOFN4MG8LvgTT.htm,游素服饰,,98.10%
4.84,//shop135665813.taobao.com,服饰鞋包,4.77,93,135665813,tb691515381,170,4.79,//rate.taobao.com/user-rate-UvFNLvGg0vmIYvNTT.htm,晴依潮男装服饰,,97.22%
4.51,//shop68582976.taobao.com,服饰鞋包,4.5,90,68582976,shan7杉七,21,4.55,//rate.taobao.com/user-rate-UMG8YMCHyOFIG.htm,杉七男装,浙江 杭州,98.17%
4.84,//shop109661480.taobao.com,服饰鞋包,4.76,106,109661480,腿上烫了个疤,39,4.81,//rate.taobao.com/user-rate-UvCNYMFQuOmIWvgTT.htm,彬狼男装商场店,,99.09%
4.91,//shop116684459.taobao.com,母婴,4.89,406,116684459,义乌市奇奇童屋,96,4.9,//rate.taobao.com/user-rate-UvCQYOmvYOFv0OQTT.htm,奇奇童装乐园,,99.28%
4.8,//shop105066029.taobao.com,服饰鞋包,4.73,882,105066029,时尚异型,78,4.79,//rate.taobao.com/user-rate-UvFxyMCN0MGcuMgTT.htm,DUGORE独阁 高品质女装,,99.00%
4.57,//shop110756874.taobao.com,服饰鞋包,4.48,71,110756874,韩都潮牌男装,275,4.55,//rate.taobao.com/user-rate-UvCN4Omk0Om8uvWTT.htm,港仔 潮牌男装,,97.74%
4.75,//shop112615786.taobao.com,母婴,4.7,279,112615786,lmsqh,37,4.77,//rate.taobao.com/user-rate-UvF8SvFxWvmkT.htm,color童装品牌馆,浙江 湖州,98.88%
4.91,//shop69276525.taobao.com,服饰鞋包,4.87,867,69276525,lilitang_81,176,4.9,//rate.taobao.com/user-rate-UMCQuOmgbvFvY.htm,葵花开了原单大码女装,上海,99.53%
4.82,//shop70573351.taobao.com,母婴,4.79,851,70573351,浅派飞鱼,13,4.82,//rate.taobao.com/user-rate-UOmILvmIWOFNS.htm,飞鱼宝贝精品童装,,99.33%
4.64,//shop150104724.taobao.com,服饰鞋包,4.56,71,150104724,小胖子i078917,564,4.66,//rate.taobao.com/user-rate-UvC8yMmkyvGHyMNTT.htm,潮男Style男装,,92.91%
4.71,//shop120529612.taobao.com,服饰鞋包,4.66,92,120529612,素描下的悲伤23,35,4.73,//rate.taobao.com/user-rate-UvCQYvFguvGguMNTT.htm,尚酷男装SKM,,98.44%
4.83,//shop109698999.taobao.com,服饰鞋包,4.79,872,109698999,李文龙0088,40,4.83,//rate.taobao.com/user-rate-UMGv0OFgyMmxS.htm,木子村女装,广东 广州,99.36%
