服务态度,店铺链接,类型,描述相符,店铺销量,店铺id,卖家昵称,店铺宝贝数量,物流速度,用户评分链接,店铺名称,店铺区域,好评率
4.86,//shop102515428.taobao.com,服饰鞋包,4.8,936,102515428,新源兴销售部,51,4.85,//rate.taobao.com/user-rate-UvFxWMCH4vFguMNTT.htm,suo莎米,,99.64%
4.77,//shop62386903.taobao.com,服饰鞋包,4.74,3864,62386903,独傲购物网,156,4.78,//rate.taobao.com/user-rate-UMmHYvCISMFcL.htm,灰姑娘鞋柜专业女鞋,,99.27%
4.66,//shop165742917.taobao.com,服饰鞋包,4.6,1889,165742917,aiwen3234,77,4.61,//rate.taobao.com/user-rate-UvFNuOmI4MCIuMWTT.htm,文文女鞋潮流馆,,97.25%
4.67,//shop102523877.taobao.com,服饰鞋包,4.63,3830,102523877,2013快乐公主鞋业,59,4.66,//rate.taobao.com/user-rate-UvFxWvmcSvCHGvQTT.htm,逗逗鞋坊,,97.19%
4.75,//shop57146654.taobao.com,服饰鞋包,4.66,1026,57146654,cristallulu,162,4.75,//rate.taobao.com/user-rate-UvFgbOmHyMmI4.htm,陆大鞋,浙江 杭州,98.52%
4.64,//shop107887344.taobao.com,服饰鞋包,4.56,3329,107887344,带着上帝流浪6376,105,4.59,//rate.taobao.com/user-rate-UMmNuvGcYOmg4.htm,时尚之屋2014,,97.80%
4.85,//shop148554234.taobao.com,母婴,4.83,1342,148554234,三个盒子童装,34,4.87,//rate.taobao.com/user-rate-UvCgWOmcLMGkuONTT.htm,三个盒子童装,,98.99%
4.64,//shop123662931.taobao.com,服饰鞋包,4.6,1931,123662931,屈帮启,117,4.6,//rate.taobao.com/user-rate-UvC8yvGvYMF8LMWTT.htm,小淘潮男基地,北京,96.74%
4.76,//shop35029129.taobao.com,服饰鞋包,4.66,1132,35029129,huyang20121228,319,4.75,//rate.taobao.com/user-rate-UMCcLMFcGOm8T.htm,适着港风文艺,浙江 杭州,98.93%
4.71,//shop128903026.taobao.com,服饰鞋包,4.68,3283,128903026,雅丹时尚男装,11,4.67,//rate.taobao.com/user-rate-UvCxyvmQWvmc0vQTT.htm,金口玉言  爸爸装,,98.86%
4.55,//shop150084542.taobao.com,服饰鞋包,4.55,663,150084542,九年服饰,246,4.43,//rate.taobao.com/user-rate-UvCgyOFQbvGcLMgTT.htm,九年情侣装男友闺蜜装,,91.09%
4.61,//shop129540610.taobao.com,服饰鞋包,4.53,3732,129540610,风尚魅力mj,80,4.54,//rate.taobao.com/user-rate-UvCxWvmQGMFkLvgTT.htm,风尚魅力mj,,95.33%
4.89,//shop34441865.taobao.com,服饰鞋包,4.85,505,34441865,风度酷衣,125,4.88,//rate.taobao.com/user-rate-UMFkbMCQSvCcT.htm,加大纯棉外贸服装大卖场,山东 滨州,98.07%
4.72,//shop186352027.taobao.com,服饰鞋包,4.67,442,186352027,旧巷岛屿c,439,4.7,//rate.taobao.com/user-rate-UvCkyvCHGMmkuvNTT.htm,麒麟先生混搭风男装店,,97.63%
4.8,//shop72331009.taobao.com,服饰鞋包,4.73,1892,72331009,原来是美男5200,58,4.79,//rate.taobao.com/user-rate-UOFNLvGISvGxS.htm,『原来是美男』,,97.73%
4.84,//shop110823144.taobao.com,服饰鞋包,4.8,744,110823144,战地吉普杭州品牌店,257,4.83,//rate.taobao.com/user-rate-UvCNSMm8LMFISOQTT.htm,杭州品牌店,浙江省 杭州市,98.48%
4.64,//shop70939466.taobao.com,服饰鞋包,4.58,740,70939466,涓涓艳阳天,225,4.58,//rate.taobao.com/user-rate-UOmQ0MmHSMmQS.htm,涓涓艳阳天,江苏 苏州,99.07%
4.48,//shop102842538.taobao.com,服饰鞋包,4.41,736,102842538,允允2013,51,4.48,//rate.taobao.com/user-rate-UvFxWOFgLOmHyOQTT.htm,卖牛仔裤,,89.96%
4.82,//shop103039146.taobao.com,服饰鞋包,4.75,733,103039146,佬伍12345,83,4.77,//rate.taobao.com/user-rate-UvFx0vCv0MmgbMgTT.htm,皮尔卡丹精品折扣店1,,98.15%
4.68,//shop100936089.taobao.com,服饰鞋包,4.6,1626,100936089,痞子蔡8893,123,4.64,//rate.taobao.com/user-rate-UvFNLvGx0MmHYvgTT.htm,2人组自营店,,97.47%
4.82,//shop124069420.taobao.com,服饰鞋包,4.77,429,124069420,小言童,594,4.8,//rate.taobao.com/user-rate-UvC8bvmNSMGxuMWTT.htm,YOYO 潮品店,,99.12%
